At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - NC,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,county1
8952,18114,18277,18277,18292,12522,12522,12432,6542,5693,5693,5620,2379,5693,12522,59468,53262,Robeson,62,62,62,31,77,910,654,122048,15610,49742,52659,53296,16277,55039,58393,59497,910,654,920,910,421,674,654,361,98425,20565,130625,109195,13714,2138,15296,15104,43281,42379,13718,40415,2002,12506,13757,13850,38248,13247,38772,36582,15295,43263,13849,38759,ROBESON COUNTY
1934,2986,2995,2995,2995,2290,2290,2286,1531,705,705,700,403,705,2290,6540,5996,Perquimans,,,,,,0,0,12861,2861,5795,5956,6010,3052,6278,6458,6562,0,0,19,0,0,12,0,0,10957,3671,13463,11854,1083,231,1139,1129,5404,5329,2821,5195,213,980,1031,1033,4925,2648,4965,4815,1139,5401,1033,4963,PERQUIMANS COUNTY
16598,44459,45305,45305,45345,20861,20861,20547,9056,24427,24427,23895,7542,24429,20867,116667,108538,Johnston,17,17,17,0,49,1401,1116,196283,24783,98624,105986,108585,25583,104894,113079,116722,1401,1116,1413,1401,557,1127,1116,505,156585,28558,209339,175612,32764,3842,38221,36779,77088,74899,21184,70729,3711,30601,34359,35486,70511,20567,71972,66907,38220,77046,35482,71940,JOHNSTON COUNTY
12137,25297,25525,25525,25561,12133,12133,12059,6321,13392,13392,13238,5816,13392,12135,65276,61220,Randolph,0,0,0,0,34,759,554,135556,19716,57551,60380,61259,20050,60887,64031,65313,759,554,759,759,501,571,554,427,111702,26060,143667,123257,20289,3796,22354,21864,42200,41408,15753,39839,3864,19075,20511,20848,39315,15425,39840,37922,22353,42164,20846,39820,RANDOLPH COUNTY
671,1628,1657,1657,1657,1606,1606,1577,658,51,51,51,13,51,1606,3398,3231,Hyde,,,,,,,,4753,1033,3025,3155,3231,1053,3167,3304,3401,,,,,,,,,4098,1114,4937,4410,162,52,174,171,3227,3133,1001,3005,44,145,154,158,3001,989,3073,2880,174,3224,158,3073,HYDE COUNTY
1670,2952,2968,2968,2969,1650,1650,1636,990,1318,1318,1316,680,1318,1651,6753,6282,Alleghany,,,,,,10,0,10626,2578,6061,6214,6315,2689,6478,6649,6787,10,0,35,10,10,26,0,0,9249,3116,11137,9915,1311,350,1364,1358,5388,5281,2329,5157,330,1214,1251,1261,4963,2248,5028,4847,1364,5379,1261,5021,ALLEGHANY COUNTY
4556,9085,9140,9140,9156,4952,4952,4931,2565,4188,4188,4154,1991,4188,4954,27275,24958,Duplin,0,0,0,0,14,270,216,55126,7600,23220,24540,24982,7789,25084,26616,27311,270,216,290,270,184,228,216,161,44760,11405,58741,49644,7475,1497,8393,8261,18628,18085,6108,17339,1506,7079,7806,7871,16518,5933,16883,15925,8393,18612,7871,16871,DUPLIN COUNTY
1026,1797,1803,1803,1803,1584,1584,1581,945,219,219,216,81,219,1584,4717,4394,Gates,,,,,,0,,11027,1748,4243,4374,4395,1850,4508,4670,4740,0,,15,0,0,,,,9230,2418,11562,10120,501,122,553,549,4172,4121,1728,4007,122,471,509,510,3865,1626,3885,3772,553,4164,510,3884,GATES COUNTY
9360,18080,18310,18310,18355,11349,11349,11220,5979,6913,6913,6812,3370,6913,11349,37003,34980,Haywood,48,48,48,11,93,1317,876,59266,13621,33050,34355,35040,14012,34889,36259,37046,1317,876,1350,1317,613,923,876,509,50968,15572,62317,54941,7975,1976,8467,8421,27229,26521,11423,25597,1841,7328,7767,7803,25712,11271,26314,24846,8467,27219,7803,26301,HAYWOOD COUNTY
6082,11888,12003,12003,12023,6600,6600,6528,3509,5403,5403,5360,2573,5403,6600,28798,26948,Stanly,0,0,0,0,20,468,358,59178,9515,25593,26663,26984,9893,27213,28371,28817,468,358,481,468,329,390,358,284,49282,12123,62806,54008,6786,1336,7249,7123,21087,20780,8228,19959,1306,6330,6648,6714,19657,7925,19880,18905,7249,21081,6714,19876,STANLY COUNTY
