County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,14912,9829
Cumberland,54434,41182
Pitt,44493,37034
Beaufort,14560,11158
Durham,98909,70067
Jones,2545,1822
Pender,14576,9731
Carteret,21794,15536
Swain,3307,2393
Halifax,14766,9146
Lenoir,13716,10074
Perquimans,3925,3093
Henderson,30528,22684
Scotland,9012,5846
Alamance,47149,29402
Haywood,15915,12315
Tyrrell,1136,857
Pasquotank,11608,8757
McDowell,12583,8893
Washington,2911,2140
Polk,5729,3783
Caldwell,19084,14759
Graham,2101,1679
Warren,5661,3605
Cleveland,22781,17366
Wake,314062,202932
Rockingham,22685,13642
Lee,15759,9884
Rowan,23762,17296
Wilkes,15269,10574
Harnett,22957,16829
Wilson,18806,12677
Pamlico,4797,3434
Rutherford,14452,8896
Surry,19224,12699
Alleghany,3414,2530
Orange,54366,38270
Bladen,8019,5911
Granville,15444,10823
Out of State,59327,44061
Davidson,33157,23334
Stokes,9187,6277
Onslow,25967,17651
Stanly,13178,8660
Craven,28198,19384
Franklin,14289,10578
Anson,5636,3763
Gaston,44018,34958
Yadkin,9196,6256
Hyde,2160,1386
Randolph,27766,18188
Hertford,5964,3698
Union,45592,35128
Moore,32129,24962
Martin,6045,4238
Johnston,45747,28595
Columbus,11935,8141
Robeson,22822,15493
Macon,11453,8801
Davie,10433,8636
Yancey,5178,3267
Missing,6825,3497
New Hanover,64217,50293
Brunswick,48678,36817
Currituck,7118,4169
Camden,2652,1591
Person,10690,6951
Greene,5280,3412
Guilford,151117,90451
Madison,6235,4872
Chatham,22976,16113
Wayne,24296,15981
Ashe,7330,5270
Hoke,7194,5006
Dare,15083,11067
Montgomery,6580,4441
Forsyth,95975,69679
Chowan,4864,3370
Transylvania,9088,7445
Iredell,35938,27129
Clay,2623,1832
Vance,11388,7859
Mecklenburg,218697,157445
Edgecombe,11360,6983
Cherokee,6983,4644
Bertie,6053,4062
Lincoln,17639,13375
Alexander,9630,5845
Nash,24685,14509
Richmond,10854,7783
Mitchell,3566,2344
Cabarrus,38815,28512
Duplin,10809,7692
Buncombe,71684,47342
Avery,5371,3653
Catawba,37065,26543
Jackson,11679,7814
Gates,2890,1796
Burke,22433,16498
Caswell,6226,4265
Northampton,5878,4012
Watauga,15312,12513
