At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - NC,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,county1
8968,18193,18363,18363,18378,12579,12579,12487,6552,5722,5722,5644,2385,5722,12579,59517,53337,Robeson,62,62,62,31,77,910,654,122048,15616,49791,52708,53372,16282,55076,58432,59546,910,654,920,910,421,674,654,361,98425,20565,130625,109195,13729,2140,15313,15119,43313,42403,13721,40437,2004,12526,13774,13871,38280,13251,38827,36611,15312,43295,13870,38813,ROBESON COUNTY
1937,2995,3004,3004,3004,2294,2294,2290,1532,710,710,705,405,710,2294,6544,5996,Perquimans,,,,,,0,0,12861,2862,5795,5956,6010,3053,6282,6462,6566,0,0,19,0,0,12,0,0,10957,3671,13463,11854,1086,231,1142,1132,5405,5330,2822,5196,213,980,1031,1033,4925,2649,4965,4815,1142,5402,1033,4963,PERQUIMANS COUNTY
16621,44617,45481,45481,45521,20928,20928,20607,9067,24536,24536,23993,7554,24538,20934,116740,108619,Johnston,17,17,17,0,49,1401,1116,196283,24787,98653,106026,108666,25585,104948,113138,116795,1401,1116,1413,1401,557,1127,1116,505,156585,28558,209339,175612,32798,3842,38262,36814,77120,74923,21186,70749,3713,30614,34373,35520,70537,20569,72019,66923,38261,77078,35516,71987,JOHNSTON COUNTY
12168,25383,25620,25620,25656,12170,12170,12090,6334,13450,13450,13293,5834,13450,12172,65338,61295,Randolph,0,0,0,0,34,759,554,135556,19719,57586,60418,61334,20056,60924,64074,65375,759,554,759,759,501,571,554,427,111702,26060,143667,123257,20300,3799,22374,21878,42242,41437,15756,39865,3865,19086,20523,20863,39341,15427,39900,37946,22373,42206,20861,39880,RANDOLPH COUNTY
673,1637,1666,1666,1666,1614,1614,1585,659,52,52,52,14,52,1614,3399,3234,Hyde,,,,,,,,4753,1033,3028,3158,3234,1053,3168,3305,3402,,,,,,,,,4098,1114,4937,4410,162,52,174,171,3228,3134,1001,3006,44,147,156,160,3002,989,3074,2881,174,3225,160,3074,HYDE COUNTY
1672,2959,2975,2975,2976,1651,1651,1637,991,1324,1324,1322,681,1324,1652,6756,6283,Alleghany,,,,,,10,0,10626,2578,6061,6214,6316,2690,6481,6652,6790,10,0,35,10,10,26,0,0,9249,3116,11137,9915,1312,350,1365,1359,5390,5283,2330,5159,330,1214,1251,1261,4963,2248,5029,4847,1365,5381,1261,5022,ALLEGHANY COUNTY
4568,9116,9179,9179,9195,4975,4975,4947,2573,4204,4204,4169,1995,4204,4977,27298,25000,Duplin,0,0,0,0,14,270,216,55126,7602,23230,24555,25024,7791,25097,26631,27334,270,216,290,270,184,228,216,161,44760,11405,58741,49644,7480,1497,8397,8265,18647,18096,6110,17347,1506,7083,7811,7884,16528,5935,16912,15931,8397,18631,7884,16900,DUPLIN COUNTY
1030,1806,1812,1812,1812,1590,1590,1587,949,222,222,219,81,222,1590,4719,4393,Gates,,,,,,0,,11027,1748,4242,4373,4394,1850,4507,4669,4742,0,,15,0,0,,,,9230,2418,11562,10120,501,122,553,549,4174,4120,1728,4006,122,471,509,510,3864,1626,3884,3771,553,4166,510,3883,GATES COUNTY
9379,18131,18362,18362,18407,11376,11376,11246,5988,6938,6938,6837,3380,6938,11376,37016,34996,Haywood,48,48,48,11,93,1317,876,59266,13626,33061,34368,35056,14017,34901,36271,37059,1317,876,1350,1317,613,923,876,509,50968,15572,62317,54941,7980,1978,8472,8426,27237,26528,11426,25604,1843,7333,7774,7811,25718,11274,26322,24852,8472,27227,7811,26309,HAYWOOD COUNTY
6101,11943,12059,12059,12079,6642,6642,6570,3524,5417,5417,5373,2577,5417,6642,28820,26962,Stanly,0,0,0,0,20,468,358,59178,9517,25604,26676,26998,9895,27228,28391,28839,468,358,481,468,329,390,358,284,49282,12123,62806,54008,6797,1338,7263,7135,21095,20788,8228,19963,1308,6338,6658,6725,19660,7925,19883,18908,7263,21089,6725,19879,STANLY COUNTY
