Table Name,Date,PPE Type,PPE Requested,PPE Received,Critical Supplies,Ordered,Received,Average Requests per Day,Estimated Days of Supplies on Hand
PPE,,Gowns,755562.0,755562.0,,,,,
PPE,,Face Shields,114217.0,114217.0,,,,,
PPE,,Medical N95 Respirators,1251000.0,2317270.0,,,,,
PPE,,Medical Procedural Masks,598000.0,598000.0,,,,,
PPE,,Coveralls,414.0,414.0,,,,,
PPE,,Gloves,501000.0,1232000.0,,,,,
PPE Private,2021-05-21,,,,Gowns,6342000.0,7698000.0,8215.0,501.0
PPE Private,2021-05-21,,,,Face Shields,5811000.0,2156000.0,2005.0,598.0
PPE Private,2021-05-21,,,,Medical N95 Respirators,17408000.0,13972000.0,6312.0,2269.0
PPE Private,2021-05-21,,,,Medical KN95 Respirators,180000.0,8000.0,1402.0,87.0
PPE Private,2021-05-21,,,,Medical Procedural Masks,29799000.0,26410000.0,27882.0,111.0
PPE Private,2021-05-21,,,,Gloves,52899000.0,57566000.0,63226.0,459.0
