At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - NC,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,county1
9235,19078,19292,19292,19301,13238,13238,13119,6752,5965,5965,5870,2435,5965,13238,60324,54036,Robeson,89,89,89,48,98,1336,836,122048,15698,50274,53244,54133,16422,55751,59131,60415,1336,836,1408,1336,517,918,836,382,98425,20565,130625,109195,13822,2148,15440,15216,43567,42579,13757,40593,2017,12669,13935,14058,38473,13299,39157,36769,15439,43549,14057,39143,ROBESON COUNTY
1957,3054,3068,3068,3068,2337,2337,2328,1545,731,731,726,412,731,2337,6563,6023,Perquimans,,,,,,0,0,12861,2872,5810,5972,6038,3062,6295,6478,6585,0,0,19,0,0,12,0,0,10957,3671,13463,11854,1092,232,1149,1139,5417,5339,2830,5203,214,987,1038,1043,4934,2658,4983,4823,1149,5414,1043,4980,PERQUIMANS COUNTY
17163,46848,47994,47994,48037,22152,22152,21741,9437,25822,25822,25087,7726,25824,22158,119249,110606,Johnston,20,20,20,0,55,3286,2155,196283,24988,100058,107639,110674,25985,107010,115410,119362,3261,2155,3355,3095,881,2186,2038,608,156585,28558,209339,175612,33040,3863,38641,37093,77366,75056,21241,70875,3742,30858,34649,35950,70835,20638,72538,67162,38640,77323,35946,72505,JOHNSTON COUNTY
12479,26280,26568,26568,26610,12669,12669,12553,6528,13899,13899,13727,5951,13899,12671,65639,61798,Randolph,0,0,0,0,40,784,555,135556,19778,57904,60774,61892,20107,61153,64317,65757,784,555,865,784,512,627,555,427,111702,26060,143667,123257,20424,3821,22529,22007,42363,41526,15774,39945,3895,19279,20722,21120,39497,15456,40145,38070,22528,42327,21118,40125,RANDOLPH COUNTY
704,1716,1757,1757,1757,1701,1701,1663,689,56,56,53,15,56,1701,3412,3270,Hyde,,,,,,,,4753,1039,3059,3192,3270,1057,3176,3316,3415,,,,,,,,,4098,1114,4937,4410,164,52,176,173,3239,3143,1005,3012,44,148,157,161,3035,995,3109,2911,176,3236,161,3109,HYDE COUNTY
1713,3044,3064,3064,3065,1709,1709,1691,1021,1355,1355,1353,692,1355,1710,6796,6317,Alleghany,,,,,,10,0,10626,2585,6081,6240,6350,2699,6512,6687,6847,10,0,52,10,10,26,0,0,9249,3116,11137,9915,1329,350,1381,1375,5414,5302,2339,5173,332,1221,1258,1266,4982,2253,5058,4860,1381,5405,1266,5051,ALLEGHANY COUNTY
4727,9567,9640,9640,9664,5260,5260,5222,2670,4380,4380,4345,2057,4380,5262,29187,26463,Duplin,0,0,0,0,22,2026,1471,55126,7769,24451,25972,26524,8055,26716,28469,29265,1999,1471,2087,1795,424,1520,1300,301,44760,11405,58741,49644,7534,1509,8453,8320,18725,18150,6122,17387,1519,7161,7892,7978,16609,5949,17026,15990,8453,18708,7978,17014,DUPLIN COUNTY
1066,1909,1925,1925,1926,1680,1680,1672,982,245,245,237,84,245,1681,4802,4478,Gates,,,,,,62,41,11027,1758,4305,4446,4504,1854,4583,4747,4865,62,41,117,62,0,66,41,0,9230,2418,11562,10120,504,122,556,552,4192,4133,1732,4017,125,480,519,520,3886,1633,3918,3784,556,4184,520,3917,GATES COUNTY
9551,18671,18958,18958,18998,11755,11755,11580,6093,7143,7143,7031,3447,7143,11755,37243,35203,Haywood,60,60,60,11,100,1410,895,59266,13649,33193,34510,35292,14056,35092,36465,37331,1410,895,1488,1410,627,971,895,509,50968,15572,62317,54941,8024,1989,8518,8469,27325,26586,11440,25658,1853,7382,7825,7866,25790,11287,26455,24916,8518,27315,7866,26442,HAYWOOD COUNTY
6237,12394,12536,12536,12561,6969,6969,6878,3616,5567,5567,5516,2621,5567,6969,29161,27263,Stanly,0,0,0,0,25,664,473,59178,9554,25837,26921,27343,9920,27520,28687,29220,664,473,717,664,329,549,473,284,49282,12123,62806,54008,6839,1342,7312,7179,21191,20844,8249,20017,1316,6384,6700,6785,19748,7954,20009,18980,7312,21185,6785,20005,STANLY COUNTY
