Facility_Type,Category,County,Outbreak Count
,,Jackson,0
,,Camden,0
Nursing Home,Ongoing Outbreaks,Watauga,1
Residential Care Facility,Ongoing Outbreaks,Watauga,1
Child Care,,Watauga,1
Correctional Facility,Ongoing Outbreaks,Burke,1
Nursing Home,Ongoing Outbreaks,Burke,2
Residential Care Facility,Ongoing Outbreaks,Burke,1
Residential Care Facility,Ongoing Outbreaks,Stokes,1
Nursing Home,Ongoing Outbreaks,Stokes,1
Residential Care Facility,Ongoing Outbreaks,Pasquotank,1
K-12 School,,Pasquotank,1
Nursing Home,Ongoing Outbreaks,Chatham,1
Child Care,,Franklin,1
Nursing Home,Ongoing Outbreaks,Franklin,2
Correctional Facility,Ongoing Outbreaks,Franklin,1
Child Care,,Johnston,1
Nursing Home,Ongoing Outbreaks,Johnston,1
Residential Care Facility,Ongoing Outbreaks,Johnston,1
K-12 School,,Johnston,1
Child Care,,Rowan,1
Correctional Facility,Ongoing Outbreaks,Rowan,2
Nursing Home,Ongoing Outbreaks,Rowan,1
Residential Care Facility,Ongoing Outbreaks,Rowan,1
Nursing Home,Ongoing Outbreaks,Bladen,1
Nursing Home,Ongoing Outbreaks,Guilford,12
Residential Care Facility,Ongoing Outbreaks,Guilford,8
K-12 School,,Guilford,4
Child Care,,Guilford,1
Child Care,,Anson,1
Nursing Home,Ongoing Outbreaks,Anson,1
Correctional Facility,Ongoing Outbreaks,Anson,1
Correctional Facility,Ongoing Outbreaks,Cherokee,1
Correctional Facility,Ongoing Outbreaks,Gaston,1
Nursing Home,Ongoing Outbreaks,Stanly,2
Correctional Facility,Ongoing Outbreaks,Stanly,1
Nursing Home,Ongoing Outbreaks,Lincoln,1
Nursing Home,Ongoing Outbreaks,Pender,2
Residential Care Facility,Ongoing Outbreaks,Pender,1
Correctional Facility,Ongoing Outbreaks,Pender,2
Nursing Home,Ongoing Outbreaks,Swain,1
Correctional Facility,Ongoing Outbreaks,Swain,1
Residential Care Facility,Ongoing Outbreaks,Cabarrus,1
K-12 School,,Cabarrus,1
Nursing Home,Ongoing Outbreaks,Cabarrus,4
Residential Care Facility,Ongoing Outbreaks,Davidson,1
Nursing Home,Ongoing Outbreaks,Davidson,2
K-12 School,,Henderson,3
Child Care,,Henderson,1
Residential Care Facility,Ongoing Outbreaks,Hertford,1
Nursing Home,Ongoing Outbreaks,Hertford,1
Correctional Facility,Ongoing Outbreaks,Columbus,1
Nursing Home,Ongoing Outbreaks,Macon,2
Residential Care Facility,Ongoing Outbreaks,Macon,1
Nursing Home,Ongoing Outbreaks,Rutherford,1
Correctional Facility,Ongoing Outbreaks,Wilkes,1
Nursing Home,Ongoing Outbreaks,Wilkes,1
Residential Care Facility,Ongoing Outbreaks,Wilkes,2
Child Care,,Wilkes,1
Correctional Facility,Ongoing Outbreaks,Alexander,1
Nursing Home,Ongoing Outbreaks,Alexander,1
Residential Care Facility,Ongoing Outbreaks,Alexander,1
Nursing Home,Ongoing Outbreaks,Catawba,2
Residential Care Facility,Ongoing Outbreaks,Wilson,2
Nursing Home,Ongoing Outbreaks,Wilson,2
Residential Care Facility,Ongoing Outbreaks,Hoke,4
Residential Care Facility,Ongoing Outbreaks,Haywood,1
Correctional Facility,Ongoing Outbreaks,Haywood,1
Nursing Home,Ongoing Outbreaks,Haywood,4
Residential Care Facility,Ongoing Outbreaks,Ashe,1
Nursing Home,Ongoing Outbreaks,Ashe,1
Nursing Home,Ongoing Outbreaks,Gates,1
Nursing Home,Ongoing Outbreaks,Lee,2
Nursing Home,Ongoing Outbreaks,Pamlico,1
K-12 School,,Pamlico,2
K-12 School,,Martin,1
Child Care,,Orange,1
Residential Care Facility,Ongoing Outbreaks,Orange,1
Nursing Home,Ongoing Outbreaks,Orange,2
Nursing Home,Ongoing Outbreaks,Beaufort,1
Correctional Facility,Ongoing Outbreaks,Beaufort,1
K-12 School,,Cleveland,1
Correctional Facility,Ongoing Outbreaks,Cleveland,1
Nursing Home,Ongoing Outbreaks,Cleveland,2
Residential Care Facility,Ongoing Outbreaks,Mitchell,1
Correctional Facility,Ongoing Outbreaks,Avery,1
K-12 School,,Avery,1
,,Graham,0
Correctional Facility,Ongoing Outbreaks,Surry,1
Nursing Home,Ongoing Outbreaks,Surry,1
K-12 School,,Alleghany,1
Residential Care Facility,Ongoing Outbreaks,Durham,1
Other,Ongoing Outbreaks,Durham,1
Child Care,,Durham,1
Nursing Home,Ongoing Outbreaks,Durham,4
Child Care,,Person,2
Nursing Home,Ongoing Outbreaks,Person,1
K-12 School,,Person,2
Residential Care Facility,Ongoing Outbreaks,Caldwell,1
