People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
4515,3619,23178,26451,Robeson
381,334,3622,4183,Perquimans
14140,10970,49910,57670,Johnston
8378,6616,29950,32767,Randolph
107,90,2166,2424,Hyde
783,661,3602,3932,Alleghany
3027,2546,11513,13010,Duplin
240,197,2726,3237,Gates
4738,3831,18379,21154,Haywood
2821,2132,13759,15909,Stanly
38043,29494,11171,13136,Missing County
4988,4113,19749,22718,Wilson
79,69,1168,1261,Tyrrell
6257,5053,25655,28855,Wayne
1196,968,6699,7516,Montgomery
4147,3509,14699,16105,Lenoir
1847,1530,9207,10242,Scotland
11260,9222,52841,58120,Alamance
275,212,2437,2905,Camden
1032,892,5841,6450,Greene
8603,6573,27350,30582,Rowan
554,437,5941,6642,Northampton
3916,2944,15765,17140,Wilkes
6952,5302,20271,22840,Lincoln
4003,3050,21777,23385,Caldwell
1120,1000,6265,6708,Polk
5565,4568,19831,21222,Surry
1411,1228,13521,14456,Macon
746,672,2806,3043,Clay
1821,1541,10148,10873,Yadkin
8240,6187,27823,30382,Onslow
1855,1487,11595,12658,Richmond
27945,24824,86641,96411,Buncombe
20890,16508,57128,64948,Union
20002,15939,47407,56340,Cabarrus
896,692,2845,3242,Washington
6346,4623,25356,28297,Harnett
4301,3332,23935,25742,Burke
0,0,66057,77883,Out of State
4515,3618,17614,19397,Granville
15264,11718,51863,57893,Gaston
2558,2044,11592,13661,Edgecombe
2628,2317,19806,21748,Watauga
1865,1453,7410,8592,Hoke
660,569,5858,6878,Bertie
2189,1728,11423,13004,Person
2078,1699,15513,16860,Beaufort
12530,9610,41837,45835,Catawba
1521,1256,13105,14292,Jackson
137106,112361,383241,431853,Wake
5509,4274,24375,26602,Cleveland
3051,2363,15391,17466,Sampson
2304,1927,13319,14216,Columbus
732,461,6585,7415,Caswell
390,309,5527,6195,Yancey
3972,3218,16540,18355,Lee
1019,906,5904,6902,Hertford
5138,3869,24086,26664,Rockingham
116884,91223,290738,345502,Mecklenburg
5529,4629,22677,24379,Carteret
576,459,3413,3634,Swain
699,589,5835,6381,Avery
3072,2426,11904,13680,Vance
1790,1448,15090,16821,Halifax
2305,1996,14731,16725,Rutherford
7233,5762,24909,29553,Nash
1592,1441,8217,9062,Ashe
3243,2652,10283,11469,Stokes
265,217,2088,2269,Graham
4009,3373,16361,18226,Pender
6202,5305,29342,31521,Craven
44868,36860,167283,185520,Guilford
659,610,7868,8571,Madison
7906,6712,23685,26690,Chatham
11218,9634,52211,56070,Pitt
7615,6664,33787,36319,Moore
33895,28985,114644,128792,Forsyth
16582,12658,42059,45358,Iredell
1991,1744,11797,12553,Transylvania
964,798,6420,7225,Martin
1103,955,5945,6959,Warren
428,350,2598,2906,Jones
3494,2974,12310,13517,Davie
17628,12793,56926,62860,Cumberland
1426,1119,13903,15117,McDowell
1309,1113,7404,8106,Cherokee
723,660,4286,5233,Chowan
15960,14379,65312,70646,Orange
994,828,10004,10894,Alexander
30359,25244,118839,131867,Durham
8283,7196,37085,40582,Henderson
1855,1398,10891,12787,Pasquotank
433,370,4828,5249,Pamlico
442,351,4093,4678,Mitchell
926,733,6759,8012,Currituck
12346,11139,53587,57579,Brunswick
10391,8235,37990,41900,Davidson
5622,4351,17048,18958,Franklin
2687,2294,17307,18421,Dare
1461,1162,8321,9119,Bladen
24757,20906,77707,83545,New Hanover
819,650,5887,6799,Anson
