Demographic,Race,Value,calc.ValueComma,Age Group,Gender,Hispanic,Name
Gender,,5616,"5,616",,Male,,Deaths
Gender,,5120,"5,120",,Female,,Deaths
Gender,,30,30,,Missing,,Deaths
Gender,,47%,47%,,Male,,Percent of Cases
Gender,,53%,53%,,Female,,Percent of Cases
Gender,,,,,Missing,,Percent of Cases
Gender,,52%,52%,,Male,,Percent of Deaths
Gender,,48%,48%,,Female,,Percent of Deaths
Gender,,,,,Missing,,Percent of Deaths
Gender,,387430,"387,430",,Male,,Cases
Gender,,441399,"441,399",,Female,,Cases
Gender,,4594,"4,594",,Missing,,Cases
Ethnicity,,78%,78%,,,Non-Hispanic,Percent of Cases
Ethnicity,,22%,22%,,,Hispanic,Percent of Cases
Ethnicity,,,,,,Missing,Percent of Cases
Ethnicity,,92%,92%,,,Non-Hispanic,Percent of Deaths
Ethnicity,,8%,8%,,,Hispanic,Percent of Deaths
Ethnicity,,,,,,Missing,Percent of Deaths
Ethnicity,,8355,"8,355",,,Non-Hispanic,Deaths
Ethnicity,,759,759,,,Hispanic,Deaths
Ethnicity,,1652,"1,652",,,Missing,Deaths
Ethnicity,,416554,"416,554",,,Non-Hispanic,Cases
Ethnicity,,114726,"114,726",,,Hispanic,Cases
Ethnicity,,302143,"302,143",,,Missing,Cases
Age Group,,12,12,18-24,,,Deaths
Age Group,,2522,"2,522",65-74,,,Deaths
Age Group,,3,3,0-17,,,Deaths
Age Group,,368,368,25-49,,,Deaths
Age Group,,6422,"6,422",75+,,,Deaths
Age Group,,1439,"1,439",50-64,,,Deaths
Age Group,,0,0,Missing,,,Deaths
Age Group,,14%,14%,18-24,,,Percent of Cases
Age Group,,8%,8%,65-74,,,Percent of Cases
Age Group,,12%,12%,0-17,,,Percent of Cases
Age Group,,39%,39%,25-49,,,Percent of Cases
Age Group,,7%,7%,75+,,,Percent of Cases
Age Group,,20%,20%,50-64,,,Percent of Cases
Age Group,,,,Missing,,,Percent of Cases
Age Group,,0%,0%,18-24,,,Percent of Deaths
Age Group,,23%,23%,65-74,,,Percent of Deaths
Age Group,,0%,0%,0-17,,,Percent of Deaths
Age Group,,3%,3%,25-49,,,Percent of Deaths
Age Group,,60%,60%,75+,,,Percent of Deaths
Age Group,,13%,13%,50-64,,,Percent of Deaths
Age Group,,,,Missing,,,Percent of Deaths
Age Group,,112967,"112,967",18-24,,,Cases
Age Group,,69141,"69,141",65-74,,,Cases
Age Group,,97062,"97,062",0-17,,,Cases
Age Group,,326862,"326,862",25-49,,,Cases
Age Group,,56685,"56,685",75+,,,Cases
Age Group,,170504,"170,504",50-64,,,Cases
Age Group,,202,202,Missing,,,Cases
Race,Missing,671,671,,,,Deaths
Race,Black or African American,2509,"2,509",,,,Deaths
Race,Asian or Pacific Islander,113,113,,,,Deaths
Race,American Indian Alaskan Native,111,111,,,,Deaths
Race,White,6698,"6,698",,,,Deaths
Race,Other,664,664,,,,Deaths
Race,Missing,,,,,,Percent of Cases
Race,Black or African American,21%,21%,,,,Percent of Cases
Race,Asian or Pacific Islander,2%,2%,,,,Percent of Cases
Race,American Indian Alaskan Native,2%,2%,,,,Percent of Cases
Race,White,62%,62%,,,,Percent of Cases
Race,Other,14%,14%,,,,Percent of Cases
Race,Missing,,,,,,Percent of Deaths
Race,Black or African American,25%,25%,,,,Percent of Deaths
Race,Asian or Pacific Islander,1%,1%,,,,Percent of Deaths
Race,American Indian Alaskan Native,1%,1%,,,,Percent of Deaths
Race,White,66%,66%,,,,Percent of Deaths
Race,Other,7%,7%,,,,Percent of Deaths
Race,Missing,155949,"155,949",,,,Cases
Race,Black or African American,139450,"139,450",,,,Cases
Race,Asian or Pacific Islander,12929,"12,929",,,,Cases
Race,American Indian Alaskan Native,10535,"10,535",,,,Cases
Race,White,420636,"420,636",,,,Cases
Race,Other,93924,"93,924",,,,Cases
