At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - NC,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,county1
8994,18319,18493,18493,18510,12640,12640,12548,6565,5784,5784,5702,2396,5784,12640,60010,53564,Robeson,69,69,69,33,86,1315,832,122048,15645,49999,52916,53660,16376,55548,58909,60098,1315,832,1384,1315,511,913,832,382,98425,20565,130625,109195,13754,2142,15349,15148,43365,42446,13723,40479,2008,12546,13794,13901,38290,13255,38846,36621,15348,43347,13900,38832,ROBESON COUNTY
1938,2998,3007,3007,3007,2296,2296,2292,1533,711,711,706,405,711,2296,6548,5997,Perquimans,,,,,,0,0,12861,2863,5796,5957,6011,3055,6285,6466,6570,0,0,19,0,0,12,0,0,10957,3671,13463,11854,1088,232,1145,1135,5406,5331,2823,5197,213,981,1032,1034,4925,2650,4965,4815,1145,5403,1034,4963,PERQUIMANS COUNTY
16663,44908,45831,45831,45871,21001,21001,20676,9085,24812,24812,24214,7578,24814,21007,118620,109706,Johnston,18,18,18,0,50,3215,2140,196283,24893,99586,107082,109773,25906,106615,114978,118732,3204,2140,3284,3041,871,2171,2025,604,156585,28558,209339,175612,32836,3846,38329,36866,77119,74908,21189,70738,3716,30646,34413,35574,70529,20573,72028,66915,38328,77077,35570,71996,JOHNSTON COUNTY
12217,25551,25808,25808,25846,12231,12231,12144,6356,13577,13577,13407,5861,13577,12233,65381,61356,Randolph,0,0,0,0,36,759,554,135556,19719,57621,60460,61449,20053,60952,64108,65515,759,554,856,759,501,625,554,427,111702,26060,143667,123257,20328,3800,22411,21912,42248,41437,15752,39865,3867,19108,20548,20904,39358,15425,39920,37959,22410,42212,20902,39900,RANDOLPH COUNTY
674,1646,1675,1675,1675,1623,1623,1594,660,52,52,52,14,52,1623,3405,3237,Hyde,,,,,,,,4753,1033,3030,3160,3237,1053,3173,3311,3408,,,,,,,,,4098,1114,4937,4410,163,52,175,172,3233,3139,1001,3010,44,147,156,160,3004,989,3077,2883,175,3230,160,3077,HYDE COUNTY
1674,2962,2978,2978,2979,1653,1653,1639,992,1325,1325,1323,682,1325,1654,6761,6287,Alleghany,,,,,,10,0,10626,2579,6064,6216,6320,2691,6487,6657,6808,10,0,48,10,10,26,0,0,9249,3116,11137,9915,1314,350,1367,1361,5393,5286,2331,5163,331,1215,1252,1262,4964,2248,5032,4849,1367,5384,1262,5025,ALLEGHANY COUNTY
4589,9186,9252,9252,9269,5000,5000,4972,2579,4252,4252,4214,2010,4252,5002,29053,26304,Duplin,0,0,0,0,15,1984,1450,55126,7743,24324,25836,26370,8028,26617,28357,29128,1969,1450,2043,1769,419,1504,1279,300,44760,11405,58741,49644,7489,1498,8409,8275,18676,18113,6111,17359,1507,7097,7828,7904,16558,5936,16962,15948,8409,18660,7904,16950,DUPLIN COUNTY
1031,1814,1824,1824,1824,1592,1592,1589,950,232,232,225,81,232,1592,4769,4433,Gates,,,,,,50,39,11027,1748,4281,4413,4459,1850,4557,4719,4841,50,39,114,50,0,64,39,0,9230,2418,11562,10120,501,122,553,549,4174,4120,1728,4006,122,471,510,511,3864,1626,3884,3771,553,4166,511,3883,GATES COUNTY
9391,18178,18411,18411,18456,11403,11403,11272,5997,6960,6960,6858,3383,6960,11403,37087,35021,Haywood,48,48,48,11,93,1375,889,59266,13627,33080,34388,35110,14019,34968,36340,37192,1375,889,1470,1375,613,965,889,509,50968,15572,62317,54941,7984,1979,8477,8430,27245,26535,11427,25609,1843,7336,7777,7815,25722,11275,26330,24855,8477,27235,7815,26317,HAYWOOD COUNTY
6123,12076,12209,12209,12232,6739,6739,6656,3536,5470,5470,5420,2587,5470,6739,29047,27108,Stanly,0,0,0,0,23,663,473,59178,9520,25740,26814,27188,9896,27443,28610,29106,663,473,716,663,329,549,473,284,49282,12123,62806,54008,6808,1339,7277,7148,21113,20799,8228,19972,1310,6346,6665,6737,19676,7926,19902,18921,7277,21107,6737,19898,STANLY COUNTY
40503,134066,137042,137042,137050,37353,37353,36329,15356,99689,99689,97737,25147,99691,37359,238932,226659,Missing,,,,,,41127,48498,,43115,207851,219266,228255,48516,217473,229689,240764,41114,48498,42849,40972,9850,49853,48401,9788,,,,,86039,7426,97861,92991,100054,95584,31240,90462,8089,84666,91842,96140,78926,25238,82262,74784,97845,99960,96137,82024,MISSING COUNTY
8636,17734,17959,17959,17969,11874,11874,11793,6455,6048,6048,5904,2166,6048,11879,44705,41715,Wilson,37,37,37,15,42,522,345,76972,12770,38898,41034,41772,13099,41312,43698,44768,522,345,566,522,266,386,345,222,63224,15337,81801,69710,11777,1830,13544,13095,30658,30081,11003,29013,1804,10910,12105,12406,28584,10744,28980,27643,13541,30642,12404,28966,WILSON COUNTY
