Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
23833,59416,27246,5091,3246,Robeson
3738,8801,4304,435,324,Perquimans
49912,136478,59295,15819,11452,Johnston
30337,79666,33526,9267,6536,Randolph
2219,4916,2504,110,83,Hyde
3384,8826,3972,835,635,Alleghany
11584,30603,13278,3298,2443,Duplin
2822,6623,3343,267,191,Gates
18355,48828,21658,4999,3816,Haywood
14444,35959,16270,3148,2097,Stanly
75233,239464,93474,42023,28734,Missing / Out of State
20473,52950,23490,5470,3517,Wilson
1147,2632,1338,83,64,Tyrrell
26446,68059,29656,7174,4783,Wayne
6815,16629,7652,1344,818,Montgomery
14571,38967,16535,4520,3341,Lenoir
9543,23319,10466,2017,1293,Scotland
52450,133746,59688,12319,9289,Alamance
2509,6009,2968,315,217,Camden
5593,14149,6644,1100,812,Greene
28205,75987,31461,9501,6820,Rowan
6016,13768,6728,618,406,Northampton
15618,40235,17444,4337,2836,Wilkes
21032,57487,23150,7825,5480,Lincoln
20716,51920,23885,4483,2836,Caldwell
6301,15219,6807,1165,946,Polk
19753,51634,21402,5939,4540,Surry
11659,28923,14657,1506,1101,Macon
2844,7386,3104,772,666,Clay
9791,24370,11065,1993,1521,Yadkin
27185,73945,30951,9667,6142,Onslow
11607,27846,12895,2076,1268,Richmond
83905,237628,99820,29507,24396,Buncombe
58074,165142,66734,23162,17172,Union
50061,146932,57965,22397,16509,Cabarrus
2819,7805,3315,958,713,Washington
24955,65887,29040,7349,4543,Harnett
24229,58566,26266,4870,3201,Burke
17937,46344,19886,4975,3546,Granville
51336,139605,58735,17562,11972,Gaston
11511,30218,13994,2866,1847,Edgecombe
16031,43196,22100,2810,2255,Watauga
7403,19649,8884,2155,1207,Hoke
5965,14216,7017,714,520,Bertie
11807,29226,13314,2468,1637,Person
14792,35836,17159,2294,1591,Beaufort
42512,113111,46970,13930,9699,Catawba
12121,29667,14667,1650,1229,Jackson
375559,1091169,447629,149255,118726,Wake
24698,62184,27158,6187,4141,Cleveland
15359,39005,17916,3412,2318,Sampson
12836,31490,14486,2492,1676,Columbus
6752,15558,7556,794,456,Caswell
5556,12615,6342,459,258,Yancey
16950,43423,18805,4562,3106,Lee
5906,14931,7048,1153,824,Hertford
24333,61216,27289,5764,3830,Rockingham
296364,876691,357690,128532,94105,Mecklenburg
22502,57689,24557,6139,4491,Carteret
3369,8140,3691,628,452,Swain
5501,13334,6494,767,572,Avery
12522,32333,14044,3481,2286,Vance
15232,35739,17204,1999,1304,Halifax
15156,36886,17267,2552,1911,Rutherford
25006,69034,30116,8128,5784,Nash
7354,19587,9187,1729,1317,Ashe
9923,27803,11709,3578,2593,Stokes
2094,4871,2304,284,189,Graham
16178,42291,18565,4381,3167,Pender
29580,73659,32047,6955,5077,Craven
168229,445147,191136,49135,36647,Guilford
7032,17139,8837,709,561,Madison
24025,66264,27396,8401,6442,Chatham
46754,126088,57189,12475,9670,Pitt
33939,85850,36928,8350,6633,Moore
105042,303649,132720,37014,28873,Forsyth
41853,119550,45944,18396,13357,Iredell
9491,26122,12829,2110,1692,Transylvania
6260,15438,7389,1065,724,Martin
6424,15628,7079,1217,908,Warren
2709,6470,2960,480,321,Jones
11564,32216,13877,3851,2924,Davie
57973,154587,64279,20018,12317,Cumberland
13575,31568,15486,1533,974,Mcdowell
7536,18133,8238,1384,975,Cherokee
4229,11015,5305,798,683,Chowan
60959,166756,74226,16866,14705,Orange
10193,23138,11080,1116,749,Alexander
113884,308678,136656,32436,25702,Durham
34651,92119,41772,8802,6894,Henderson
10965,27593,13065,2106,1457,Pasquotank
4889,10984,5296,500,299,Pamlico
4012,9564,4819,498,235,Mitchell
7097,17097,8240,1051,709,Currituck
51418,133872,58241,13272,10941,Brunswick
37616,100532,43069,11492,8355,Davidson
17315,47575,19417,6315,4528,Franklin
15633,39407,18605,2884,2285,Dare
8396,20307,9338,1647,926,Bladen
72584,205997,85531,26612,21270,New Hanover
6329,14832,6943,925,635,Anson
