Deaths,"Cases Per 10,000 Residents","Cases Per 100,000 Residents",County,Cases
949,1001.0,10014.0,Mecklenburg,111196
256,1004.0,10042.0,Cabarrus,21737
423,1177.0,11770.0,Gaston,26427
218,1022.0,10221.0,Johnston,21397
301,1180.0,11796.0,Rowan,16761
88,621.0,6208.0,Chatham,4623
31,817.0,8169.0,Watauga,4589
113,1063.0,10633.0,Lenoir,5949
81,980.0,9796.0,Granville,5921
159,863.0,8630.0,Henderson,10133
153,1098.0,10975.0,Burke,9931
234,1253.0,12528.0,Robeson,16365
85,1159.0,11592.0,Lincoln,9982
104,1132.0,11324.0,Caldwell,9306
86,1106.0,11061.0,Vance,4926
151,1137.0,11371.0,Columbus,6312
80,842.0,8425.0,Pasquotank,3355
152,637.0,6371.0,Brunswick,9099
245,900.0,9000.0,Wayne,11082
32,686.0,6858.0,Transylvania,2358
55,1048.0,10480.0,Anson,2562
132,1237.0,12368.0,Stanly,7768
11,749.0,7495.0,Perquimans,1009
112,967.0,9674.0,Wilkes,6618
301,1212.0,12115.0,Catawba,19330
29,708.0,7084.0,Polk,1468
16,554.0,5543.0,Currituck,1539
20,907.0,9067.0,Warren,1789
12,692.0,6919.0,Graham,584
10,569.0,5691.0,Dare,2106
13,635.0,6348.0,Gates,734
6,794.0,7943.0,Tyrrell,319
0,,,Missing,28
219,780.0,7797.0,Durham,25066
700,875.0,8749.0,Guilford,46996
722,781.0,7810.0,Wake,86826
93,1216.0,12159.0,Montgomery,3304
226,1041.0,10410.0,Randolph,14956
185,979.0,9789.0,Davidson,16407
142,853.0,8530.0,Onslow,16885
101,574.0,5736.0,Orange,8516
315,674.0,6743.0,Buncombe,17611
67,848.0,8476.0,Person,3347
133,1064.0,10637.0,Duplin,6248
84,1085.0,10849.0,Scotland,3778
49,977.0,9765.0,Franklin,6805
124,906.0,9062.0,Craven,9256
37,945.0,9452.0,Davie,4050
109,1244.0,12440.0,Sampson,7903
40,998.0,9982.0,Martin,2240
63,884.0,8836.0,Hertford,2092
43,928.0,9284.0,Bertie,1759
206,1086.0,10862.0,Rutherford,7281
93,1034.0,10342.0,Richmond,4636
16,963.0,9630.0,Mitchell,1441
84,1167.0,11668.0,Alexander,4375
63,1140.0,11395.0,McDowell,5214
38,875.0,8748.0,Macon,3137
13,876.0,8762.0,Pamlico,1115
23,1044.0,10443.0,Chowan,1456
41,718.0,7185.0,Madison,1563
164,813.0,8135.0,New Hanover,19074
300,848.0,8484.0,Cumberland,28463
59,961.0,9614.0,Northampton,1873
77,965.0,9647.0,Lee,5960
112,1077.0,10771.0,Edgecombe,5544
107,825.0,8253.0,Rockingham,7511
26,881.0,8812.0,Jones,830
55,841.0,8408.0,Hoke,4644
27,957.0,9574.0,Caswell,2164
173,1180.0,11799.0,Wilson,9652
18,659.0,6589.0,Clay,740
18,851.0,8514.0,Swain,1215
111,1111.0,11114.0,Halifax,5558
159,1137.0,11375.0,Surry,8165
96,698.0,6984.0,Haywood,4352
80,885.0,8848.0,Stokes,4034
44,1097.0,10973.0,Greene,2312
5,930.0,9302.0,Alleghany,1036
41,773.0,7727.0,Ashe,2102
28,892.0,8921.0,Yancey,1612
20,1206.0,12058.0,Avery,2117
217,1010.0,10103.0,Union,24233
375,931.0,9312.0,Forsyth,35599
86,1081.0,10812.0,Pitt,19542
187,877.0,8771.0,Moore,8848
208,1024.0,10237.0,Iredell,18612
276,1058.0,10579.0,Alamance,17933
34,892.0,8923.0,Cherokee,2553
189,1214.0,12138.0,Nash,11446
224,1165.0,11651.0,Cleveland,11412
31,916.0,9162.0,Washington,1061
169,845.0,8453.0,Harnett,11494
95,972.0,9723.0,Beaufort,4569
41,995.0,9947.0,Bladen,3255
48,1062.0,10617.0,Yadkin,3999
69,854.0,8544.0,Pender,5388
54,735.0,7351.0,Carteret,5107
56,818.0,8182.0,Jackson,3595
5,606.0,6064.0,Camden,659
9,1355.0,13551.0,Hyde,669
