Facility_Type,Category,County,Outbreak Count
Correctional Facility,Ongoing Outbreaks,Cumberland,1
Child Care,,Cumberland,1
Nursing Home,Ongoing Outbreaks,Cumberland,5
Residential Care Facility,Ongoing Outbreaks,Cumberland,3
Correctional Facility,Ongoing Outbreaks,Halifax,1
Nursing Home,Ongoing Outbreaks,Halifax,1
K-12 School,,Pitt,1
Residential Care Facility,Ongoing Outbreaks,Pitt,1
Nursing Home,Ongoing Outbreaks,Pitt,1
Nursing Home,Ongoing Outbreaks,Union,2
K-12 School,,Union,1
Correctional Facility,Ongoing Outbreaks,Union,1
,,Jones,0
Residential Care Facility,Ongoing Outbreaks,Yancey,1
Child Care,,Richmond,1
K-12 School,,Richmond,1
Correctional Facility,Ongoing Outbreaks,Richmond,1
Residential Care Facility,Ongoing Outbreaks,Richmond,1
,,Warren,0
Nursing Home,Ongoing Outbreaks,Buncombe,6
Correctional Facility,Ongoing Outbreaks,Buncombe,1
K-12 School,,Buncombe,1
Child Care,,Buncombe,1
Residential Care Facility,Ongoing Outbreaks,Buncombe,2
Nursing Home,Ongoing Outbreaks,Currituck,1
,,Vance,0
Residential Care Facility,Ongoing Outbreaks,Forsyth,1
Nursing Home,Ongoing Outbreaks,Forsyth,3
Child Care,,Forsyth,1
Residential Care Facility,Ongoing Outbreaks,Duplin,1
Nursing Home,Ongoing Outbreaks,Rockingham,4
K-12 School,,Rockingham,1
Residential Care Facility,Ongoing Outbreaks,Rockingham,1
K-12 School,,Wake,3
Correctional Facility,Ongoing Outbreaks,Wake,5
Child Care,,Wake,4
Residential Care Facility,Ongoing Outbreaks,Wake,5
Nursing Home,Ongoing Outbreaks,Wake,4
Residential Care Facility,Ongoing Outbreaks,Chowan,1
Nursing Home,Ongoing Outbreaks,Scotland,1
Correctional Facility,Ongoing Outbreaks,Scotland,1
K-12 School,,Scotland,2
,,Hyde,0
,,Nash,0
Nursing Home,Ongoing Outbreaks,Wayne,2
Nursing Home,Ongoing Outbreaks,Madison,1
,,Tyrrell,0
K-12 School,,Brunswick,1
Nursing Home,Ongoing Outbreaks,Brunswick,1
Residential Care Facility,Ongoing Outbreaks,Brunswick,1
Residential Care Facility,Ongoing Outbreaks,Granville,1
Correctional Facility,Ongoing Outbreaks,Granville,2
Nursing Home,Ongoing Outbreaks,Granville,1
,,Bertie,0
K-12 School,,Iredell,4
Residential Care Facility,Ongoing Outbreaks,Iredell,2
Nursing Home,Ongoing Outbreaks,Iredell,1
Nursing Home,Ongoing Outbreaks,New Hanover,2
Correctional Facility,Ongoing Outbreaks,New Hanover,1
Child Care,,New Hanover,1
K-12 School,,New Hanover,1
Residential Care Facility,Ongoing Outbreaks,New Hanover,1
Nursing Home,Ongoing Outbreaks,Northampton,1
Residential Care Facility,Ongoing Outbreaks,Sampson,1
Child Care,,Moore,1
K-12 School,,Moore,2
K-12 School,,Dare,1
Nursing Home,Ongoing Outbreaks,Mecklenburg,10
K-12 School,,Mecklenburg,2
Child Care,,Mecklenburg,2
Other,Ongoing Outbreaks,Mecklenburg,1
Residential Care Facility,Ongoing Outbreaks,Mecklenburg,4
Nursing Home,Ongoing Outbreaks,Randolph,4
Nursing Home,Ongoing Outbreaks,Clay,1
Nursing Home,Ongoing Outbreaks,Lenoir,1
Residential Care Facility,Ongoing Outbreaks,Lenoir,2
Child Care,,Onslow,2
K-12 School,,Onslow,3
Residential Care Facility,Ongoing Outbreaks,Onslow,2
Nursing Home,Ongoing Outbreaks,Yadkin,2
K-12 School,,Yadkin,3
Correctional Facility,Ongoing Outbreaks,Carteret,1
Nursing Home,Ongoing Outbreaks,Carteret,1
Nursing Home,Ongoing Outbreaks,Craven,1
Residential Care Facility,Ongoing Outbreaks,Craven,1
Child Care,,Anson,1
Correctional Facility,Ongoing Outbreaks,Anson,1
Nursing Home,Ongoing Outbreaks,Anson,1
Correctional Facility,Ongoing Outbreaks,Cherokee,1
Nursing Home,Ongoing Outbreaks,Cherokee,1
K-12 School,,Gaston,1
Correctional Facility,Ongoing Outbreaks,Gaston,1
Nursing Home,Ongoing Outbreaks,Gaston,1
Correctional Facility,Ongoing Outbreaks,Stanly,1
Nursing Home,Ongoing Outbreaks,Stanly,1
Residential Care Facility,Ongoing Outbreaks,Lincoln,1
Nursing Home,Ongoing Outbreaks,Pender,2
K-12 School,,Pender,2
Correctional Facility,Ongoing Outbreaks,Pender,2
Residential Care Facility,Ongoing Outbreaks,Pender,1
,,Swain,0
Nursing Home,Ongoing Outbreaks,Cabarrus,2
K-12 School,,Cabarrus,2
Residential Care Facility,Ongoing Outbreaks,Davidson,1
Nursing Home,Ongoing Outbreaks,Davidson,2
K-12 School,,Davidson,1
Residential Care Facility,Ongoing Outbreaks,Henderson,1
Nursing Home,Ongoing Outbreaks,Henderson,1
Residential Care Facility,Ongoing Outbreaks,Hertford,1
Nursing Home,Ongoing Outbreaks,Hertford,1
