At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - NC,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,county1
9072,18619,18812,18812,18829,12884,12884,12780,6628,5859,5859,5770,2411,5859,12884,60135,53740,Robeson,69,69,69,33,86,1318,833,122048,15671,50104,53042,53836,16402,55635,59001,60223,1318,833,1387,1318,512,914,833,382,98425,20565,130625,109195,13776,2143,15380,15169,43456,42514,13747,40541,2012,12587,13839,13951,38370,13277,38971,36684,15379,43438,13950,38957,ROBESON COUNTY
1947,3025,3036,3036,3036,2319,2319,2313,1539,717,717,712,408,717,2319,6554,6006,Perquimans,,,,,,0,0,12861,2870,5802,5964,6020,3062,6289,6470,6576,0,0,19,0,0,12,0,0,10957,3671,13463,11854,1091,232,1148,1138,5409,5332,2830,5198,213,984,1035,1038,4929,2657,4970,4818,1148,5406,1038,4968,PERQUIMANS COUNTY
16817,45733,46785,46785,46825,21353,21353,20985,9152,25414,25414,24730,7665,25416,21359,118902,110059,Johnston,18,18,18,0,50,3223,2144,196283,24923,99739,107270,110126,25933,106771,115154,119014,3212,2144,3292,3049,872,2175,2028,604,156585,28558,209339,175612,32951,3858,38523,37005,77199,74937,21203,70771,3729,30739,34522,35781,70604,20590,72170,66972,38522,77157,35777,72138,JOHNSTON COUNTY
12306,25866,26141,26141,26179,12380,12380,12280,6409,13761,13761,13586,5897,13761,12382,65511,61530,Randolph,0,0,0,0,36,769,554,135556,19741,57744,60591,61623,20073,61062,64220,65636,769,554,857,769,501,625,554,427,111702,26060,143667,123257,20374,3805,22474,21962,42305,41489,15767,39919,3877,19192,20639,21027,39398,15437,39971,37998,22473,42269,21025,39951,RANDOLPH COUNTY
677,1655,1694,1694,1694,1640,1640,1603,663,54,54,52,14,54,1640,3407,3241,Hyde,,,,,,,,4753,1034,3032,3163,3241,1054,3174,3313,3410,,,,,,,,,4098,1114,4937,4410,164,52,176,173,3234,3140,1002,3010,44,148,157,161,3006,990,3080,2884,176,3231,161,3080,HYDE COUNTY
1679,2983,2998,2998,2999,1660,1660,1646,995,1338,1338,1337,684,1338,1661,6773,6295,Alleghany,,,,,,10,0,10626,2580,6066,6220,6328,2692,6497,6667,6821,10,0,49,10,10,26,0,0,9249,3116,11137,9915,1321,350,1374,1368,5398,5289,2332,5166,332,1220,1257,1265,4963,2248,5037,4846,1374,5389,1265,5030,ALLEGHANY COUNTY
4667,9396,9468,9468,9485,5142,5142,5106,2633,4326,4326,4290,2034,4326,5144,29108,26369,Duplin,0,0,0,0,15,1990,1453,55126,7756,24372,25889,26436,8040,26659,28404,29184,1974,1453,2050,1774,419,1508,1282,301,44760,11405,58741,49644,7504,1502,8424,8293,18710,18137,6119,17381,1511,7116,7849,7927,16587,5944,17001,15974,8424,18694,7927,16989,DUPLIN COUNTY
1038,1829,1839,1839,1839,1602,1602,1599,955,237,237,230,83,237,1602,4768,4441,Gates,,,,,,50,39,11027,1750,4286,4420,4467,1849,4557,4720,4840,50,39,114,50,0,64,39,0,9230,2418,11562,10120,501,122,553,549,4173,4121,1727,4006,124,476,515,516,3866,1626,3887,3771,553,4165,516,3886,GATES COUNTY
9444,18367,18615,18615,18660,11524,11524,11384,6025,7043,7043,6935,3408,7043,11524,37144,35089,Haywood,48,48,48,11,93,1385,889,59266,13635,33119,34432,35178,14038,35017,36391,37241,1385,889,1472,1385,623,965,889,509,50968,15572,62317,54941,8005,1984,8499,8450,27270,26556,11431,25627,1846,7355,7799,7839,25744,11280,26374,24875,8499,27260,7839,26361,HAYWOOD COUNTY
6163,12194,12328,12328,12351,6824,6824,6739,3560,5504,5504,5455,2603,5504,6824,29087,27158,Stanly,0,0,0,0,23,663,473,59178,9531,25761,26840,27238,9903,27468,28634,29146,663,473,716,663,329,549,473,284,49282,12123,62806,54008,6823,1342,7292,7163,21138,20808,8232,19982,1314,6355,6673,6753,19694,7933,19936,18933,7292,21132,6753,19932,STANLY COUNTY
40959,135040,137912,137912,137920,38378,38378,37293,15795,99534,99534,97747,25164,99535,38385,240401,227812,Missing,,,,,,41429,48596,,43458,208827,220340,229408,49055,218846,231128,242250,41416,48596,43168,41274,9961,49949,48499,9818,,,,,85990,7443,97737,92938,101345,96774,31651,91582,8110,84684,91864,96068,79880,25530,83391,75644,97721,101251,96065,83151,MISSING COUNTY
8699,17951,18187,18187,18197,12037,12037,11954,6499,6113,6113,5960,2185,6113,12042,44779,41839,Wilson,37,37,37,15,42,522,345,76972,12789,38963,41111,41896,13116,41356,43746,44842,522,345,566,522,266,386,345,222,63224,15337,81801,69710,11797,1837,13573,13117,30703,30107,11013,29037,1810,10941,12142,12465,28624,10757,29045,27677,13570,30687,12463,29031,WILSON COUNTY
437,815,816,816,816,740,740,739,408,76,76,76,29,76,740,2045,1939,Tyrrell,,,,,,,,3827,668,1823,1910,1940,684,1914,2007,2047,,,,,,,,,3288,810,4016,3533,167,37,177,175,1870,1832,647,1747,37,142,147,147,1763,631,1793,1681,177,1868,147,1792,TYRRELL COUNTY
10200,21890,22103,22103,22110,10863,10863,10764,5037,11195,11195,11081,5137,11195,10864,64238,58749,Wayne,45,45,45,26,51,6475,5114,115046,15827,55122,57860,58814,16551,59869,62970,64315,6445,5091,6515,6343,891,5151,5005,652,94031,20802,123131,103693,17317,3150,19923,19227,37877,37298,12510,36209,3048,16153,17847,18354,34922,12127,35309,33964,19922,37841,18350,35285,WAYNE COUNTY
2425,4641,4662,4662,4662,2388,2388,2384,1274,2274,2274,2257,1151,2274,2388,12347,11599,Montgomery,,,,,,167,137,25757,4390,11172,11526,11645,4531,11860,12242,12441,167,137,258,167,105,182,137,95,21266,5743,27173,23512,2778,521,2979,2939,9204,9136,3905,8915,488,2598,2747,2779,8642,3807,8684,8437,2979,9201,2779,8683,MONTGOMERY COUNTY
6603,12868,12966,12966,12983,7668,7668,7637,4055,5265,5265,5198,2534,5266,7669,32306,30018,Lenoir,33,33,33,14,48,413,276,52801,10274,28367,29669,30052,10542,30331,31762,32328,413,276,429,413,237,306,276,196,43423,11303,55949,47933,9102,1707,10366,10062,21533,21287,8598,20816,1668,8482,9392,9612,20001,8410,20134,19609,10366,21527,9612,20130,LENOIR COUNTY
3240,6579,6645,6645,6645,4001,4001,3989,2026,2644,2644,2590,1214,2644,4001,18075,16660,Scotland,,,,,,218,168,32530,5797,15855,16505,16699,6036,17081,17840,18123,218,168,262,218,125,207,168,99,26793,6531,34823,29381,4505,924,5146,5012,12715,12610,4987,12358,848,4089,4527,4615,11810,4850,11877,11598,5146,12711,4615,11877,SCOTLAND COUNTY
16836,41798,42564,42564,42584,19861,19861,19497,8592,22678,22678,22276,8231,22678,19863,104008,98015,Alamance,25,25,25,13,43,1744,1131,159560,26214,89960,95426,98088,27250,94787,100694,104097,1744,1131,1805,1728,784,1187,1120,654,132145,29035,169509,145046,24463,4441,27307,26297,74985,72653,22025,68596,4130,22847,24593,25383,69702,21430,71518,65993,27306,74958,25383,71501,ALAMANCE COUNTY
852,1797,1816,1816,1816,1261,1261,1246,645,555,555,551,207,555,1261,6432,5579,Camden,,,,,,1794,1321,10327,1397,5250,5490,5614,1612,6037,6316,6483,1794,1321,1836,1728,107,1354,1266,11,8407,1833,10867,9354,798,129,861,837,3786,3685,1376,3511,117,776,808,829,3361,1269,3431,3208,861,3777,829,3429,CAMDEN COUNTY
1921,4623,4667,4667,4667,3356,3356,3347,1444,1311,1311,1276,477,1311,3356,14918,13117,Greene,,,,,,3248,2239,20022,3383,12229,12894,13144,3784,13827,14600,14987,3146,2166,3313,2875,836,2265,1949,495,16884,3592,21069,18372,2466,391,2875,2809,8799,8645,2557,8486,372,2261,2582,2617,8146,2516,8262,8019,2875,8795,2617,8261,GREENE COUNTY
10974,23151,23427,23427,23437,10220,10220,10105,5504,13084,13084,12923,5385,13084,10221,65806,60838,Rowan,123,123,123,85,132,3854,3025,133830,19227,57259,59962,60931,19905,61639,64621,65909,3854,3025,3937,3854,1647,3101,3025,1483,110729,25371,142088,122048,20180,3473,21859,21389,40113,39378,14785,37605,3334,18553,19628,20011,37309,14410,37819,35681,21859,40093,20009,37804,ROWAN COUNTY
2252,3765,3788,3788,3788,3195,3195,3180,2016,593,593,585,236,593,3195,9378,8652,Northampton,,,,,,143,70,18570,3818,8284,8569,8668,3974,8889,9233,9408,143,70,170,143,93,83,70,57,16132,5256,19483,17363,1357,332,1512,1492,7726,7598,3549,7389,307,1269,1383,1393,7116,3454,7192,6945,1512,7723,1393,7189,NORTHAMPTON COUNTY
6183,12418,12572,12572,12582,5718,5718,5648,2892,6854,6854,6770,3291,6854,5718,33703,31304,Wilkes,0,0,0,0,10,244,184,64946,10665,29610,30888,31347,11064,31792,33164,33785,244,184,316,244,180,218,184,160,54628,15162,68412,59783,9935,2099,10563,10478,22906,22442,8785,21613,1968,9335,9861,9927,20843,8537,21202,20091,10563,22896,9927,21193,WILKES COUNTY
8533,18989,19301,19301,19303,6853,6853,6816,3454,12448,12448,12173,5079,12448,6855,44485,42077,Lincoln,,,,,,371,239,81663,13165,39332,41248,42113,13421,41354,43474,44514,371,239,392,371,238,272,239,199,67981,15456,86111,74647,14932,2243,17004,16463,27118,26640,10940,26051,2217,13937,15331,15812,25678,10749,26029,25156,17004,27110,15812,26026,LINCOLN COUNTY
9061,17338,17533,17533,17533,10283,10283,10193,6113,7250,7250,7145,2948,7250,10283,40427,38221,Caldwell,,,,,,319,202,78015,13545,36392,37814,38246,13837,38298,39879,40449,319,202,328,319,185,219,202,149,65842,16769,82178,71809,10496,1472,11430,11220,28691,28340,12180,27483,1404,9539,10153,10304,27459,11992,27723,26651,11430,28678,10304,27715,CALDWELL COUNTY
1749,3318,3365,3365,3365,2255,2255,2228,1232,1110,1110,1090,517,1110,2255,9283,8815,Polk,,,,,,128,100,19940,4112,8375,8702,8837,4239,8788,9145,9339,128,100,180,128,98,118,100,88,17478,6644,20724,18752,1677,762,1830,1787,7329,7230,3379,6983,749,1600,1706,1748,6896,3275,6971,6675,1830,7325,1748,6967,POLK COUNTY
7359,15172,15352,15352,15363,8348,8348,8234,4222,7004,7004,6938,3137,7004,8348,37834,35672,Surry,0,0,0,0,11,297,222,67979,12242,33628,35212,35694,12602,35496,37216,37900,297,222,338,297,211,229,222,179,56811,14964,71783,62223,11164,2314,11837,11752,25725,25167,10077,24035,2173,10316,10875,10932,24115,9890,24533,23090,11836,25701,10931,24519,SURRY COUNTY
5994,9803,9868,9868,9870,7371,7371,7326,4591,2497,2497,2477,1403,2497,7373,21878,20816,Macon,,,,,,441,351,34121,9015,19872,20558,20879,9244,20833,21583,21958,441,351,511,441,261,407,351,238,29260,10350,35858,31614,2954,865,3092,3066,18355,18076,8118,17438,833,2723,2843,2863,17364,7944,17609,16798,3092,18345,2863,17602,MACON COUNTY
1768,2747,2769,2769,2769,2337,2337,2317,1532,432,432,430,236,432,2337,5390,5092,Clay,,,,,,76,39,10740,2561,4930,5041,5180,2616,5197,5322,5526,76,39,212,76,25,127,39,23,9352,3581,11231,10050,1019,325,1023,1022,4291,4224,2266,4102,323,974,977,978,4025,2215,4075,3917,1023,4291,978,4075,CLAY COUNTY
3976,7691,7779,7779,7779,3740,3740,3705,2114,4039,4039,3986,1862,4039,3740,19209,18163,Yadkin,,,,,,149,102,35700,6321,17191,17921,18187,6460,18088,18907,19239,149,102,171,149,105,119,102,87,29851,7711,37667,32660,4926,852,5378,5304,13690,13454,5503,13013,858,4593,4933,5000,12886,5376,13068,12496,5378,13682,5000,13061,YADKIN COUNTY
12509,33909,34785,34785,34790,34785,34785,33909,12509,,,,,,34790,114297,101012,Out of State,,,,,,,,,37480,96162,98751,101066,42624,108306,111291,114370,,,,,,,,,,,,,,,,,114370,111291,42624,108306,,,,,98751,37480,101066,96162,,114297,,101012,OUT OF STATE
10783,24856,25240,25240,25251,8150,8150,8033,3923,16950,16950,16683,6810,16950,8152,130709,117074,Onslow,140,140,140,50,149,61248,52551,180787,18586,110336,115420,117115,19719,122405,128301,130759,60894,52391,61280,59045,2699,52569,50900,1978,149343,19026,197938,162055,26225,3065,30037,28887,39442,38520,13955,37135,2925,24108,26547,27394,36482,13683,37152,35328,30037,39424,27392,37131,ONSLOW COUNTY
4203,8368,8437,8437,8450,5646,5646,5625,2910,2791,2791,2743,1293,2791,5647,22915,20952,Richmond,0,0,0,0,12,376,262,42075,6909,19837,20697,21024,7100,21536,22552,22996,376,262,444,376,146,327,262,131,34516,8183,44829,38043,4802,711,5377,5297,17175,16879,6243,16358,670,4365,4814,4864,15621,6108,15833,15210,5377,17162,4864,15826,RICHMOND COUNTY
