Deaths,"Cases Per 10,000 Residents","Cases Per 100,000 Residents",County,Cases
167,1152.0,11524.0,Wilson,9427
46,951.0,9506.0,Northampton,1852
297,813.0,8126.0,Cumberland,27263
18,865.0,8653.0,Jones,815
94,805.0,8045.0,Rockingham,7322
162,792.0,7917.0,New Hanover,18563
109,1090.0,10896.0,Halifax,5449
5,893.0,8934.0,Alleghany,995
55,822.0,8223.0,Hoke,4542
76,944.0,9443.0,Lee,5834
43,1070.0,10698.0,Greene,2254
110,1044.0,10441.0,Edgecombe,5374
92,679.0,6793.0,Haywood,4233
27,940.0,9401.0,Caswell,2125
17,843.0,8430.0,Swain,1203
156,1117.0,11166.0,Surry,8015
18,640.0,6402.0,Clay,719
79,857.0,8565.0,Stokes,3905
41,753.0,7529.0,Ashe,2048
20,1184.0,11836.0,Avery,2078
28,873.0,8728.0,Yancey,1577
101,565.0,5649.0,Orange,8387
217,761.0,7608.0,Durham,24460
673,852.0,8523.0,Guilford,45781
185,954.0,9537.0,Davidson,15985
714,762.0,7624.0,Wake,84764
224,1027.0,10270.0,Randolph,14755
123,894.0,8943.0,Craven,9134
37,924.0,9245.0,Davie,3961
206,1064.0,10643.0,Rutherford,7134
142,821.0,8207.0,Onslow,16245
39,986.0,9862.0,Martin,2213
67,828.0,8283.0,Person,3271
49,936.0,9356.0,Franklin,6520
313,658.0,6576.0,Buncombe,17175
63,1127.0,11268.0,McDowell,5156
106,1220.0,12199.0,Sampson,7750
16,921.0,9209.0,Mitchell,1378
132,1047.0,10466.0,Duplin,6148
92,1016.0,10159.0,Richmond,4554
43,915.0,9147.0,Bertie,1733
63,872.0,8717.0,Hertford,2064
93,1207.0,12074.0,Montgomery,3281
83,1058.0,10576.0,Scotland,3683
83,1149.0,11492.0,Alexander,4309
13,872.0,8722.0,Pamlico,1110
22,1028.0,10285.0,Chowan,1434
33,832.0,8319.0,Macon,2983
40,701.0,7014.0,Madison,1526
209,986.0,9862.0,Johnston,20645
80,961.0,9609.0,Granville,5808
934,977.0,9770.0,Mecklenburg,108485
250,976.0,9755.0,Cabarrus,21115
149,623.0,6234.0,Brunswick,8904
300,1153.0,11530.0,Rowan,16383
31,658.0,6581.0,Transylvania,2263
238,882.0,8818.0,Wayne,10858
80,821.0,8206.0,Pasquotank,3268
416,1154.0,11536.0,Gaston,25901
86,1086.0,10859.0,Vance,4836
152,1081.0,10807.0,Burke,9779
10,557.0,5569.0,Dare,2061
87,613.0,6127.0,Chatham,4563
157,844.0,8444.0,Henderson,9915
28,697.0,6973.0,Polk,1445
297,1177.0,11769.0,Catawba,18778
109,951.0,9514.0,Wilkes,6509
16,540.0,5403.0,Currituck,1500
150,1126.0,11256.0,Columbus,6248
103,1115.0,11150.0,Caldwell,9163
227,1231.0,12306.0,Robeson,16075
110,1034.0,10336.0,Lenoir,5783
9,726.0,7264.0,Perquimans,978
131,1214.0,12144.0,Stanly,7627
20,894.0,8935.0,Warren,1763
85,1129.0,11285.0,Lincoln,9718
12,626.0,6262.0,Gates,724
55,1023.0,10231.0,Anson,2501
31,789.0,7893.0,Watauga,4434
6,787.0,7869.0,Tyrrell,316
12,685.0,6848.0,Graham,578
0,,,Missing,1
179,1181.0,11811.0,Nash,11138
370,911.0,9108.0,Forsyth,34819
206,1000.0,10002.0,Iredell,18185
211,986.0,9864.0,Union,23659
47,1034.0,10341.0,Yadkin,3895
263,1037.0,10371.0,Alamance,17580
223,1145.0,11453.0,Cleveland,11218
86,1051.0,10512.0,Pitt,19000
186,858.0,8582.0,Moore,8658
168,818.0,8182.0,Harnett,11125
20,847.0,8468.0,Cherokee,2423
95,956.0,9557.0,Beaufort,4491
31,902.0,9024.0,Washington,1045
47,719.0,7194.0,Carteret,4998
56,810.0,8098.0,Jackson,3558
41,973.0,9730.0,Bladen,3184
69,830.0,8298.0,Pender,5233
5,596.0,5963.0,Camden,648
8,1343.0,13429.0,Hyde,663
