Demographic,Race,Value,calc.ValueComma,Age Group,Gender,Hispanic,Name
Gender,,5632,"5,632",,Female,,Deaths
Gender,,53%,53%,,Female,,Percent of Cases
Gender,,48%,48%,,Female,,Percent of Deaths
Gender,,473809,"473,809",,Female,,Cases
Gender,,23,23,,Missing,,Deaths
Gender,,,,,Missing,,Percent of Cases
Gender,,,,,Missing,,Percent of Deaths
Gender,,4149,"4,149",,Missing,,Cases
Gender,,6165,"6,165",,Male,,Deaths
Gender,,47%,47%,,Male,,Percent of Cases
Gender,,52%,52%,,Male,,Percent of Deaths
Gender,,417305,"417,305",,Male,,Cases
Ethnicity,,79%,79%,,,Non-Hispanic,Percent of Cases
Ethnicity,,92%,92%,,,Non-Hispanic,Percent of Deaths
Ethnicity,,9170,"9,170",,,Non-Hispanic,Deaths
Ethnicity,,457792,"457,792",,,Non-Hispanic,Cases
Ethnicity,,,,,,Missing,Percent of Cases
Ethnicity,,,,,,Missing,Percent of Deaths
Ethnicity,,1825,"1,825",,,Missing,Deaths
Ethnicity,,316160,"316,160",,,Missing,Cases
Ethnicity,,21%,21%,,,Hispanic,Percent of Cases
Ethnicity,,8%,8%,,,Hispanic,Percent of Deaths
Ethnicity,,825,825,,,Hispanic,Deaths
Ethnicity,,121311,"121,311",,,Hispanic,Cases
Age Group,,1584,"1,584",50-64,,,Deaths
Age Group,,20%,20%,50-64,,,Percent of Cases
Age Group,,13%,13%,50-64,,,Percent of Deaths
Age Group,,182922,"182,922",50-64,,,Cases
Age Group,,1,1,Missing,,,Deaths
Age Group,,,,Missing,,,Percent of Cases
Age Group,,,,Missing,,,Percent of Deaths
Age Group,,185,185,Missing,,,Cases
Age Group,,7037,"7,037",75+,,,Deaths
Age Group,,7%,7%,75+,,,Percent of Cases
Age Group,,60%,60%,75+,,,Percent of Deaths
Age Group,,58858,"58,858",75+,,,Cases
Age Group,,402,402,25-49,,,Deaths
Age Group,,39%,39%,25-49,,,Percent of Cases
Age Group,,3%,3%,25-49,,,Percent of Deaths
Age Group,,351136,"351,136",25-49,,,Cases
Age Group,,2780,"2,780",65-74,,,Deaths
Age Group,,8%,8%,65-74,,,Percent of Cases
Age Group,,24%,24%,65-74,,,Percent of Deaths
Age Group,,72826,"72,826",65-74,,,Cases
Age Group,,3,3,0-17,,,Deaths
Age Group,,12%,12%,0-17,,,Percent of Cases
Age Group,,0%,0%,0-17,,,Percent of Deaths
Age Group,,107326,"107,326",0-17,,,Cases
Age Group,,13,13,18-24,,,Deaths
Age Group,,14%,14%,18-24,,,Percent of Cases
Age Group,,0%,0%,18-24,,,Percent of Deaths
Age Group,,122010,"122,010",18-24,,,Cases
Race,Missing,732,732,,,,Deaths
Race,Missing,,,,,,Percent of Cases
Race,Missing,,,,,,Percent of Deaths
Race,Missing,161449,"161,449",,,,Cases
Race,White,7364,"7,364",,,,Deaths
Race,White,62%,62%,,,,Percent of Cases
Race,White,66%,66%,,,,Percent of Deaths
Race,White,455212,"455,212",,,,Cases
Race,Other,739,739,,,,Deaths
Race,Other,14%,14%,,,,Percent of Cases
Race,Other,7%,7%,,,,Percent of Deaths
Race,Other,101285,"101,285",,,,Cases
Race,Black or African American,2729,"2,729",,,,Deaths
Race,Black or African American,21%,21%,,,,Percent of Cases
Race,Black or African American,25%,25%,,,,Percent of Deaths
Race,Black or African American,151779,"151,779",,,,Cases
Race,Asian or Pacific Islander,125,125,,,,Deaths
Race,Asian or Pacific Islander,2%,2%,,,,Percent of Cases
Race,Asian or Pacific Islander,1%,1%,,,,Percent of Deaths
Race,Asian or Pacific Islander,14152,"14,152",,,,Cases
Race,American Indian Alaskan Native,131,131,,,,Deaths
Race,American Indian Alaskan Native,2%,2%,,,,Percent of Cases
Race,American Indian Alaskan Native,1%,1%,,,,Percent of Deaths
Race,American Indian Alaskan Native,11386,"11,386",,,,Cases
