At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - NC,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,county1
8938,18060,18213,18213,18228,12472,12472,12388,6531,5679,5679,5610,2376,5679,12472,59433,53224,Robeson,62,62,62,31,77,910,654,122048,15605,49720,52633,53258,16273,55022,58365,59462,910,654,920,910,421,674,654,361,98425,20565,130625,109195,13708,2137,15291,15099,43251,42356,13715,40404,2002,12501,13753,13844,38226,13242,38740,36565,15290,43233,13843,38727,ROBESON COUNTY
1934,2984,2993,2993,2993,2290,2290,2286,1531,703,703,698,403,703,2290,6540,5995,Perquimans,,,,,,0,0,12861,2861,5795,5956,6009,3052,6278,6458,6562,0,0,19,0,0,12,0,0,10957,3671,13463,11854,1083,231,1139,1129,5404,5329,2821,5195,213,980,1031,1033,4925,2648,4964,4815,1139,5401,1033,4962,PERQUIMANS COUNTY
16570,44310,45139,45139,45179,20771,20771,20462,9039,24351,24351,23831,7531,24353,20777,116597,108478,Johnston,17,17,17,0,49,1401,1116,196283,24778,98596,105950,108525,25577,104863,113045,116652,1401,1116,1413,1401,557,1127,1116,505,156585,28558,209339,175612,32748,3840,38198,36761,77041,74883,21180,70714,3710,30591,34349,35473,70485,20563,71925,66889,38197,76999,35469,71893,JOHNSTON COUNTY
12122,25222,25446,25446,25482,12080,12080,12008,6308,13366,13366,13214,5814,13366,12082,65222,61179,Randolph,0,0,0,0,34,759,554,135556,19711,57516,60340,61218,20046,60837,63977,65259,759,554,759,759,501,571,554,427,111702,26060,143667,123257,20278,3796,22342,21852,42158,41366,15749,39800,3863,19059,20496,20832,39290,15421,39815,37903,22341,42122,20830,39795,RANDOLPH COUNTY
669,1593,1622,1622,1622,1571,1571,1542,656,51,51,51,13,51,1571,3398,3228,Hyde,,,,,,,,4753,1032,3022,3152,3228,1052,3167,3304,3401,,,,,,,,,4098,1114,4937,4410,162,52,174,171,3227,3133,1000,3005,44,145,154,158,2998,988,3070,2877,174,3224,158,3070,HYDE COUNTY
1668,2947,2963,2963,2964,1645,1645,1631,988,1318,1318,1316,680,1318,1646,6752,6280,Alleghany,,,,,,10,0,10626,2578,6060,6213,6313,2689,6478,6649,6786,10,0,35,10,10,26,0,0,9249,3116,11137,9915,1311,350,1364,1358,5387,5281,2329,5157,330,1214,1251,1261,4962,2248,5026,4846,1364,5378,1261,5019,ALLEGHANY COUNTY
4542,9035,9080,9080,9096,4898,4898,4887,2553,4182,4182,4148,1989,4182,4900,27234,24922,Duplin,0,0,0,0,14,270,216,55126,7597,23209,24516,24946,7784,25073,26592,27270,270,216,290,270,184,228,216,161,44760,11405,58741,49644,7473,1497,8389,8257,18591,18065,6103,17330,1506,7077,7802,7864,16498,5930,16854,15916,8389,18575,7864,16842,DUPLIN COUNTY
1026,1794,1800,1800,1800,1583,1583,1580,945,217,217,214,81,217,1583,4717,4393,Gates,,,,,,0,,11027,1748,4242,4373,4394,1850,4508,4670,4740,0,,15,0,0,,,,9230,2418,11562,10120,501,122,553,549,4172,4121,1728,4007,122,471,509,510,3864,1626,3884,3771,553,4164,510,3883,GATES COUNTY
9347,18045,18268,18268,18313,11318,11318,11193,5968,6902,6902,6804,3368,6902,11318,36996,34971,Haywood,48,48,48,11,93,1317,876,59266,13619,33049,34354,35031,14010,34887,36257,37039,1317,876,1350,1317,613,923,876,509,50968,15572,62317,54941,7975,1976,8467,8421,27222,26519,11421,25595,1841,7327,7766,7801,25712,11269,26307,24846,8467,27212,7801,26294,HAYWOOD COUNTY
6075,11865,11980,11980,12000,6585,6585,6513,3505,5395,5395,5352,2570,5395,6585,28794,26943,Stanly,0,0,0,0,20,468,358,59178,9513,25591,26659,26979,9891,27211,28368,28813,468,358,481,468,329,390,358,284,49282,12123,62806,54008,6784,1336,7247,7120,21085,20780,8226,19959,1306,6328,6644,6709,19657,7923,19880,18905,7247,21079,6709,19876,STANLY COUNTY
