First Doses ~ Percent of Population Vaccinated,First Doses ~ Percent of Total,Gender,Second Doses ~ Percent of Population Vaccinated,County,Demographic,Ethnicity,Aggregation Level,Race,Age Group,Second Doses ~ Percent of Total
,0.00042081251641531585,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0003413332278003547
0.09173904327425812,0.0245696466480832,Missing or Undisclosed,0.05524281155352799,North Carolina,Race,Missing or Undisclosed,Statewide,Asian or Pacific Islander,Missing or Undisclosed,0.0252190839902349
,0.003299025020931795,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.00046129454336787067
0.08807077114063167,0.1547269579753404,Missing or Undisclosed,0.039995638956835174,North Carolina,Race,Missing or Undisclosed,Statewide,Black or African-American,Missing or Undisclosed,0.11977209823471359
0.058367998916288966,0.007502796952156519,Missing or Undisclosed,0.031478418910757526,North Carolina,Race,Missing or Undisclosed,Statewide,American Indian or Alaskan Native,Missing or Undisclosed,0.006897157287835428
0.1414145792837613,0.7716003790214803,Missing or Undisclosed,0.08723260192156154,North Carolina,Race,Missing or Undisclosed,Statewide,White,Missing or Undisclosed,0.8113082708998582
,0.037880381865592484,Missing or Undisclosed,,North Carolina,Race,Missing or Undisclosed,Statewide,Other,Missing or Undisclosed,0.03600076181618958
,0.00808032585399547,Missing or Undisclosed,,North Carolina,Ethnicity,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0008817775051509163
0.034226918690231325,0.025474393558376128,Missing or Undisclosed,0.017514597935330417,North Carolina,Ethnicity,Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.022220051101047
0.14077385789897418,0.9664452805876284,Missing or Undisclosed,0.08348053222836757,North Carolina,Ethnicity,Non-Hispanic,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.9768981713938021
,0.0017703147242299493,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0014729270808341393
,0.00046361930687825314,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0004192462471895661
0.15309067489262818,0.5984425583659705,Female,0.09018842500306247,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.6009431185489875
0.10634076981113134,0.39350758841053307,Male,0.06211619633807191,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.3918023136456615
,0.0049314873690946585,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.004556056562378647
,0.0008844318232935689,Missing or Undisclosed,,North Carolina,Gender,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.000806337914948664
0.567699329819213,0.29021044979053695,Missing or Undisclosed,0.40500237018618024,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,75+,0.35290763968072975
0.0010467295376986579,0.00030109861088337256,Missing or Undisclosed,0.000479225571476494,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,15-17,0.00023497577276111373
0.0923187309732611,0.1364796566169866,Missing or Undisclosed,0.052371106496734134,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,50-64,0.13197105098479583
0.06903563427662668,0.1707047739003371,Missing or Undisclosed,0.0442531678254274,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,25-49,0.18652005827399165
1.890348958417724e-05,5.078771749840019e-06,Missing or Undisclosed,1.890348958417724e-05,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,2-4,8.657002154356822e-06
,6.674957156932596e-05,Missing or Undisclosed,,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,4.8231869145702294e-05
0.0026141279836971953,0.0004541873021999788,Missing or Undisclosed,0.0020211468755741892,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,0-1,0.0005985698632441003
0.02347799839892912,0.01687385636943276,Missing or Undisclosed,0.014538854234913239,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,18-24,0.017811163575292423
1.113114717602796e-05,5.078771749840019e-06,Missing or Undisclosed,1.5901638822897089e-06,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,5-9,1.236714593479546e-06
0.5069153795288712,0.38489181490634017,Missing or Undisclosed,0.23944203006570422,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,65-74,0.3098934694049177
1.5023903029720286e-05,7.2553882140571695e-06,Missing or Undisclosed,6.009561211888114e-06,North Carolina,Age Group K-12,Missing or Undisclosed,Statewide,Missing or Undisclosed,10-14,4.946858373918184e-06
,,Missing or Undisclosed,,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,
0.567699329819213,0.29021044979053695,Missing or Undisclosed,0.40500237018618024,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,75+,0.35290763968072975
0.0923187309732611,0.1364796566169866,Missing or Undisclosed,0.052371106496734134,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,50-64,0.13197105098479583
0.06903563427662668,0.1707047739003371,Missing or Undisclosed,0.0442531678254274,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,25-49,0.18652005827399165
,0.0008394484163664146,Missing or Undisclosed,,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,Missing or Undisclosed,0.0008966180802726708
0.02347799839892912,0.01687385636943276,Missing or Undisclosed,0.014538854234913239,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,18-24,0.017811163575292423
0.5069153795288712,0.38489181490634017,Missing or Undisclosed,0.23944203006570422,North Carolina,Age Group,Missing or Undisclosed,Statewide,Missing or Undisclosed,65-74,0.3098934694049177
0.07033109716511578,0.13815509807493775,Missing or Undisclosed,0.05128760008656135,Henderson ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.1535826698759489
0.05724962630792227,0.10810047981936213,Missing or Undisclosed,0.03094170403587444,Caswell ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.11570709893795417
0.0736469864698647,0.1267195767195767,Missing or Undisclosed,0.04958487084870849,Stanly ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.16383032766065533
0.0921833564844046,0.380670954284721,Male,0.03948309971797786,Edgecombe ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.3634250290585045
,0.008280135687384813,Missing or Undisclosed,,New Hanover ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.009612688749148876
0.08580183861082738,0.1478501382951974,Missing or Undisclosed,0.03750182401867795,Hertford ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.15642118076688985
,,Missing or Undisclosed,,Martin ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
,0.004233700254022015,Missing or Undisclosed,,Caswell ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.005589714924538849
0.01596561252686521,0.0055770055770055765,Missing or Undisclosed,0.004912496162112374,Beaufort ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,18-24,0.0038619357953174026
0.00033698399326032014,0.0001458470064901918,Missing or Undisclosed,0.00016849199663016007,Randolph ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0001287664177182591
0.06183001531393568,0.10134923125196109,Missing or Undisclosed,0.030053598774885146,Warren ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.16152263374485595
0.007415254237288136,0.004027617951668585,Missing or Undisclosed,0.005296610169491525,Mitchell ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,18-24,0.004006410256410256
,,Missing or Undisclosed,,Wayne ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.1391021470396877,0.6482359426681367,Female,0.08860235405453362,Cumberland ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.628777703156481
0.00034965034965034965,0.00013791201213625705,Missing or Undisclosed,0.00017482517482517483,Rowan ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00012417732522041475
0.13156598818122128,0.04418412348401324,Missing or Undisclosed,0.09118516086671044,Cumberland ,Race,Missing or Undisclosed,County,Asian or Pacific Islander,Missing or Undisclosed,0.046633646742780394
,,Missing or Undisclosed,,Avery ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.182667319498324,0.9797979797979799,Missing or Undisclosed,0.11370569846710105,Currituck ,Ethnicity,Non-Hispanic,County,Missing or Undisclosed,Missing or Undisclosed,0.9843495272253016
0.527363184079602,0.36073593533978515,Missing or Undisclosed,0.28156094527363185,Granville ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.3263651108307803
,0.0032185583287787697,Missing or Undisclosed,,Henderson ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0012960562858729864
0.018612123349398536,0.03260123541523679,Missing or Undisclosed,0.012107676031503468,Onslow ,Ethnicity,Hispanic,County,Missing or Undisclosed,Missing or Undisclosed,0.03464902444494281
,,Missing or Undisclosed,,Warren ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Suppressed,
0.46210676835081027,0.33704154354249954,Missing or Undisclosed,0.27097235462345093,Edgecombe ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,75+,0.4405269275474622
0.14643804400612648,0.1380281690140845,Missing or Undisclosed,0.09731405730509171,Orange ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.13394004833153375
0.035429095915557596,0.10646807336919045,Missing or Undisclosed,0.023703533731069298,Rowan ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.12827517695268845
,0.0017123287671232876,Missing or Undisclosed,,Hyde ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00273224043715847
0.04619457313037723,0.09943019943019943,Missing or Undisclosed,0.027663798808735936,Montgomery ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.1120042872454448
,0.00033076074972436607,Missing or Undisclosed,,Cumberland ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,8.3948959032908e-05
0.07818942189421894,0.12774714232890147,Missing or Undisclosed,0.04536285362853629,Guilford ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,50-64,0.1357719267243918
0.17011253598534415,0.978588156574105,Missing or Undisclosed,0.07182529297158975,Macon ,Race,Missing or Undisclosed,County,White,Missing or Undisclosed,0.9813269765593962
,0.05511672810251009,Missing or Undisclosed,,Duplin ,Race,Missing or Undisclosed,County,Other,Missing or Undisclosed,0.07395723799509288
,0.010211027910142953,Missing or Undisclosed,,Hoke ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0029069767441860465
,0.005311778290993072,Missing or Undisclosed,,Watauga ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.007761194029850746
,,Missing or Undisclosed,,Franklin ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.13727631689490044,0.9879081015719469,Missing or Undisclosed,0.08689686073538884,Alexander ,Ethnicity,Non-Hispanic,County,Missing or Undisclosed,Missing or Undisclosed,0.99296
0.06699606843055998,0.17147130813162906,Missing or Undisclosed,0.044894272659653595,Rutherford ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,25-49,0.20962540312577524
,0.0029456967213114756,Missing or Undisclosed,,Franklin ,Gender,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0026358475263584752
,,Missing or Undisclosed,,Wake ,Age Group,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,
0.0016778523489932886,0.0002040399918384003,Missing or Undisclosed,0.0008389261744966443,Haywood ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.00016608536787908983
0.0322155392601137,0.023744458614198095,Missing or Undisclosed,0.018455961110653375,Henderson ,Ethnicity,Hispanic,County,Missing or Undisclosed,Missing or Undisclosed,0.020736900573967782
,0.0021629416005767843,Missing or Undisclosed,,Richmond ,Race,Missing or Undisclosed,County,Missing or Undisclosed,Missing or Undisclosed,0.0
0.6071349760941522,0.3272150644202181,Missing or Undisclosed,0.3424420742920191,Durham ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.2758733074575568
0.5022638092363417,0.41015528715799854,Missing or Undisclosed,0.3620082503269947,Caldwell ,Age Group K-12,Missing or Undisclosed,County,Missing or Undisclosed,65-74,0.3925376391010255
