Second Doses Administered,First Doses Administered,Total Doses Administered,County
1608,4105,5713,Alexander 
555,2671,3226,Anson 
1017,2843,3860,Avery 
5346,11341,16687,Burke 
9103,17178,26281,Catawba 
5222,13024,18246,Chatham 
940,3500,4440,Chowan 
5527,11679,17206,Craven 
3480,6199,9679,Davie 
20400,42036,62436,Durham 
2595,6646,9241,Lee 
738,4098,4836,Macon 
941,2956,3897,Madison 
838,3089,3927,Montgomery 
2337,6604,8941,Pender 
818,2419,3237,Polk 
1459,4608,6067,Stokes 
1003,3635,4638,Transylvania 
200,585,785,Tyrrell 
9657,19177,28834,Union 
3001,4338,7339,Yadkin 
867,2876,3743,Ashe 
1451,7577,9028,Beaufort 
597,3778,4375,Bertie 
6167,22644,28811,Brunswick 
9017,17460,26477,Cabarrus 
698,1752,2450,Camden 
1000,2737,3737,Caswell 
248,1206,1454,Clay 
17335,27542,44877,Cumberland 
652,1968,2620,Gates 
23379,49340,72719,Guilford 
5977,13761,19738,Henderson 
444,1186,1630,Jones 
4931,11098,16029,Randolph 
1830,5608,7438,Vance 
448,1774,2222,Washington 
3061,6522,9583,Watauga 
3689,9386,13075,Wayne 
2509,7060,9569,Wilkes 
7909,17458,25367,Alamance 
4100,9483,13583,Carteret 
1205,3088,4293,Cherokee 
2602,9653,12255,Cleveland 
1586,4707,6293,Currituck 
2782,6899,9681,Franklin 
374,1183,1557,Graham 
3820,7719,11539,Granville 
4926,10660,15586,Harnett 
3849,8279,12128,Haywood 
1510,3469,4979,Hoke 
8034,16916,24950,Iredell 
892,4620,5512,Jackson 
670,3044,3714,Martin 
1579,6046,7625,Mcdowell 
38885,85831,124716,Mecklenburg 
7221,15898,23119,Moore 
3605,9749,13354,Nash 
836,2348,3184,Pamlico 
3020,8386,11406,Pasquotank 
2373,4722,7095,Person 
1349,5738,7087,Richmond 
5986,11217,17203,Robeson 
2239,7338,9577,Sampson 
632,4438,5070,Scotland 
3662,9224,12886,Surry 
717,2316,3033,Yancey 
527,2019,2546,Alleghany 
2323,4268,6591,Bladen 
11206,26361,37567,Buncombe 
6101,10333,16434,Caldwell 
1496,4815,6311,Columbus 
2690,7941,10631,Dare 
7911,14537,22448,Davidson 
1651,5030,6681,Duplin 
1236,4740,5976,Edgecombe 
21939,42692,64631,Forsyth 
9161,20091,29252,Gaston 
585,2610,3195,Greene 
1674,5969,7643,Halifax 
926,3297,4223,Hertford 
362,1003,1365,Hyde 
7562,19423,26985,Johnston 
2776,7112,9888,Lenoir 
3228,8001,11229,Lincoln 
11168,29832,41000,Missing 
608,1585,2193,Mitchell 
15857,31116,46973,New Hanover
664,2561,3225,Northampton 
5062,12538,17600,Onslow 
12365,24028,36393,Orange 
910,2873,3783,Perquimans 
8702,23402,32104,Pitt 
2476,8115,10591,Rockingham 
4769,11817,16586,Rowan 
2164,5595,7759,Rutherford 
1651,6523,8174,Stanly 
358,1795,2153,Swain 
43636,112790,156426,Wake 
412,2439,2851,Warren 
4054,8558,12612,Wilson 
