At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,county1
11704,24505,25045,24963,25095,16563,16491,16227,8100,8274,8264,8070,3507,8274,16563,62104,56161,Robeson,208,208,208,97,258,1468,921,122048,16238,51931,55000,56256,17036,57248,60683,62231,1468,921,1526,1468,591,996,921,407,98425,20565,130625,109195,14549,2313,16226,15950,16223,44479,44413,43265,14132,41231,13517,15038,15037,14819,2177,39260,40203,40222,13654,37493,ROBESON COUNTY
2303,3612,3650,3648,3650,2574,2572,2546,1657,1076,1076,1066,646,1076,2574,6648,6150,Perquimans,,,,,,0,0,12861,2930,5898,6068,6165,3126,6361,6548,6678,0,0,20,0,0,12,0,0,10957,3671,13463,11854,1136,250,1198,1186,1196,5460,5452,5362,2876,5225,1034,1094,1094,1086,229,4982,5056,5059,2701,4864,PERQUIMANS COUNTY
21531,57826,60118,59694,60183,26141,25881,25079,10699,33514,33350,32284,10700,33516,26149,122145,114373,Johnston,463,463,463,132,518,3618,2344,196283,25844,102986,110668,114469,26869,109516,117914,122573,3570,2327,3676,3385,1030,2369,2209,687,156585,28558,209339,175612,34567,4137,40340,38664,40303,78557,78224,75680,21702,71564,32771,38279,38272,36699,4035,71642,73757,73821,21122,68006,JOHNSTON COUNTY
15476,32225,32795,32720,32808,14598,14544,14319,7371,18081,18060,17790,8028,18081,14602,67216,63772,Randolph,116,116,116,77,125,881,572,135556,20422,59546,62477,63883,20846,62557,65722,67373,881,572,947,881,555,651,572,442,111702,26060,143667,123257,21274,4145,23421,22858,23415,43005,42920,41983,16146,40402,20371,22379,22376,21862,4174,40043,40824,40853,15806,38603,RANDOLPH COUNTY
776,1877,1943,1933,1943,1862,1854,1801,746,81,79,76,30,81,1862,3473,3364,Hyde,,,,,,0,,4753,1068,3127,3274,3365,1083,3234,3383,3491,0,,11,0,0,,,,4098,1114,4937,4410,166,51,180,177,180,3300,3293,3206,1032,3068,155,169,169,165,45,3109,3195,3196,1023,2972,HYDE COUNTY
2130,3991,4039,4025,4040,2205,2192,2161,1096,1834,1833,1830,1034,1834,2206,6933,6510,Alleghany,,,,,,34,0,10626,2709,6246,6418,6546,2795,6637,6814,6984,34,0,68,34,24,26,0,0,9249,3116,11137,9915,1368,373,1418,1412,1418,5498,5481,5368,2398,5235,1272,1316,1316,1309,358,5109,5194,5204,2351,4974,ALLEGHANY COUNTY
5914,12045,12289,12246,12329,6088,6058,5962,2989,5868,5855,5760,2834,5869,6090,29838,27376,Duplin,333,333,323,91,370,2177,1625,55126,8093,25181,26734,27430,8388,27308,29088,29942,2142,1608,2245,1925,465,1661,1436,331,44760,11405,58741,49644,7829,1602,8745,8606,8742,18952,18919,18340,6321,17554,7554,8402,8402,8275,1620,16851,17349,17367,6142,16191,DUPLIN COUNTY
1257,2294,2326,2322,2339,1986,1982,1967,1128,340,340,327,129,340,1987,4912,4603,Gates,0,0,0,0,12,88,42,11027,1829,4389,4543,4631,1923,4674,4845,4981,88,42,147,88,10,68,42,0,9230,2418,11562,10120,533,129,585,578,585,4249,4239,4179,1784,4053,502,543,543,539,130,3962,4018,4020,1699,3845,GATES COUNTY
11749,22157,22694,22590,22726,12876,12781,12483,6549,9721,9712,9577,5187,9721,12877,37838,35857,Haywood,97,97,97,13,128,1519,923,59266,14022,33730,35048,35962,14476,35611,36990,38010,1519,923,1598,1519,692,1011,923,509,50968,15572,62317,54941,8217,2105,8697,8637,8690,27715,27629,26834,11679,25875,7599,8068,8066,8011,1977,26114,26868,26883,11536,25208,HAYWOOD COUNTY
8108,15687,15977,15929,15986,8641,8598,8437,4463,7245,7240,7159,3576,7245,8641,29961,28229,Stanly,91,91,91,69,100,703,493,59178,9926,26646,27746,28306,10311,28221,29404,30050,703,493,756,703,354,564,493,288,49282,12123,62806,54008,7114,1420,7591,7454,7588,21703,21670,21247,8537,20404,6721,7155,7153,7043,1398,20210,20583,20587,8240,19432,STANLY COUNTY
