"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",County,Cases
9938.0,240,994.0,Alamance,16846
11054.0,82,1105.0,Alexander,4145
8476.0,5,848.0,Alleghany,944
9920.0,55,992.0,Anson,2425
7242.0,40,724.0,Ashe,1970
11363.0,20,1136.0,Avery,1995
9505.0,89,951.0,Beaufort,4467
8957.0,43,896.0,Bertie,1697
9495.0,41,950.0,Bladen,3107
5998.0,143,600.0,Brunswick,8567
6291.0,302,629.0,Buncombe,16432
10543.0,146,1054.0,Burke,9540
9123.0,241,912.0,Cabarrus,19748
10896.0,101,1090.0,Caldwell,8954
5696.0,5,570.0,Camden,619
6823.0,45,682.0,Carteret,4740
9144.0,27,914.0,Caswell,2067
11418.0,291,1142.0,Catawba,18218
5869.0,85,587.0,Chatham,4371
7909.0,20,791.0,Cherokee,2263
9998.0,22,1000.0,Chowan,1394
6081.0,18,608.0,Clay,683
11108.0,219,1111.0,Cleveland,10880
11027.0,149,1103.0,Columbus,6121
8698.0,119,870.0,Craven,8884
7706.0,292,771.0,Cumberland,25853
5262.0,15,526.0,Currituck,1461
5372.0,8,537.0,Dare,1988
9155.0,178,916.0,Davidson,15345
8855.0,36,885.0,Davie,3794
10156.0,128,1016.0,Duplin,5966
7203.0,214,720.0,Durham,23156
9776.0,102,978.0,Edgecombe,5032
8726.0,361,873.0,Forsyth,33358
8607.0,47,861.0,Franklin,5998
11077.0,401,1108.0,Gaston,24872
6089.0,12,609.0,Gates,704
6753.0,12,675.0,Graham,570
9202.0,79,920.0,Granville,5562
10394.0,42,1039.0,Greene,2190
7979.0,617,798.0,Guilford,42862
10402.0,104,1040.0,Halifax,5202
7728.0,163,773.0,Harnett,10508
6480.0,91,648.0,Haywood,4038
8098.0,153,810.0,Henderson,9508
8451.0,63,845.0,Hertford,2001
7888.0,55,789.0,Hoke,4357
12741.0,8,1274.0,Hyde,629
9599.0,203,960.0,Iredell,17451
7932.0,55,793.0,Jackson,3485
9251.0,203,925.0,Johnston,19365
8313.0,16,831.0,Jones,783
9205.0,74,921.0,Lee,5687
10100.0,109,1010.0,Lenoir,5651
10803.0,80,1080.0,Lincoln,9303
11002.0,63,1100.0,McDowell,5034
7546.0,29,755.0,Macon,2706
6697.0,40,670.0,Madison,1457
9572.0,38,957.0,Martin,2148
9252.0,909,925.0,Mecklenburg,102725
8754.0,16,875.0,Mitchell,1310
11791.0,91,1179.0,Montgomery,3204
8322.0,181,832.0,Moore,8395
11178.0,174,1118.0,Nash,10541
7504.0,161,750.0,New Hanover,17596
9187.0,38,919.0,Northampton,1790
7764.0,140,776.0,Onslow,15367
5440.0,100,544.0,Orange,8077
8259.0,11,826.0,Pamlico,1051
8005.0,79,801.0,Pasquotank,3188
7965.0,69,797.0,Pender,5023
6990.0,9,699.0,Perquimans,941
8136.0,67,814.0,Person,3213
10065.0,86,1007.0,Pitt,18192
6799.0,27,680.0,Polk,1409
9903.0,215,990.0,Randolph,14227
9733.0,92,973.0,Richmond,4363
12018.0,224,1202.0,Robeson,15699
7799.0,81,780.0,Rockingham,7098
11038.0,297,1104.0,Rowan,15684
10376.0,204,1038.0,Rutherford,6955
11638.0,99,1164.0,Sampson,7394
10260.0,80,1026.0,Scotland,3573
11612.0,112,1161.0,Stanly,7293
8274.0,78,827.0,Stokes,3772
10678.0,155,1068.0,Surry,7665
8374.0,16,837.0,Swain,1195
6011.0,27,601.0,Transylvania,2067
7669.0,6,767.0,Tyrrell,308
9331.0,209,933.0,Union,22381
10430.0,85,1043.0,Vance,4645
7242.0,684,724.0,Wake,80510
8580.0,19,858.0,Warren,1693
8800.0,31,880.0,Washington,1019
7612.0,30,761.0,Watauga,4276
8574.0,234,857.0,Wayne,10557
9205.0,105,920.0,Wilkes,6297
11039.0,158,1104.0,Wilson,9030
10088.0,47,1009.0,Yadkin,3800
8346.0,27,835.0,Yancey,1508
