"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",County,Cases
8180.0,74,818.0,Granville,4944
10412.0,260,1041.0,Catawba,16613
7057.0,127,706.0,Henderson,8286
9121.0,99,912.0,Lenoir,5103
10016.0,354,1002.0,Gaston,22489
8250.0,802,825.0,Mecklenburg,91600
7999.0,218,800.0,Cabarrus,17314
9861.0,259,986.0,Rowan,14011
10673.0,186,1067.0,Robeson,13942
5086.0,111,509.0,Brunswick,7264
7999.0,173,800.0,Johnston,16745
7975.0,196,798.0,Wayne,9820
9739.0,121,974.0,Burke,8812
10082.0,63,1008.0,Caldwell,8285
5330.0,70,533.0,Chatham,3969
8910.0,77,891.0,Vance,3968
8914.0,48,891.0,Anson,2179
7229.0,74,723.0,Pasquotank,2879
7097.0,6,710.0,Tyrrell,285
8390.0,95,839.0,Wilkes,5740
9694.0,57,969.0,Lincoln,8348
9853.0,132,985.0,Columbus,5469
10106.0,103,1011.0,Stanly,6347
6506.0,26,651.0,Watauga,3655
6143.0,24,614.0,Polk,1273
4837.0,7,484.0,Dare,1790
7699.0,16,770.0,Warren,1519
6480.0,12,648.0,Graham,547
6158.0,5,616.0,Perquimans,829
5241.0,12,524.0,Gates,606
5130.0,23,513.0,Transylvania,1764
4373.0,14,437.0,Currituck,1214
,0,,Missing,38
5495.0,271,550.0,Buncombe,14353
6987.0,58,699.0,Person,2759
6368.0,186,637.0,Durham,20471
4902.0,89,490.0,Orange,7279
7064.0,123,706.0,Onslow,13982
6313.0,501,631.0,Wake,70183
7123.0,42,712.0,Franklin,4964
8573.0,192,857.0,Randolph,12316
7760.0,22,776.0,Davie,3325
7906.0,56,791.0,Hertford,1872
7580.0,111,758.0,Craven,7742
9295.0,21,929.0,Chowan,1296
6998.0,474,700.0,Guilford,37594
8280.0,145,828.0,Davidson,13878
9940.0,55,994.0,McDowell,4548
8717.0,35,872.0,Martin,1956
9660.0,188,966.0,Rutherford,6475
9307.0,121,931.0,Duplin,5467
8360.0,39,836.0,Bertie,1584
10577.0,78,1058.0,Montgomery,2874
8834.0,79,883.0,Richmond,3960
10028.0,85,1003.0,Sampson,6371
9913.0,71,991.0,Alexander,3717
9517.0,69,952.0,Scotland,3314
6819.0,12,682.0,Macon,2445
6719.0,9,672.0,Pamlico,855
8046.0,15,805.0,Mitchell,1204
5897.0,32,590.0,Madison,1283
5538.0,18,554.0,Clay,622
6679.0,243,668.0,Cumberland,22410
6349.0,135,635.0,New Hanover,14887
10059.0,18,1006.0,Avery,1766
7052.0,52,705.0,Hoke,3895
7848.0,4,785.0,Alleghany,874
8361.0,28,836.0,Northampton,1629
8301.0,65,830.0,Lee,5128
8372.0,92,837.0,Edgecombe,4309
9681.0,141,968.0,Wilson,7919
7172.0,54,717.0,Rockingham,6527
9612.0,91,961.0,Halifax,4807
7534.0,61,753.0,Stokes,3435
8189.0,17,819.0,Caswell,1851
6837.0,16,684.0,Jones,644
9612.0,124,961.0,Surry,6900
9844.0,38,984.0,Greene,2074
5807.0,81,581.0,Haywood,3619
6499.0,37,650.0,Ashe,1768
7743.0,16,774.0,Swain,1105
7671.0,23,767.0,Yancey,1386
8134.0,175,813.0,Union,19511
6578.0,133,658.0,Harnett,8945
9086.0,72,909.0,Pitt,16422
7445.0,157,745.0,Moore,7511
7832.0,310,783.0,Forsyth,29942
8486.0,173,849.0,Iredell,15428
5956.0,41,596.0,Carteret,4138
8539.0,76,854.0,Beaufort,4013
9212.0,41,921.0,Yadkin,3470
7668.0,25,767.0,Washington,888
9620.0,150,962.0,Nash,9071
9913.0,207,991.0,Cleveland,9709
7131.0,46,713.0,Jackson,3133
8722.0,194,872.0,Alamance,14785
8545.0,38,854.0,Bladen,2796
6886.0,51,689.0,Pender,4342
4684.0,5,468.0,Camden,509
6892.0,17,689.0,Cherokee,1972
12396.0,6,1240.0,Hyde,612
