People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
4791,3827,23977,26864,Robeson
409,353,3762,4277,Perquimans
14952,12030,52299,58689,Johnston
8847,7138,31026,33220,Randolph
108,92,2228,2480,Hyde
810,693,3648,3951,Alleghany
3165,2737,11889,13187,Duplin
253,211,2844,3310,Gates
4847,4049,19942,21505,Haywood
2999,2302,14704,16128,Stanly
40165,31846,12481,13623,Missing County
5230,4372,20806,23295,Wilson
82,73,1185,1327,Tyrrell
6699,5388,26653,29448,Wayne
1260,1017,6918,7615,Montgomery
4324,3647,15170,16409,Lenoir
1928,1583,9478,10373,Scotland
11773,9700,54613,59147,Alamance
289,238,2541,2951,Camden
1072,933,6048,6597,Greene
9035,7091,28644,31145,Rowan
590,464,6108,6688,Northampton
4137,3137,15982,17380,Wilkes
7354,5856,21529,23057,Lincoln
4224,3310,22288,23611,Caldwell
1143,1015,6371,6777,Polk
5726,4797,20146,21318,Surry
1440,1299,13776,14552,Macon
758,692,2891,3091,Clay
1900,1618,10262,11005,Yadkin
8830,6825,28207,30778,Onslow
1972,1582,11882,12813,Richmond
28680,25633,90628,98984,Buncombe
21979,17745,60742,65976,Union
21135,17225,51686,57432,Cabarrus
925,733,2910,3288,Washington
6828,5068,26327,28766,Harnett
4584,3545,24693,26035,Burke
0,0,69206,79039,Out of State
4755,3875,18269,19753,Granville
16341,12745,54252,58371,Gaston
2721,2148,12047,13863,Edgecombe
2704,2395,20258,21851,Watauga
2005,1565,7668,8792,Hoke
682,590,6053,6951,Bertie
2321,1837,12119,13212,Person
2158,1757,15824,17027,Beaufort
13213,10337,43558,46312,Catawba
1581,1322,13553,14536,Jackson
142929,121184,402463,441603,Wake
5852,4575,25103,26902,Cleveland
3215,2580,16082,17786,Sampson
2398,1999,13616,14400,Columbus
757,477,6864,7506,Caswell
426,326,5714,6274,Yancey
4264,3456,17077,18631,Lee
1091,936,6106,6965,Hertford
5441,4292,24755,26973,Rockingham
122561,97932,313565,352151,Mecklenburg
5791,4962,22994,24535,Carteret
597,478,3456,3665,Swain
730,628,5928,6419,Avery
3263,2616,12515,13950,Vance
1893,1523,15416,17000,Halifax
2427,2129,15180,17108,Rutherford
7698,6203,25941,29888,Nash
1657,1509,8380,9140,Ashe
3395,2773,10687,11653,Stokes
273,227,2128,2282,Graham
4162,3564,16973,18428,Pender
6554,5588,29997,31857,Craven
46984,38781,174124,189473,Guilford
681,587,8271,8804,Madison
8147,6942,24502,27049,Chatham
11818,10064,53302,56665,Pitt
7974,6957,34408,36723,Moore
35394,30169,119292,131322,Forsyth
17478,13769,43394,45740,Iredell
2051,1818,12067,12752,Transylvania
1009,849,6653,7312,Martin
1166,1011,6374,7047,Warren
454,366,2724,2946,Jones
3645,3111,12680,13760,Davie
18790,14101,58830,63684,Cumberland
1476,1138,14219,15337,McDowell
1348,1185,7645,8192,Cherokee
759,702,4372,5274,Chowan
16437,14994,67670,73029,Orange
1036,864,10321,10992,Alexander
31397,26594,123936,135106,Durham
8533,7491,38763,41414,Henderson
1973,1574,11159,12994,Pasquotank
460,391,4914,5278,Pamlico
470,370,4282,4767,Mitchell
964,805,7130,8164,Currituck
12791,11586,54678,57990,Brunswick
10885,8894,39470,42699,Davidson
5944,4813,17805,19276,Franklin
2780,2400,17590,18511,Dare
1547,1234,8509,9286,Bladen
25654,22159,79999,84877,New Hanover
873,698,6286,6877,Anson
