County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,14250,8760
Cumberland,52163,39010
Pitt,42562,34905
Beaufort,14122,10597
Durham,93208,63990
Jones,2488,1591
Pender,13932,8907
Carteret,21088,13593
Swain,3170,2352
Halifax,14264,8134
Lenoir,13352,9101
Perquimans,3878,2938
Henderson,28355,20837
Scotland,8687,5274
Alamance,44295,27175
Haywood,15032,11340
Tyrrell,1121,688
Pasquotank,11410,8404
McDowell,11517,7806
Washington,2843,2029
Polk,5647,3422
Caldwell,18688,13656
Graham,2050,1631
Warren,5434,3272
Cleveland,21831,16614
Wake,288061,179546
Rockingham,21324,12511
Lee,15091,9282
Rowan,22552,16307
Wilkes,14765,9902
Harnett,22140,15001
Wilson,18008,11435
Pamlico,4721,3135
Rutherford,13960,7921
Surry,18347,11734
Alleghany,3308,2300
Orange,50812,35010
Bladen,7841,5446
Granville,14792,9917
Out of State,56855,39645
Davidson,31647,21466
Stokes,8759,5853
Onslow,24480,16361
Stanly,12164,8325
Craven,27294,17909
Franklin,13677,9682
Anson,5507,3623
Gaston,41737,31229
Yadkin,8915,5831
Hyde,1931,1226
Randolph,26643,16133
Hertford,5846,3428
Union,43120,31794
Moore,30714,22443
Martin,5879,3916
Johnston,42517,26726
Columbus,11429,7229
Robeson,22196,14281
Macon,11131,8441
Davie,9946,8395
Yancey,5018,2886
Missing,5941,2894
New Hanover,62660,45851
Brunswick,47226,33606
Currituck,6879,3941
Camden,2622,1402
Person,10229,6208
Greene,5124,3226
Guilford,144020,76432
Madison,5775,4468
Chatham,22110,15286
Wayne,23793,14796
Ashe,7045,4765
Hoke,6901,4643
Dare,13668,10072
Montgomery,6187,4017
Forsyth,90552,64675
Chowan,4819,3161
Transylvania,8722,7002
Iredell,35245,26037
Clay,2577,1644
Vance,11058,6862
Mecklenburg,205019,136014
Edgecombe,10983,6706
Cherokee,6719,4320
Bertie,5984,3860
Lincoln,16889,12190
Alexander,9182,5438
Nash,23797,13674
Richmond,10670,7635
Mitchell,3467,2146
Cabarrus,36926,25255
Duplin,10533,6690
Buncombe,68575,43619
Avery,5110,3334
Catawba,35264,24852
Jackson,11202,7241
Gates,2842,1687
Burke,21271,15075
Caswell,5941,3881
Northampton,5743,3486
Watauga,14586,11305
