At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - NC,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,county1
9197,18986,19194,19194,19203,13161,13161,13047,6719,5944,5944,5850,2430,5944,13161,60290,53975,Robeson,89,89,89,48,98,1335,835,122048,15693,50246,53211,54072,16417,55732,59108,60379,1335,835,1405,1335,517,917,835,382,98425,20565,130625,109195,13816,2146,15425,15206,43549,42567,13754,40581,2017,12660,13924,14047,38452,13294,39108,36751,15424,43531,14046,39094,ROBESON COUNTY
1954,3048,3060,3060,3060,2331,2331,2324,1543,729,729,724,411,729,2331,6562,6018,Perquimans,,,,,,0,0,12861,2872,5809,5971,6032,3062,6295,6478,6584,0,0,19,0,0,12,0,0,10957,3671,13463,11854,1092,232,1149,1139,5416,5339,2830,5203,214,987,1038,1043,4933,2658,4977,4822,1149,5413,1043,4975,PERQUIMANS COUNTY
17036,46511,47646,47646,47689,21842,21842,21440,9311,25784,25784,25051,7725,25786,21848,119203,110537,Johnston,20,20,20,0,55,3280,2153,196283,24976,100018,107597,110605,25977,106977,115376,119316,3257,2153,3349,3091,880,2184,2036,607,156585,28558,209339,175612,33027,3863,38626,37080,77341,75039,21234,70859,3742,30844,34634,35931,70810,20627,72490,67138,38625,77298,35927,72457,JOHNSTON COUNTY
12416,26159,26444,26444,26486,12563,12563,12451,6479,13881,13881,13708,5937,13881,12565,65623,61748,Randolph,0,0,0,0,40,784,555,135556,19773,57872,60742,61842,20102,61143,64310,65741,784,555,865,784,512,627,555,427,111702,26060,143667,123257,20416,3819,22523,22001,42353,41525,15771,39943,3892,19263,20710,21108,39477,15454,40107,38054,22522,42317,21106,40087,RANDOLPH COUNTY
696,1704,1745,1745,1745,1689,1689,1651,681,56,56,53,15,56,1689,3412,3267,Hyde,,,,,,,,4753,1039,3056,3189,3267,1057,3176,3316,3415,,,,,,,,,4098,1114,4937,4410,164,52,176,173,3239,3143,1005,3012,44,148,157,161,3032,995,3106,2908,176,3236,161,3106,HYDE COUNTY
1705,3030,3050,3050,3051,1696,1696,1678,1015,1354,1354,1352,690,1354,1697,6792,6309,Alleghany,,,,,,10,0,10626,2584,6075,6233,6342,2698,6511,6683,6843,10,0,52,10,10,26,0,0,9249,3116,11137,9915,1328,350,1380,1374,5411,5299,2338,5173,332,1220,1257,1265,4976,2252,5051,4855,1380,5402,1265,5044,ALLEGHANY COUNTY
4716,9543,9616,9616,9640,5246,5246,5208,2666,4370,4370,4335,2050,4370,5248,29176,26456,Duplin,0,0,0,0,22,2019,1471,55126,7767,24444,25964,26517,8053,26708,28459,29254,1994,1471,2080,1792,424,1520,1300,301,44760,11405,58741,49644,7529,1508,8449,8316,18725,18149,6121,17387,1518,7155,7886,7972,16607,5948,17025,15989,8449,18708,7972,17013,DUPLIN COUNTY
1065,1905,1920,1920,1921,1675,1675,1668,981,245,245,237,84,245,1676,4791,4472,Gates,,,,,,52,41,11027,1757,4302,4443,4498,1854,4573,4737,4863,52,41,116,52,0,66,41,0,9230,2418,11562,10120,503,122,555,551,4192,4134,1732,4018,124,477,516,517,3886,1633,3915,3784,555,4184,517,3914,GATES COUNTY
9519,18599,18876,18876,18916,11693,11693,11527,6074,7123,7123,7012,3434,7123,11693,37216,35179,Haywood,60,60,60,11,100,1410,895,59266,13647,33170,34490,35268,14052,35074,36450,37304,1410,895,1488,1410,627,971,895,509,50968,15572,62317,54941,8020,1987,8516,8467,27300,26573,11438,25644,1851,7375,7820,7861,25775,11287,26436,24900,8516,27290,7861,26423,HAYWOOD COUNTY
6220,12350,12490,12490,12515,6929,6929,6840,3603,5561,5561,5510,2617,5561,6929,29140,27244,Stanly,0,0,0,0,25,664,473,59178,9548,25822,26902,27324,9914,27504,28670,29199,664,473,717,664,329,549,473,284,49282,12123,62806,54008,6837,1342,7310,7177,21172,20829,8243,20003,1316,6380,6696,6781,19733,7948,19994,18969,7310,21166,6781,19990,STANLY COUNTY
41735,136952,139904,139904,139912,39989,39989,38836,16506,99915,99915,98116,25229,99916,39996,241656,229287,Missing,,,,,,41481,48628,,43824,209955,221569,230895,49333,219884,232280,243554,41466,48628,43267,41323,9966,49990,48530,9818,,,,,86062,7464,97809,93022,102478,97792,31903,92499,8130,84778,91967,96151,80974,25876,84754,76647,97793,102382,96148,84511,MISSING COUNTY
8799,18242,18496,18496,18507,12261,12261,12163,6571,6192,6192,6036,2212,6192,12266,44936,42017,Wilson,43,43,43,16,49,525,345,76972,12817,39076,41240,42075,13147,41460,43863,45000,525,345,570,525,268,386,345,222,63224,15337,81801,69710,11842,1851,13632,13164,30798,30174,11028,29093,1824,10987,12191,12529,28704,10771,29160,27744,13629,30782,12527,29145,WILSON COUNTY
440,825,826,826,826,750,750,749,411,76,76,76,29,76,750,2043,1944,Tyrrell,,,,,,,,3827,670,1825,1911,1945,686,1912,2005,2045,,,,,,,,,3288,810,4016,3533,167,37,177,175,1868,1830,649,1745,37,142,147,147,1764,633,1798,1683,177,1866,147,1797,TYRRELL COUNTY
10375,22361,22592,22592,22600,11193,11193,11087,5152,11349,11349,11224,5192,11349,11194,64355,59011,Wayne,50,50,50,31,57,6511,5137,115046,15865,55287,58051,59077,16545,59933,63047,64432,6470,5110,6551,6364,895,5174,5022,655,94031,20802,123131,103693,17367,3160,19990,19283,37891,37294,12490,36202,3060,16232,17942,18479,34999,12150,35424,34033,19989,37855,18475,35399,WAYNE COUNTY
2455,4712,4734,4734,4734,2440,2440,2435,1294,2294,2294,2277,1161,2294,2440,12379,11620,Montgomery,,,,,,169,138,25757,4393,11185,11537,11666,4533,11886,12271,12474,169,138,261,169,105,183,138,95,21266,5743,27173,23512,2786,521,2986,2946,9227,9156,3907,8931,491,2606,2756,2788,8643,3807,8695,8441,2986,9224,2788,8694,MONTGOMERY COUNTY
6714,13106,13215,13215,13225,7838,7838,7801,4134,5332,5332,5260,2555,5333,7839,32379,30157,Lenoir,45,45,45,25,53,417,277,52801,10293,28467,29772,30190,10548,30396,31825,32400,417,277,433,417,238,307,277,196,43423,11303,55949,47933,9133,1710,10400,10087,21567,21321,8600,20846,1671,8532,9441,9678,20054,8426,20205,19658,10400,21562,9678,20202,LENOIR COUNTY
3275,6689,6758,6758,6769,4083,4083,4069,2057,2675,2675,2620,1218,2675,4083,18099,16720,Scotland,0,0,0,0,11,218,168,32530,5803,15896,16559,16760,6041,17103,17863,18147,218,168,262,218,125,208,168,99,26793,6531,34823,29381,4511,926,5155,5020,12730,12625,4990,12374,849,4111,4561,4654,11830,4855,11898,11617,5155,12726,4654,11898,SCOTLAND COUNTY
17241,42758,43562,43562,43575,20647,20647,20264,8957,22870,22870,22449,8268,22870,20649,103969,98359,Alamance,45,45,45,16,56,1777,1134,159560,26256,90135,95624,98436,27093,94673,100591,104054,1777,1134,1834,1761,797,1194,1123,655,132145,29035,169509,145046,24499,4451,27369,26341,74851,72473,21845,68413,4141,22929,24682,25508,69808,21460,71734,66083,27368,74824,25508,71717,ALAMANCE COUNTY
859,1820,1839,1839,1839,1272,1272,1257,650,567,567,563,209,567,1272,6461,5601,Camden,,,,,,1817,1327,10327,1401,5266,5508,5636,1621,6063,6343,6511,1817,1327,1859,1750,113,1360,1272,11,8407,1833,10867,9354,798,129,861,837,3791,3689,1379,3515,117,777,809,830,3372,1273,3446,3217,861,3783,830,3444,CAMDEN COUNTY
1932,4725,4773,4773,4773,3436,3436,3427,1452,1337,1337,1298,480,1337,3436,15016,13211,Greene,,,,,,3288,2259,20022,3384,12294,12967,13238,3790,13891,14668,15086,3167,2176,3354,2895,843,2285,1959,496,16884,3592,21069,18372,2475,392,2885,2819,8847,8682,2555,8521,373,2273,2595,2633,8196,2515,8320,8062,2885,8843,2633,8319,GREENE COUNTY
