"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",County,Cases
9490.0,231,949.0,Alamance,16086
10665.0,77,1066.0,Alexander,3999
8377.0,5,838.0,Alleghany,933
9658.0,53,966.0,Anson,2361
6985.0,40,698.0,Ashe,1900
10731.0,20,1073.0,Avery,1884
9199.0,84,920.0,Beaufort,4323
8856.0,41,886.0,Bertie,1678
9193.0,41,919.0,Bladen,3008
5754.0,138,575.0,Brunswick,8218
6081.0,292,608.0,Buncombe,15883
10338.0,145,1034.0,Burke,9354
8731.0,238,873.0,Cabarrus,18899
10650.0,93,1065.0,Caldwell,8752
5558.0,5,556.0,Camden,604
6519.0,44,652.0,Carteret,4529
8888.0,24,889.0,Caswell,2009
11114.0,286,1111.0,Catawba,17732
5671.0,79,567.0,Chatham,4223
7500.0,19,750.0,Cherokee,2146
9948.0,22,995.0,Chowan,1387
5912.0,18,591.0,Clay,664
10730.0,218,1073.0,Cleveland,10510
10764.0,147,1076.0,Columbus,5975
8335.0,116,833.0,Craven,8513
7380.0,282,738.0,Cumberland,24759
5075.0,15,508.0,Currituck,1409
5085.0,8,509.0,Dare,1882
8858.0,172,886.0,Davidson,14846
8444.0,35,844.0,Davie,3618
9876.0,128,988.0,Duplin,5801
6833.0,210,683.0,Durham,21968
9287.0,100,929.0,Edgecombe,4780
8482.0,352,848.0,Forsyth,32425
8059.0,45,806.0,Franklin,5616
10747.0,381,1075.0,Gaston,24131
5933.0,12,593.0,Gates,686
6729.0,12,673.0,Graham,568
8903.0,76,890.0,Granville,5381
10219.0,42,1022.0,Greene,2153
7604.0,563,760.0,Guilford,40845
10106.0,102,1011.0,Halifax,5054
7328.0,157,733.0,Harnett,9964
6292.0,88,629.0,Haywood,3921
7754.0,151,775.0,Henderson,9105
8320.0,62,832.0,Hertford,1970
7622.0,54,762.0,Hoke,4210
12741.0,8,1274.0,Hyde,629
9225.0,197,922.0,Iredell,16771
7731.0,55,773.0,Jackson,3397
8823.0,201,882.0,Johnston,18471
7952.0,16,795.0,Jones,749
8951.0,73,895.0,Lee,5530
9895.0,108,989.0,Lenoir,5536
10420.0,75,1042.0,Lincoln,8973
10764.0,62,1076.0,McDowell,4925
7259.0,28,726.0,Macon,2603
6422.0,40,642.0,Madison,1397
9349.0,37,935.0,Martin,2098
8885.0,887,888.0,Mecklenburg,98652
8480.0,16,848.0,Mitchell,1269
11489.0,89,1149.0,Montgomery,3122
8071.0,182,807.0,Moore,8142
10575.0,172,1057.0,Nash,9972
7102.0,154,710.0,New Hanover,16652
8957.0,34,896.0,Northampton,1745
7566.0,137,757.0,Onslow,14975
5272.0,97,527.0,Orange,7828
7724.0,10,772.0,Pamlico,983
7824.0,78,782.0,Pasquotank,3116
7664.0,60,766.0,Pender,4833
6930.0,9,693.0,Perquimans,933
7807.0,64,781.0,Person,3083
9846.0,84,985.0,Pitt,17796
6591.0,27,659.0,Polk,1366
9507.0,206,951.0,Randolph,13658
9532.0,92,953.0,Richmond,4273
11814.0,215,1181.0,Robeson,15432
7612.0,61,761.0,Rockingham,6928
10669.0,291,1067.0,Rowan,15159
10170.0,201,1017.0,Rutherford,6817
11058.0,94,1106.0,Sampson,7025
10114.0,79,1011.0,Scotland,3522
11133.0,111,1113.0,Stanly,6992
8129.0,74,813.0,Stokes,3706
10416.0,140,1042.0,Surry,7477
8212.0,16,821.0,Swain,1172
5709.0,28,571.0,Transylvania,1963
7595.0,6,759.0,Tyrrell,305
8858.0,204,886.0,Union,21246
10028.0,82,1003.0,Vance,4466
6876.0,566,688.0,Wake,76443
8312.0,18,831.0,Warren,1640
8661.0,31,866.0,Washington,1003
7263.0,30,726.0,Watauga,4080
8429.0,226,843.0,Wayne,10379
8938.0,104,894.0,Wilkes,6115
10563.0,152,1056.0,Wilson,8641
9831.0,46,983.0,Yadkin,3703
8147.0,26,815.0,Yancey,1472
