People Fully Vaccinated,County,People Vaccinated with at Least One Dose
18757,Robeson,24555
3314,Perquimans,4023
36610,Johnston,52393
23619,Randolph,30532
1657,Hyde,2282
2986,Alleghany,3715
8836,Duplin,12117
2198,Gates,3026
13738,Haywood,19367
10753,Stanly,14752
5585,Missing County,9864
15161,Wilson,20798
999,Tyrrell,1215
19548,Wayne,26796
5207,Montgomery,7095
11845,Lenoir,15010
7037,Scotland,9573
38687,Alamance,53807
2205,Camden,2800
4494,Greene,5976
20736,Rowan,27186
4967,Northampton,6274
13040,Wilkes,16133
15717,Lincoln,20249
17430,Caldwell,21917
5107,Polk,6352
15904,Surry,20415
11365,Macon,13808
2207,Clay,2875
7770,Yadkin,10246
21667,Onslow,28198
9523,Richmond,11911
64118,Buncombe,87191
43569,Union,55015
34243,Cabarrus,46992
2496,Washington,3128
20145,Harnett,26062
19473,Burke,23714
53230,Out of State,70405
12829,Granville,17419
41051,Gaston,52124
8911,Edgecombe,12784
16437,Watauga,20854
5903,Hoke,7955
4929,Bertie,6429
8079,Person,12041
13263,Beaufort,16209
11059,Jackson,13358
32051,Catawba,42077
265055,Wake,383735
20089,Cleveland,24548
11731,Sampson,16163
10554,Columbus,13251
5157,Caswell,6914
4162,Yancey,5599
13252,Lee,17289
4852,Hertford,6485
17911,Rockingham,24853
18388,Carteret,23270
199736,Mecklenburg,283055
2966,Swain,3472
4304,Avery,6038
9208,Vance,12383
12329,Halifax,15950
19306,Nash,27485
11109,Rutherford,15634
6741,Ashe,8573
7919,Stokes,10388
1859,Graham,2184
12430,Pender,17048
24121,Craven,30244
128042,Guilford,171122
5886,Madison,7817
18799,Chatham,25106
43483,Pitt,53391
29166,Moore,34354
90566,Forsyth,118657
30397,Iredell,40964
9852,Transylvania,11703
5483,Martin,6762
4472,Warren,6400
2173,Jones,2742
10094,Davie,12560
48532,Cumberland,59097
9743,McDowell,13842
5566,Cherokee,7527
3910,Chowan,5067
50274,Orange,66170
7676,Alexander,10321
90784,Durham,119488
27487,Henderson,37191
10019,Pasquotank,12193
4049,Pamlico,5031
2783,Mitchell,4155
5337,Currituck,7595
43893,Brunswick,54990
30155,Davidson,38153
12788,Franklin,17135
13592,Dare,17631
61185,New hanover,78672
6875,Bladen,8569
4419,Anson,6108
