People Fully Vaccinated,County,People Vaccinated with at Least One Dose
20153,Robeson,25078
3435,Perquimans,4097
40268,Johnston,54262
25681,Randolph,31373
1731,Hyde,2351
3187,Alleghany,3752
9463,Duplin,12467
2475,Gates,3082
15271,Haywood,20099
11211,Stanly,15162
6928,Missing County,11326
16404,Wilson,21386
1088,Tyrrell,1228
22022,Wayne,27703
5431,Montgomery,7239
12747,Lenoir,15378
7785,Scotland,9812
43902,Alamance,55266
2257,Camden,2838
5054,Greene,6128
22175,Rowan,28647
5345,Northampton,6368
14266,Wilkes,16599
16581,Lincoln,21358
19309,Caldwell,22347
5253,Polk,6455
17195,Surry,20613
11983,Macon,13979
2365,Clay,2915
9069,Yadkin,10444
24088,Onslow,28744
10355,Richmond,12058
70276,Buncombe,90075
45734,Union,59637
36923,Cabarrus,50875
2616,Washington,3161
22043,Harnett,26645
20613,Burke,24959
55970,Out of State,73511
13647,Granville,18068
43160,Gaston,54154
9790,Edgecombe,13082
17311,Watauga,21174
6352,Hoke,8124
5189,Bertie,6624
9036,Person,12344
14112,Beaufort,16414
11631,Jackson,13723
34205,Catawba,43799
296982,Wake,406118
21183,Cleveland,25329
12569,Sampson,16585
11228,Columbus,13634
5433,Caswell,7058
4773,Yancey,5741
13736,Lee,17634
5282,Hertford,6571
20228,Rockingham,25419
20165,Carteret,23804
216221,Mecklenburg,307081
3148,Swain,3540
4969,Avery,6111
9827,Vance,12856
13162,Halifax,16256
21128,Nash,28099
12129,Rutherford,15956
7228,Ashe,8714
8690,Stokes,10760
1914,Graham,2205
13623,Pender,17467
26044,Craven,30702
144516,Guilford,176141
6183,Madison,8023
20550,Chatham,25826
48081,Pitt,54312
30132,Moore,35088
99075,Forsyth,122466
35568,Iredell,44389
10344,Transylvania,11885
5801,Martin,6911
4959,Warren,6689
2251,Jones,2788
10816,Davie,12899
50660,Cumberland,60351
10620,McDowell,14195
6199,Cherokee,7681
4045,Chowan,5107
54704,Orange,68329
8270,Alexander,10545
98670,Durham,124916
28926,Henderson,38361
10401,Pasquotank,12424
4288,Pamlico,5135
3119,Mitchell,4317
5561,Currituck,7784
47835,Brunswick,55941
32541,Davidson,39445
13835,Franklin,17932
14199,Dare,17994
66633,New hanover,80651
7463,Bladen,8750
5045,Anson,6478
