County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,15316,10135
Cumberland,55148,43987
Pitt,45450,39158
Beaufort,14703,11933
Durham,101079,76695
Jones,2653,1911
Pender,15122,10436
Carteret,22070,15924
Swain,3312,2564
Halifax,15088,10196
Lenoir,13955,10680
Perquimans,3941,3227
Henderson,31439,24538
Scotland,9144,5976
Alamance,48510,32001
Haywood,16512,12886
Tyrrell,1152,899
Pasquotank,11706,9259
McDowell,12691,8960
Washington,2961,2270
Polk,6075,4080
Caldwell,19494,15768
Graham,2108,1761
Warren,5856,3845
Cleveland,23437,17956
Wake,326318,220701
Rockingham,23046,14981
Lee,15938,12108
Rowan,24655,18314
Wilkes,15340,11470
Harnett,23433,18129
Wilson,19087,13291
Pamlico,4852,3625
Rutherford,14911,9482
Surry,19462,13796
Alleghany,3468,2640
Orange,55819,41640
Bladen,8192,6128
Granville,15983,11319
Out of State,60608,46525
Davidson,34130,25294
Stokes,9363,6686
Onslow,26335,18733
Stanly,13286,9500
Craven,28713,20825
Franklin,15186,11418
Anson,5753,4057
Gaston,45251,36779
Yadkin,9388,6837
Hyde,2184,1454
Randolph,28371,20225
Hertford,6083,3834
Union,46563,37823
Moore,32398,26217
Martin,6117,4421
Johnston,46788,31582
Columbus,12042,8882
Robeson,23254,16536
Macon,11574,9326
Davie,10786,8833
Yancey,5262,3575
Missing,7231,4213
New Hanover,66012,54013
Brunswick,49590,38920
Currituck,7224,4575
Camden,2702,1804
Person,10815,7267
Greene,5416,3763
Guilford,153128,104746
Madison,6410,5222
Chatham,23697,17272
Wayne,25078,17546
Ashe,7387,5914
Hoke,7375,5305
Dare,15117,11408
Montgomery,6683,4656
Forsyth,98825,75217
Chowan,4901,3652
Transylvania,9238,8465
Iredell,36742,28290
Clay,2758,1978
Vance,11811,8179
Mecklenburg,226306,165907
Edgecombe,11576,7465
Cherokee,7195,4997
Bertie,6115,4167
Lincoln,18169,14144
Alexander,9755,6180
Nash,25033,16031
Richmond,11201,8475
Mitchell,3648,2411
Cabarrus,39821,29951
Duplin,11361,8061
Buncombe,75080,52714
Avery,5418,3947
Catawba,38306,28428
Jackson,11825,8907
Gates,2904,1882
Burke,22620,16872
Caswell,6523,4596
Northampton,5978,4266
Watauga,15623,14452
