county1,At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
ROBESON COUNTY,11818,24682,25283,25170,25336,16703,16599,16306,8154,8364,8355,8160,3564,8364,16703,62251,56327,Robeson,216,216,216,100,269,1492,985,122048,16310,52086,55144,56416,17119,57386,60822,62428,1492,985,1570,1492,604,1048,985,408,98425,20565,130625,109195,14604,2335,16274,15998,16272,44584,44487,43332,14180,41290,13570,15082,15081,14864,2200,39295,40261,40286,13702,37531
PERQUIMANS COUNTY,2326,3648,3693,3685,3693,2598,2591,2564,1665,1095,1094,1084,661,1095,2598,6673,6159,Perquimans,,,,,,0,0,12861,2947,5908,6078,6174,3146,6379,6567,6706,0,0,20,0,0,12,0,0,10957,3671,13463,11854,1141,254,1205,1192,1203,5481,5470,5375,2892,5238,1036,1096,1096,1088,233,4990,5063,5066,2714,4872
JOHNSTON COUNTY,21863,58499,60994,60456,61056,26451,26121,25254,10805,34036,33828,32738,10915,34038,26461,122538,114737,Johnston,507,507,507,143,557,3693,2400,196283,25992,103310,111009,114867,27045,109851,118256,123085,3643,2380,3769,3456,1047,2425,2259,691,156585,28558,209339,175612,34712,4181,40529,38813,40469,78787,78376,75800,21817,71683,32917,38426,38417,36841,4067,71788,73920,74016,21234,68134
RANDOLPH COUNTY,15670,32551,33169,33066,33183,14786,14712,14468,7454,18260,18231,17960,8134,18260,14790,67317,63836,Randolph,123,123,123,82,133,891,575,135556,20524,59636,62545,63972,20960,62682,65827,67490,891,575,957,891,560,664,575,444,111702,26060,143667,123257,21333,4191,23466,22905,23459,43067,42967,42031,16209,40458,20416,22412,22409,21898,4216,40072,40852,40896,15864,38645
HYDE COUNTY,784,1891,1961,1950,1961,1876,1867,1811,754,85,83,80,30,85,1876,3478,3370,Hyde,,,,,,0,,4753,1068,3136,3281,3370,1083,3242,3389,3496,0,,12,0,0,,,,4098,1114,4937,4410,164,49,178,175,178,3306,3300,3214,1034,3078,154,168,168,164,43,3117,3202,3202,1025,2982
ALLEGHANY COUNTY,2152,4027,4080,4062,4081,2222,2206,2174,1105,1858,1856,1853,1047,1858,2223,6949,6518,Alleghany,,,,,,35,0,10626,2722,6256,6427,6566,2809,6647,6826,7002,35,0,69,35,25,38,0,0,9249,3116,11137,9915,1371,377,1420,1414,1420,5513,5494,5377,2407,5241,1274,1318,1318,1311,362,5116,5200,5210,2360,4982
DUPLIN COUNTY,5989,12214,12495,12426,12538,6231,6179,6073,3025,5923,5906,5810,2872,5924,6234,29932,27449,Duplin,341,341,331,92,380,2189,1635,55126,8141,25253,26802,27509,8446,27393,29163,30044,2154,1618,2261,1933,471,1673,1444,331,44760,11405,58741,49644,7861,1619,8762,8623,8759,19021,18984,18386,6356,17599,7584,8423,8422,8292,1637,16892,17392,17413,6173,16225
GATES COUNTY,1270,2313,2354,2343,2367,2007,1996,1979,1141,347,347,334,129,347,2008,4923,4612,Gates,0,0,0,0,12,88,42,11027,1842,4395,4550,4640,1935,4678,4852,4991,88,42,147,88,10,68,42,0,9230,2418,11562,10120,535,131,587,579,587,4257,4248,4185,1794,4055,506,546,546,542,133,3966,4024,4026,1709,3847
HAYWOOD COUNTY,11861,22332,22928,22793,22976,12994,12869,12546,6592,9833,9823,9685,5255,9833,12995,37921,35920,Haywood,101,101,101,14,148,1530,931,59266,14071,33790,35105,36036,14531,35679,37056,38118,1530,931,1609,1530,699,1025,931,511,50968,15572,62317,54941,8233,2118,8711,8647,8701,27798,27690,26879,11714,25916,7611,8077,8075,8020,1988,26154,26914,26934,11572,25248
STANLY COUNTY,8178,15779,16092,16032,16102,8676,8623,8453,4480,7319,7312,7229,3624,7319,8676,29967,28258,Stanly,97,97,97,74,107,715,517,59178,9947,26691,27773,28341,10331,28245,29409,30081,715,517,773,715,356,592,517,288,49282,12123,62806,54008,7129,1424,7603,7465,7600,21705,21652,21229,8551,20401,6749,7179,7177,7067,1403,20189,20564,20570,8256,19425
