County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,12723,7451
Cumberland,47224,32734
Pitt,34318,29350
Beaufort,12222,8620
Durham,76583,51432
Jones,2162,1283
Pender,11592,7480
Carteret,17883,9805
Swain,2965,1776
Halifax,12582,6283
Lenoir,11597,7689
Perquimans,3627,1792
Henderson,23270,16565
Scotland,6939,4575
Alamance,34715,21525
Haywood,12803,9500
Tyrrell,990,607
Pasquotank,10822,7250
McDowell,9425,6767
Washington,2578,1698
Polk,4833,2515
Caldwell,16263,11390
Graham,1942,1273
Warren,4683,2363
Cleveland,19270,10097
Wake,227104,140512
Rockingham,18023,8880
Lee,12932,7456
Rowan,19871,13667
Wilkes,12561,7238
Harnett,19040,12287
Wilson,15426,9155
Pamlico,4049,2520
Rutherford,12171,5653
Surry,16800,9447
Alleghany,2967,2003
Orange,41278,29663
Bladen,7075,4455
Granville,12929,8107
Out of State,50097,31607
Davidson,26424,17163
Stokes,7718,4979
Onslow,21564,12700
Stanly,10339,5927
Craven,23194,12699
Franklin,11824,7792
Anson,4607,2879
Gaston,37161,23701
Yadkin,7415,4509
Hyde,1713,1070
Randolph,22325,11945
Hertford,5361,2665
Union,37984,22924
Moore,27718,18088
Martin,5193,3383
Johnston,35904,20967
Columbus,9831,5470
Robeson,19482,11787
Macon,9138,6257
Davie,8710,7299
Yancey,4348,2430
Missing,4183,1394
New Hanover,53712,37903
Brunswick,40172,26630
Currituck,5669,3565
Camden,2326,1239
Person,8512,5075
Greene,4208,2830
Guilford,113205,58969
Madison,4826,3928
Chatham,19685,13896
Wayne,19834,10109
Ashe,6256,3419
Hoke,6110,3815
Dare,10868,9152
Montgomery,5241,3103
Forsyth,74459,52775
Chowan,4422,2628
Transylvania,7540,5380
Iredell,29074,20211
Clay,2321,1205
Vance,9614,5685
Mecklenburg,170227,104695
Edgecombe,8900,5376
Cherokee,5761,3142
Bertie,5138,2836
Lincoln,15030,9040
Alexander,7393,4364
Nash,20176,10523
Richmond,9617,6002
Mitchell,2794,1579
Cabarrus,31102,19544
Duplin,8825,5165
Buncombe,54920,34551
Avery,4726,2889
Catawba,31039,19181
Jackson,9759,4820
Gates,2583,1383
Burke,18656,12433
Caswell,5262,2874
Northampton,5129,2626
Watauga,12688,8624
