county1,At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC,At Least One Dose - NC 5Plus,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC 18Plus
ROBESON COUNTY,11828,24695,25296,25180,25349,16713,16607,16314,8159,8368,8358,8166,3571,8368,16713,62272,56346,Robeson,215,215,215,98,268,1495,985,122048,16326,52112,55163,56440,17134,57419,60844,62458,1495,985,1573,1495,605,1048,985,408,98425,20565,130625,109195,14616,2340,16284,16009,16282,44601,44495,43340,14189,41308,13583,15094,15093,14877,2205,39301,40268,40298,13713,37544
PERQUIMANS COUNTY,2328,3651,3696,3688,3696,2599,2592,2565,1666,1097,1096,1086,662,1097,2599,6677,6163,Perquimans,,,,,,0,0,12861,2947,5911,6081,6178,3146,6381,6570,6710,0,0,20,0,0,12,0,0,10957,3671,13463,11854,1141,254,1206,1193,1204,5484,5473,5377,2892,5240,1037,1097,1097,1089,233,4992,5066,5069,2714,4874
JOHNSTON COUNTY,21915,58545,61036,60491,61107,26494,26159,25298,10841,34059,33849,32764,10938,34061,26504,122613,114857,Johnston,483,483,483,136,542,3698,2412,196283,26058,103438,111118,114983,27102,109942,118324,123189,3648,2392,3774,3461,1049,2428,2271,702,156585,28558,209339,175612,34741,4193,40545,38829,40483,78870,78432,75847,21860,71740,32961,38466,38457,36876,4078,71850,73988,74089,21278,68206
RANDOLPH COUNTY,15687,32552,33171,33064,33185,14788,14711,14468,7459,18260,18230,17961,8146,18260,14792,67335,63852,Randolph,123,123,123,82,133,892,575,135556,20543,59666,62561,63989,20981,62718,65847,67511,892,575,958,892,560,664,575,444,111702,26060,143667,123257,21348,4201,23475,22917,23469,43078,42974,42038,16220,40478,20428,22421,22418,21909,4223,40077,40859,40904,15876,38663
HYDE COUNTY,785,1891,1961,1950,1961,1876,1867,1811,755,85,83,80,30,85,1876,3477,3370,Hyde,,,,,,0,,4753,1070,3137,3281,3370,1086,3242,3388,3495,0,,12,0,0,,,,4098,1114,4937,4410,164,50,178,175,178,3305,3299,3213,1036,3078,154,168,168,164,44,3117,3202,3202,1026,2983
ALLEGHANY COUNTY,2153,4027,4080,4062,4081,2222,2206,2174,1105,1858,1856,1853,1048,1858,2223,6952,6522,Alleghany,,,,,,35,0,10626,2726,6258,6430,6571,2815,6649,6830,7005,35,0,69,35,25,38,0,0,9249,3116,11137,9915,1371,378,1420,1414,1420,5516,5497,5381,2412,5243,1274,1318,1318,1311,363,5119,5204,5215,2363,4984
DUPLIN COUNTY,5992,12213,12496,12426,12539,6234,6181,6075,3027,5922,5905,5809,2874,5923,6237,29942,27456,Duplin,340,340,329,91,379,2192,1635,55126,8146,25262,26813,27516,8453,27404,29175,30053,2156,1618,2264,1935,471,1673,1444,331,44760,11405,58741,49644,7866,1624,8766,8629,8763,19023,18987,18390,6358,17603,7590,8428,8427,8300,1641,16895,17394,17415,6174,16228
GATES COUNTY,1271,2313,2354,2343,2367,2007,1996,1979,1142,347,347,334,129,347,2008,4925,4614,Gates,0,0,0,0,12,89,43,11027,1844,4396,4551,4642,1936,4680,4855,4993,89,43,148,89,10,69,43,0,9230,2418,11562,10120,536,131,588,581,588,4257,4248,4185,1795,4055,506,546,546,542,134,3966,4025,4027,1710,3847
HAYWOOD COUNTY,11880,22348,22951,22809,22999,13010,12878,12555,6605,9840,9830,9692,5261,9840,13011,37944,35944,Haywood,101,101,101,14,148,1532,931,59266,14091,33807,35125,36060,14554,35699,37079,38146,1532,931,1611,1532,700,1025,931,511,50968,15572,62317,54941,8239,2120,8719,8656,8709,27816,27703,26891,11734,25928,7616,8082,8080,8026,1990,26168,26933,26953,11590,25260
STANLY COUNTY,8185,15780,16095,16032,16105,8685,8629,8459,4491,7313,7306,7224,3620,7313,8685,29983,28279,Stanly,97,97,97,74,107,716,527,59178,9966,26720,27797,28353,10341,28266,29429,30101,716,527,774,716,357,593,527,298,49282,12123,62806,54008,7137,1426,7608,7471,7605,21719,21662,21242,8558,20413,6754,7181,7179,7070,1405,20200,20573,20579,8263,19439
MISSING COUNTY,62567,181557,187745,186395,187765,70942,70491,68357,31809,116803,115904,113200,30758,116806,70959,287879,255667,Missing,,,,,,37989,47412,,56504,233312,246408,257192,78165,264543,278044,290171,37972,47412,39886,37829,9849,48629,47323,9783,,,,,83994,7515,95769,90823,95588,154516,154302,149249,60801,142720,84939,97384,97352,92390,8266,106606,110903,111179,38455,101050
WILSON COUNTY,11032,23567,24099,24016,24136,15593,15541,15346,7813,8420,8389,8135,3185,8420,15597,46472,43970,Wilson,86,86,86,34,119,609,371,76972,13416,40707,42951,44043,13755,42868,45314,46618,609,371,654,609,316,416,371,237,63224,15337,81801,69710,12549,2011,14373,13856,14363,31591,31500,30849,11428,29710,11848,13534,13530,13065,1998,29515,30069,30093,11181,28488
TYRRELL COUNTY,500,987,1004,999,1004,909,904,893,461,95,95,94,39,95,909,2076,1988,Tyrrell,,,,,,,,3827,690,1862,1950,1989,704,1942,2033,2079,,,,,,,,,3288,810,4016,3533,174,40,183,181,183,1896,1893,1852,664,1768,149,154,154,154,39,1796,1834,1835,651,1713
WAYNE COUNTY,13894,30445,31015,30921,31083,14173,14115,13898,6332,15450,15414,15155,7298,15450,14178,66389,61503,Wayne,1392,1392,1392,264,1455,6718,5383,115046,16659,57361,60201,61572,17383,61720,64854,66588,6663,5346,6756,6550,1008,5410,5252,744,94031,20802,123131,103693,18389,3430,21091,20334,21083,38741,38588,37857,12945,36781,17384,19824,19816,19163,3300,35692,36304,36338,12615,34725
MONTGOMERY COUNTY,3158,5997,6102,6076,6123,3093,3070,3015,1573,2987,2984,2960,1573,2987,3093,12677,11904,Montgomery,22,22,22,12,43,214,142,25757,4459,11393,11776,11970,4622,12100,12524,12804,214,142,297,214,122,200,142,97,21266,5743,27173,23512,2936,589,3138,3095,3138,9369,9325,9215,3911,8950,2756,2943,2943,2901,546,8733,8819,8827,3816,8495
LENOIR COUNTY,8794,16935,17185,17153,17199,9426,9412,9330,4868,7652,7634,7498,3863,7653,9426,33351,31258,Lenoir,107,107,107,63,120,474,291,52801,10783,29418,30753,31298,11061,31261,32728,33404,474,291,492,474,268,325,291,206,43423,11303,55949,47933,9606,1877,10898,10564,10894,22014,21983,21690,8916,21181,9047,10242,10239,9950,1819,20512,20728,20731,8758,20080
