Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
22634,56311,26392,4439,2846,Robeson
3577,8420,4181,372,290,Perquimans
45885,126651,57428,13847,9491,Johnston
28873,75425,32683,8214,5655,Randolph
2142,4754,2424,107,81,Hyde
3307,8575,3925,769,574,Alleghany
10875,28930,12965,2980,2110,Duplin
2642,6253,3208,236,167,Gates
16414,45562,21041,4696,3411,Haywood
13162,33641,15885,2761,1833,Stanly
68098,220667,90403,37364,24802,Missing / Out of State
18883,49335,22511,4908,3033,Wilson
1114,2514,1260,79,61,Tyrrell
24694,63807,28792,6141,4180,Wayne
6443,15869,7494,1190,742,Montgomery
13848,37028,16046,4082,3052,Lenoir
9089,22286,10225,1826,1146,Scotland
49508,126797,57706,11085,8498,Alamance
2393,5723,2902,268,160,Camden
5350,13548,6425,1019,754,Greene
25752,70395,30314,8454,5875,Rowan
5777,13311,6609,552,373,Northampton
15015,38362,17102,3809,2436,Wilkes
18943,53135,22759,6859,4574,Lincoln
19891,49520,23283,3937,2409,Caldwell
6103,14813,6672,1109,929,Polk
19327,50032,21174,5499,4032,Surry
11224,28058,14425,1403,1006,Macon
2714,7124,3036,743,631,Clay
9437,23447,10849,1787,1374,Yadkin
26595,69809,30197,8030,4987,Onslow
11170,26709,12621,1829,1089,Richmond
78009,224281,95910,27704,22658,Buncombe
51531,151247,64553,20511,14652,Union
42955,132502,55899,19667,13981,Cabarrus
2722,7491,3235,888,646,Washington
23538,61687,28205,6222,3722,Harnett
22690,55427,25664,4238,2835,Burke
17005,43865,19332,4439,3089,Granville
46786,129483,57659,14936,10102,Gaston
10773,28492,13550,2502,1667,Edgecombe
15190,41623,21730,2607,2096,Watauga
6982,18367,8560,1817,1008,Hoke
5644,13624,6850,649,481,Bertie
10717,27285,12968,2142,1458,Person
14314,34650,16837,2041,1458,Beaufort
40082,106389,45765,12257,8285,Catawba
11519,28363,14246,1506,1092,Jackson
342149,1008443,429959,135054,101281,Wake
23395,58829,26523,5395,3516,Cleveland
14521,36824,17339,2985,1979,Sampson
12381,30359,14182,2270,1526,Columbus
6403,14944,7394,726,421,Caswell
5265,12041,6155,383,238,Yancey
16182,40983,18311,3875,2615,Lee
5655,14260,6828,1005,772,Hertford
22991,57737,26510,5050,3186,Rockingham
255405,793439,343349,114641,80044,Mecklenburg
22028,55728,24284,5457,3959,Carteret
3282,7889,3629,572,406,Swain
5352,12893,6356,682,503,Avery
11682,30289,13641,3016,1950,Vance
14565,34246,16777,1748,1156,Halifax
14305,34951,16642,2274,1730,Rutherford
23138,64621,29438,7111,4934,Nash
7044,18860,9033,1577,1206,Ashe
9288,26186,11430,3172,2296,Stokes
2031,4733,2269,261,172,Graham
15197,40147,18157,3970,2823,Pender
28611,70840,31471,6132,4626,Craven
157249,418460,184370,44163,32678,Guilford
6571,16335,8545,657,562,Madison
22733,63118,26642,7819,5924,Chatham
45138,120919,56002,11057,8722,Pitt
32638,82300,36100,7513,6049,Moore
97265,285025,128074,33413,26273,Forsyth
39144,111815,45255,16214,11202,Iredell
9168,25171,12476,1972,1555,Transylvania
5931,14746,7214,950,651,Martin
5678,14518,6934,1090,816,Warren
2549,6164,2893,418,304,Jones
10742,30306,13466,3459,2639,Davie
54716,144615,62600,17199,10100,Cumberland
12896,30234,14995,1409,934,Mcdowell
7151,17383,8073,1299,860,Cherokee
4114,10643,5222,715,592,Chowan
57404,157037,70428,15808,13397,Orange
9707,22226,10861,984,674,Alexander
105677,289781,131248,29961,22895,Durham
32685,87681,40407,8207,6382,Henderson
10539,26311,12743,1821,1208,Pasquotank
4749,10699,5247,425,278,Pamlico
3682,8993,4654,436,221,Mitchell
6532,16023,7993,906,592,Currituck
49597,129322,57396,12252,10077,Brunswick
35116,94195,41648,10217,7214,Davidson
16030,44148,18890,5493,3735,Franklin
14734,37848,18346,2661,2107,Dare
8093,19449,9106,1436,814,Bladen
68727,195342,83254,24505,18856,New Hanover
5768,13898,6759,806,565,Anson
