Facility_Type,Category,County,Outbreak Count
Residential Care Facility,Ongoing Outbreaks,Forsyth,1
Correctional Facility,Ongoing Outbreaks,Forsyth,1
Nursing Home,Ongoing Outbreaks,Forsyth,5
Child Care,,Forsyth,1
K-12 School,,Forsyth,1
Residential Care Facility,Ongoing Outbreaks,Duplin,1
Nursing Home,Ongoing Outbreaks,Duplin,1
Child Care,,Duplin,1
Residential Care Facility,Ongoing Outbreaks,Rockingham,1
Nursing Home,Ongoing Outbreaks,Rockingham,4
Correctional Facility,Ongoing Outbreaks,Wake,5
Child Care,,Wake,8
Nursing Home,Ongoing Outbreaks,Wake,3
Residential Care Facility,Ongoing Outbreaks,Wake,3
K-12 School,,Wake,5
Nursing Home,Ongoing Outbreaks,Chowan,1
Residential Care Facility,Ongoing Outbreaks,Chowan,1
Correctional Facility,Ongoing Outbreaks,Scotland,1
Correctional Facility,Ongoing Outbreaks,Hyde,1
Nursing Home,Ongoing Outbreaks,Nash,3
Correctional Facility,Ongoing Outbreaks,Nash,2
Nursing Home,Ongoing Outbreaks,Wayne,2
K-12 School,,Madison,1
,,Tyrrell,0
Correctional Facility,Ongoing Outbreaks,Buncombe,2
K-12 School,,Buncombe,2
Child Care,,Buncombe,1
Residential Care Facility,Ongoing Outbreaks,Buncombe,2
Nursing Home,Ongoing Outbreaks,Buncombe,6
Nursing Home,Ongoing Outbreaks,Currituck,1
Correctional Facility,Ongoing Outbreaks,Vance,1
Nursing Home,Ongoing Outbreaks,Cumberland,5
K-12 School,,Cumberland,2
Residential Care Facility,Ongoing Outbreaks,Cumberland,3
Correctional Facility,Ongoing Outbreaks,Cumberland,1
Correctional Facility,Ongoing Outbreaks,Halifax,1
Nursing Home,Ongoing Outbreaks,Halifax,2
Nursing Home,Ongoing Outbreaks,Pitt,3
Residential Care Facility,Ongoing Outbreaks,Pitt,3
K-12 School,,Pitt,1
Nursing Home,Ongoing Outbreaks,Union,2
K-12 School,,Union,2
,,Jones,0
Nursing Home,Ongoing Outbreaks,Yancey,1
Residential Care Facility,Ongoing Outbreaks,Yancey,2
K-12 School,,Yancey,1
K-12 School,,Richmond,1
Other,Ongoing Outbreaks,Richmond,1
Correctional Facility,Ongoing Outbreaks,Richmond,1
,,Warren,0
Nursing Home,Ongoing Outbreaks,Northampton,2
Residential Care Facility,Ongoing Outbreaks,Northampton,2
Residential Care Facility,Ongoing Outbreaks,Sampson,1
Correctional Facility,Ongoing Outbreaks,Sampson,1
Residential Care Facility,Ongoing Outbreaks,Moore,1
Nursing Home,Ongoing Outbreaks,Moore,3
,,Dare,0
Correctional Facility,Ongoing Outbreaks,Mecklenburg,1
Nursing Home,Ongoing Outbreaks,Mecklenburg,7
