"Cases Per 100,000 Residents",Deaths,"Cases Per 10,000 Residents",County,Cases
7577.0,289,758.0,Cumberland,25420
9080.0,39,908.0,Northampton,1769
7326.0,161,733.0,New Hanover,17177
10342.0,42,1034.0,Greene,2179
10856.0,157,1086.0,Wilson,8880
9535.0,100,954.0,Edgecombe,4908
10242.0,103,1024.0,Halifax,5122
9082.0,73,908.0,Lee,5611
8164.0,16,816.0,Jones,769
6028.0,18,603.0,Clay,677
7724.0,73,772.0,Rockingham,7030
9043.0,25,904.0,Caswell,2044
7789.0,55,779.0,Hoke,4302
8283.0,16,828.0,Swain,1182
8219.0,76,822.0,Stokes,3747
7154.0,40,715.0,Ashe,1946
10580.0,155,1058.0,Surry,7595
8302.0,26,830.0,Yancey,1500
6369.0,91,637.0,Haywood,3969
11135.0,20,1114.0,Avery,1955
8413.0,5,841.0,Alleghany,937
7110.0,589,711.0,Wake,79042
7823.0,600,782.0,Guilford,42025
7082.0,212,708.0,Durham,22767
5362.0,99,536.0,Orange,7961
6213.0,294,621.0,Buncombe,16229
9025.0,178,902.0,Davidson,15126
8710.0,35,871.0,Davie,3732
8434.0,46,843.0,Franklin,5877
10051.0,128,1005.0,Duplin,5904
9643.0,92,964.0,Richmond,4323
7695.0,139,769.0,Onslow,15231
10947.0,62,1095.0,McDowell,5009
9770.0,208,977.0,Randolph,14036
8587.0,117,859.0,Craven,8771
8417.0,63,842.0,Hertford,1993
11472.0,97,1147.0,Sampson,7288
10306.0,203,1031.0,Rutherford,6908
8925.0,42,892.0,Bertie,1691
11725.0,89,1172.0,Montgomery,3186
10206.0,80,1021.0,Scotland,3554
10801.0,82,1080.0,Alexander,4050
8047.0,11,805.0,Pamlico,1024
8017.0,67,802.0,Person,3166
9501.0,37,950.0,Martin,2132
7407.0,28,741.0,Macon,2656
8621.0,16,862.0,Mitchell,1290
6596.0,40,660.0,Madison,1435
9984.0,22,998.0,Chowan,1392
10895.0,293,1090.0,Rowan,15481
9102.0,902,910.0,Mecklenburg,101063
8022.0,153,802.0,Henderson,9419
8960.0,240,896.0,Cabarrus,19395
5782.0,80,578.0,Chatham,4306
9093.0,77,909.0,Granville,5496
8508.0,233,851.0,Wayne,10476
10486.0,145,1049.0,Burke,9488
5272.0,8,527.0,Dare,1951
10944.0,399,1094.0,Gaston,24573
9107.0,203,911.0,Johnston,19065
5912.0,142,591.0,Brunswick,8443
6722.0,27,672.0,Polk,1393
10957.0,147,1096.0,Columbus,6082
10041.0,109,1004.0,Lenoir,5618
10658.0,78,1066.0,Lincoln,9178
7446.0,30,745.0,Watauga,4183
10259.0,85,1026.0,Vance,4569
9142.0,104,914.0,Wilkes,6254
11953.0,221,1195.0,Robeson,15614
9858.0,55,986.0,Anson,2410
10819.0,98,1082.0,Caldwell,8891
11317.0,291,1132.0,Catawba,18056
7932.0,78,793.0,Pasquotank,3159
5846.0,27,585.0,Transylvania,2010
11435.0,112,1144.0,Stanly,7182
8499.0,18,850.0,Warren,1677
6982.0,9,698.0,Perquimans,940
6028.0,12,603.0,Gates,697
7669.0,6,767.0,Tyrrell,308
5194.0,15,519.0,Currituck,1442
6741.0,12,674.0,Graham,569
,0,,Missing,111
9162.0,206,916.0,Union,21977
8642.0,357,864.0,Forsyth,33038
7541.0,162,754.0,Harnett,10254
9758.0,237,976.0,Alamance,16541
6667.0,45,667.0,Carteret,4632
9994.0,84,999.0,Pitt,18064
10992.0,218,1099.0,Cleveland,10766
9466.0,203,947.0,Iredell,17209
10934.0,174,1093.0,Nash,10311
8210.0,181,821.0,Moore,8282
8722.0,31,872.0,Washington,1010
10038.0,47,1004.0,Yadkin,3781
9413.0,41,941.0,Bladen,3080
7886.0,55,789.0,Jackson,3465
7724.0,20,772.0,Cherokee,2210
7861.0,68,786.0,Pender,4957
9405.0,87,941.0,Beaufort,4420
5696.0,5,570.0,Camden,619
12761.0,8,1276.0,Hyde,630
