Demographic,Race,Value,calc.ValueComma,Age Group,Gender,Hispanic,Name
Gender,,6054,"6,054",,Female,,Deaths
Gender,,53%,53%,,Female,,Percent of Cases
Gender,,48%,48%,,Female,,Percent of Deaths
Gender,,513237,"513,237",,Female,,Cases
Gender,,22,22,,Missing,,Deaths
Gender,,,,,Missing,,Percent of Cases
Gender,,,,,Missing,,Percent of Deaths
Gender,,4003,"4,003",,Missing,,Cases
Gender,,6575,"6,575",,Male,,Deaths
Gender,,47%,47%,,Male,,Percent of Cases
Gender,,52%,52%,,Male,,Percent of Deaths
Gender,,452512,"452,512",,Male,,Cases
Ethnicity,,80%,80%,,,Non-Hispanic,Percent of Cases
Ethnicity,,92%,92%,,,Non-Hispanic,Percent of Deaths
Ethnicity,,9814,"9,814",,,Non-Hispanic,Deaths
Ethnicity,,513206,"513,206",,,Non-Hispanic,Cases
Ethnicity,,,,,,Missing,Percent of Cases
Ethnicity,,,,,,Missing,Percent of Deaths
Ethnicity,,1948,"1,948",,,Missing,Deaths
Ethnicity,,327215,"327,215",,,Missing,Cases
Ethnicity,,20%,20%,,,Hispanic,Percent of Cases
Ethnicity,,8%,8%,,,Hispanic,Percent of Deaths
Ethnicity,,889,889,,,Hispanic,Deaths
Ethnicity,,129331,"129,331",,,Hispanic,Cases
Age Group,,17,17,18-24,,,Deaths
Age Group,,14%,14%,18-24,,,Percent of Cases
Age Group,,0%,0%,18-24,,,Percent of Deaths
Age Group,,135108,"135,108",18-24,,,Cases
Age Group,,2968,"2,968",65-74,,,Deaths
Age Group,,8%,8%,65-74,,,Percent of Cases
Age Group,,23%,23%,65-74,,,Percent of Deaths
Age Group,,76347,"76,347",65-74,,,Cases
Age Group,,3,3,0-17,,,Deaths
Age Group,,12%,12%,0-17,,,Percent of Cases
Age Group,,0%,0%,0-17,,,Percent of Deaths
Age Group,,119842,"119,842",0-17,,,Cases
Age Group,,7471,"7,471",75+,,,Deaths
Age Group,,6%,6%,75+,,,Percent of Cases
Age Group,,59%,59%,75+,,,Percent of Deaths
Age Group,,60882,"60,882",75+,,,Cases
Age Group,,452,452,25-49,,,Deaths
Age Group,,39%,39%,25-49,,,Percent of Cases
Age Group,,4%,4%,25-49,,,Percent of Deaths
Age Group,,381625,"381,625",25-49,,,Cases
Age Group,,1739,"1,739",50-64,,,Deaths
Age Group,,20%,20%,50-64,,,Percent of Cases
Age Group,,14%,14%,50-64,,,Percent of Deaths
Age Group,,195767,"195,767",50-64,,,Cases
Age Group,,1,1,Missing,,,Deaths
Age Group,,,,Missing,,,Percent of Cases
Age Group,,,,Missing,,,Percent of Deaths
Age Group,,181,181,Missing,,,Cases
Race,Black or African American,2942,"2,942",,,,Deaths
Race,Black or African American,21%,21%,,,,Percent of Cases
Race,Black or African American,25%,25%,,,,Percent of Deaths
Race,Black or African American,170619,"170,619",,,,Cases
Race,American Indian Alaskan Native,142,142,,,,Deaths
Race,American Indian Alaskan Native,2%,2%,,,,Percent of Cases
Race,American Indian Alaskan Native,1%,1%,,,,Percent of Deaths
Race,American Indian Alaskan Native,12071,"12,071",,,,Cases
Race,Asian or Pacific Islander,132,132,,,,Deaths
Race,Asian or Pacific Islander,2%,2%,,,,Percent of Cases
Race,Asian or Pacific Islander,1%,1%,,,,Percent of Deaths
Race,Asian or Pacific Islander,15644,"15,644",,,,Cases
Race,White,7866,"7,866",,,,Deaths
Race,White,61%,61%,,,,Percent of Cases
Race,White,66%,66%,,,,Percent of Deaths
Race,White,493538,"493,538",,,,Cases
Race,Missing,779,779,,,,Deaths
Race,Missing,,,,,,Percent of Cases
Race,Missing,,,,,,Percent of Deaths
Race,Missing,166262,"166,262",,,,Cases
Race,Other,790,790,,,,Deaths
Race,Other,14%,14%,,,,Percent of Cases
Race,Other,7%,7%,,,,Percent of Deaths
Race,Other,111618,"111,618",,,,Cases
