County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,12431,7420
Cumberland,46622,32357
Pitt,34020,29312
Beaufort,11952,8347
Durham,74427,50803
Jones,2113,1272
Pender,11471,7437
Carteret,17114,9789
Swain,2760,1774
Halifax,12004,6157
Lenoir,11450,7608
Perquimans,3550,1764
Henderson,22872,16436
Scotland,6887,4435
Alamance,33784,21119
Haywood,12595,9478
Tyrrell,950,607
Pasquotank,10497,7184
McDowell,9385,6760
Washington,2548,1689
Polk,4726,2510
Caldwell,15833,11283
Graham,1866,1273
Warren,4610,2343
Cleveland,18937,9987
Wake,221708,138268
Rockingham,17222,8784
Lee,12827,7441
Rowan,19234,13530
Wilkes,12434,7230
Harnett,18484,12215
Wilson,15035,9001
Pamlico,3911,2515
Rutherford,11696,5639
Surry,15783,9315
Alleghany,2952,2002
Orange,40243,29468
Bladen,6897,4439
Granville,12666,8088
Out of State,49047,31041
Davidson,25657,16649
Stokes,7446,4957
Onslow,21156,12694
Stanly,10226,5775
Craven,22140,12676
Franklin,11392,7727
Anson,4404,2830
Gaston,36480,22854
Yadkin,7312,4496
Hyde,1675,1046
Randolph,21920,11865
Hertford,5211,2638
Union,37478,22087
Moore,26985,17918
Martin,5118,3338
Johnston,34868,20757
Columbus,9386,5359
Robeson,19112,11725
Macon,9069,5756
Davie,8492,7267
Yancey,4242,2426
Missing,4002,1353
New Hanover,52488,37224
Brunswick,39463,26291
Currituck,5514,3539
Camden,2298,1228
Person,8194,5053
Greene,4103,2824
Guilford,108257,58221
Madison,4719,3923
Chatham,19376,13843
Wayne,19575,9961
Ashe,6150,3394
Hoke,6030,3769
Dare,10768,9132
Montgomery,5212,3092
Forsyth,71575,52193
Chowan,4405,2620
Transylvania,7268,5327
Iredell,28768,19870
Clay,2253,1202
Vance,9491,5673
Mecklenburg,165403,101651
Edgecombe,8650,5363
Cherokee,5620,3138
Bertie,5077,2792
Lincoln,14738,8813
Alexander,7141,4147
Nash,19889,10450
Richmond,9353,5895
Mitchell,2714,1569
Cabarrus,30466,19252
Duplin,8679,5088
Buncombe,53189,33681
Avery,4132,2884
Catawba,30065,18905
Jackson,9204,4805
Gates,2569,1359
Burke,17571,12385
Caswell,5199,2864
Northampton,5008,2609
Watauga,12594,8598
