People Fully Vaccinated,County,People Vaccinated with at Least One Dose
19925,Robeson,24935
3432,Perquimans,4086
39654,Johnston,54030
25469,Randolph,31324
1727,Hyde,2313
3162,Alleghany,3745
9138,Duplin,12405
2365,Gates,3076
15147,Haywood,20039
10865,Stanly,15132
6504,Missing County,11262
15929,Wilson,21302
1079,Tyrrell,1227
21120,Wayne,27576
5413,Montgomery,7231
12518,Lenoir,15309
7690,Scotland,9755
42738,Alamance,55072
2239,Camden,2835
4936,Greene,6102
22038,Rowan,28434
5216,Northampton,6338
14248,Wilkes,16570
16422,Lincoln,21205
18874,Caldwell,22290
5250,Polk,6455
17075,Surry,20603
11966,Macon,13972
2338,Clay,2898
9045,Yadkin,10421
23320,Onslow,28623
9829,Richmond,12045
68881,Buncombe,89863
44845,Union,59167
36314,Cabarrus,50480
2602,Washington,3159
21694,Harnett,26503
20505,Burke,24930
55424,Out of State,73098
13605,Granville,18006
43011,Gaston,53943
9579,Edgecombe,13035
17158,Watauga,21111
6257,Hoke,8102
5160,Bertie,6491
8956,Person,12301
13864,Beaufort,16396
11256,Jackson,13710
33819,Catawba,43424
293121,Wake,402939
20845,Cleveland,25303
12425,Sampson,16509
11123,Columbus,13430
5402,Caswell,7039
4767,Yancey,5692
13520,Lee,17448
5261,Hertford,6549
19780,Rockingham,25388
20114,Carteret,23746
213127,Mecklenburg,303790
2998,Swain,3540
4965,Avery,6110
9781,Vance,12839
12928,Halifax,16183
20786,Nash,28047
11995,Rutherford,15861
7074,Ashe,8667
8614,Stokes,10722
1903,Graham,2205
13327,Pender,17356
25798,Craven,30605
141238,Guilford,175783
6130,Madison,8015
20382,Chatham,25763
47045,Pitt,54176
30085,Moore,35054
97075,Forsyth,121590
34064,Iredell,44160
10325,Transylvania,11855
5755,Martin,6884
4704,Warren,6664
2245,Jones,2772
10671,Davie,12800
49875,Cumberland,60272
10608,McDowell,14178
6037,Cherokee,7667
4023,Chowan,5102
53955,Orange,67987
8227,Alexander,10531
97467,Durham,124421
28841,Henderson,38227
10237,Pasquotank,12407
4273,Pamlico,5120
3115,Mitchell,4283
5434,Currituck,7757
46892,Brunswick,55723
32220,Davidson,39255
13750,Franklin,17812
14185,Dare,17989
66159,New hanover,80029
7287,Bladen,8737
4912,Anson,6428
