At Least One Booster/Additional Dose - All Providers - 65Plus,At Least One Booster/Additional Dose - All Programs - 18Plus,At Least One Booster/Additional Dose - All Programs - 5Plus,At Least One Booster/Additional Dose - All Programs - 12Plus,At Least One Booster/Additional Dose - All Programs,At Least One Booster/Additional Dose - NC Provider - 5Plus,At Least One Booster/Additional Dose - NC Provider - 12Plus,At Least One Booster/Additional Dose - NC Provider - 18Plus,At Least One Booster/Additional Dose - NC Provider - 65Plus,At Least One Booster/Additional Dose - Pharmacy - 5Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 12Plus,At Least One Booster/Additional Dose - Pharmacy LTC - 18Plus,At Least One Booster/Additional Dose - Pharmacy - 65Plus,At Least One Booster/Additional Dose - Pharmacy,At Least One Booster/Additional Dose - NC,At Least One Dose - All Programs 5Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 5Plus,County,Tiberius at Least One Booster/Additional Dose - 5Plus,Tiberius at Least One Booster/Additional Dose - 12Plus,Tiberius at Least One Booster/Additional Dose - 18Plus,Tiberius at Least One Booster/Additional Dose - 65Plus,Tiberius at Least One Booster/Additional Dose,At Least One Dose - Tiberius 5Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 5Plus,Population 5 Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 65Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 18Plus,Vaccinated with Two Doses or One Dose JJ - All Programs 12Plus,Vaccinated with Two Doses or One Dose JJ - All Programs,At Least One Dose - All Programs 65Plus,At Least One Dose - All Programs 18Plus,At Least One Dose - All Programs 12Plus,At Least One Dose - All Programs,At Least One Dose - Tiberius 12Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 12Plus,At Least One Dose - Tiberius,At Least One Dose - Tiberius 18Plus,At Least One Dose - Tiberius 65Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius,Vaccinated with Two Doses or One Dose JJ - Tiberius 18Plus,Vaccinated with Two Doses or One Dose JJ - Tiberius 65Plus,Population 18 Plus,Population 65 Plus,Population,Population 12 Plus,At Least One Dose - Federal 18Plus,At Least One Dose - Federal 65Plus,At Least One Dose - Federal,At Least One Dose - Federal 12Plus,At Least One Dose - NC,At Least One Dose - NC 12Plus,At Least One Dose - NC 65Plus,At Least One Dose - NC 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 65Plus,Vaccinated with Two Doses or One Dose JJ - Federal 18Plus,Vaccinated with Two Doses or One Dose JJ - Federal 12Plus,Vaccinated with Two Doses or One Dose JJ - Federal,Vaccinated with Two Doses or One Dose JJ - NC 12Plus,Vaccinated with Two Doses or One Dose JJ - NC 65Plus,Vaccinated with Two Doses or One Dose JJ - NC,Vaccinated with Two Doses or One Dose JJ - NC 18Plus,At Least One Dose - Federal 5Plus,At Least One Dose - NC 5Plus,Vaccinated with Two Doses or One Dose JJ - Federal 5Plus,Vaccinated with Two Doses or One Dose JJ - NC 5Plus,county1
9060,18561,18750,18750,18767,12839,12839,12739,6618,5842,5842,5753,2409,5842,12839,60093,53689,Robeson,69,69,69,33,86,1318,833,122048,15664,50071,53004,53785,16399,55616,58980,60181,1318,833,1387,1318,512,914,833,382,98425,20565,130625,109195,13768,2143,15357,15159,43437,42503,13744,40530,2010,12570,13821,13927,38350,13272,38944,36668,15356,43419,13926,38930,ROBESON COUNTY
1946,3023,3034,3034,3034,2317,2317,2311,1539,717,717,712,407,717,2317,6551,6002,Perquimans,,,,,,0,0,12861,2866,5799,5961,6016,3059,6287,6468,6573,0,0,19,0,0,12,0,0,10957,3671,13463,11854,1089,232,1146,1136,5408,5332,2827,5198,213,983,1034,1037,4927,2653,4967,4816,1146,5405,1037,4965,PERQUIMANS COUNTY
16786,45617,46655,46655,46695,21293,21293,20933,9136,25344,25344,24666,7650,25346,21299,118874,110000,Johnston,18,18,18,0,50,3223,2144,196283,24918,99713,107239,110067,25928,106753,115134,118986,3212,2144,3292,3049,872,2175,2028,604,156585,28558,209339,175612,32940,3856,38503,36993,77191,74929,21200,70764,3727,30725,34506,35748,70589,20587,72144,66960,38502,77149,35744,72112,JOHNSTON COUNTY
12286,25801,26070,26070,26108,12337,12337,12242,6392,13733,13733,13559,5894,13733,12339,65470,61473,Randolph,0,0,0,0,36,769,554,135556,19736,57704,60551,61566,20071,61034,64191,65595,769,554,857,769,501,625,554,427,111702,26060,143667,123257,20367,3805,22454,21954,42284,41468,15765,39898,3875,19170,20617,20989,39380,15434,39952,37980,22453,42248,20987,39932,RANDOLPH COUNTY
676,1652,1691,1691,1691,1637,1637,1600,662,54,54,52,14,54,1637,3407,3241,Hyde,,,,,,,,4753,1033,3032,3163,3241,1053,3174,3313,3410,,,,,,,,,4098,1114,4937,4410,164,52,176,173,3234,3140,1001,3010,44,148,157,161,3006,989,3080,2884,176,3231,161,3080,HYDE COUNTY
1679,2979,2994,2994,2995,1658,1658,1644,995,1336,1336,1335,684,1336,1659,6770,6294,Alleghany,,,,,,10,0,10626,2581,6067,6221,6327,2693,6495,6665,6818,10,0,49,10,10,26,0,0,9249,3116,11137,9915,1320,350,1373,1367,5396,5288,2333,5165,332,1220,1257,1265,4964,2249,5036,4847,1373,5387,1265,5029,ALLEGHANY COUNTY
4657,9358,9423,9423,9440,5110,5110,5081,2625,4313,4313,4277,2032,4313,5112,29089,26345,Duplin,0,0,0,0,15,1990,1453,55126,7752,24356,25872,26412,8035,26650,28391,29165,1974,1453,2050,1774,419,1508,1282,301,44760,11405,58741,49644,7503,1500,8423,8292,18692,18125,6116,17373,1509,7109,7842,7915,16577,5942,16989,15965,8423,18676,7915,16977,DUPLIN COUNTY
1037,1824,1834,1834,1834,1598,1598,1595,954,236,236,229,83,236,1598,4768,4440,Gates,,,,,,50,39,11027,1749,4285,4419,4466,1849,4556,4719,4840,50,39,114,50,0,64,39,0,9230,2418,11562,10120,501,122,553,549,4173,4120,1727,4005,123,475,514,515,3866,1626,3887,3771,553,4165,515,3886,GATES COUNTY
9438,18336,18579,18579,18624,11499,11499,11363,6022,7032,7032,6925,3405,7032,11499,37139,35077,Haywood,48,48,48,11,93,1385,889,59266,13633,33110,34422,35166,14036,35015,36387,37236,1385,889,1472,1385,623,965,889,509,50968,15572,62317,54941,8003,1984,8495,8448,27269,26554,11429,25627,1846,7352,7796,7835,25737,11278,26366,24869,8495,27259,7835,26353,HAYWOOD COUNTY
6156,12164,12298,12298,12321,6805,6805,6720,3555,5493,5493,5444,2601,5493,6805,29074,27143,Stanly,0,0,0,0,23,663,473,59178,9531,25760,26839,27223,9903,27461,28627,29133,663,473,716,663,329,549,473,284,49282,12123,62806,54008,6818,1342,7285,7158,21132,20806,8232,19980,1314,6353,6671,6743,19695,7933,19931,18934,7285,21126,6743,19927,STANLY COUNTY
