County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,11815,6932
Cumberland,44776,30296
Pitt,33079,28556
Beaufort,11581,7952
Durham,70837,49153
Jones,2057,1101
Pender,11036,7144
Carteret,16842,9693
Swain,2759,1608
Halifax,11626,5834
Lenoir,11161,7370
Perquimans,3503,1610
Henderson,22576,16007
Scotland,6751,4300
Alamance,32415,19886
Haywood,12553,9047
Tyrrell,920,602
Pasquotank,10331,7071
McDowell,9263,6653
Washington,2468,1614
Polk,4537,2495
Caldwell,15502,10598
Graham,1863,1246
Warren,4536,2120
Cleveland,18756,9550
Wake,213516,131077
Rockingham,16897,8348
Lee,11397,6637
Rowan,18898,13376
Wilkes,12363,7208
Harnett,18075,11463
Wilson,14616,8341
Pamlico,3827,2406
Rutherford,11102,5574
Surry,14838,9222
Alleghany,2851,1986
Orange,38067,28703
Bladen,6674,4172
Granville,12429,7835
Out of State,48511,29842
Davidson,24900,15814
Stokes,7065,4793
Onslow,21027,12653
Stanly,9998,5684
Craven,21258,12175
Franklin,11103,7032
Anson,4286,2740
Gaston,35888,21750
Yadkin,7258,4446
Hyde,1640,997
Randolph,20903,11620
Hertford,5053,2328
Union,36811,20891
Moore,26397,16616
Martin,4958,3200
Johnston,33548,20220
Columbus,8894,5170
Robeson,18623,11434
Macon,8794,5387
Davie,8189,7080
Yancey,4114,2322
Missing,3732,1200
New Hanover,52010,36150
Brunswick,38732,25442
Currituck,5416,3482
Camden,2253,1182
Person,7834,4950
Greene,3811,2768
Guilford,103330,54548
Madison,4528,3739
Chatham,18871,13633
Wayne,19416,9061
Ashe,5899,3332
Hoke,5804,3557
Dare,10748,9116
Montgomery,5157,3069
Forsyth,69069,49116
Chowan,4239,2579
Transylvania,6894,5098
Iredell,28585,19103
Clay,2150,1199
Vance,9262,5328
Mecklenburg,164100,97960
Edgecombe,8166,5152
Cherokee,5485,3127
Bertie,4828,2659
Lincoln,14495,8368
Alexander,7027,4041
Nash,19006,9889
Richmond,8968,5723
Mitchell,2694,1419
Cabarrus,30417,18956
Duplin,8512,4862
Buncombe,51607,31773
Avery,4101,2805
Catawba,28967,18234
Jackson,9164,4235
Gates,2496,1320
Burke,17434,11342
Caswell,4925,2742
Northampton,4917,2528
Watauga,12314,8532
