County ,People at Least Partially Vaccinated,People Fully Vaccinated
Sampson,15376,10335
Cumberland,55500,44670
Pitt,45726,39515
Beaufort,14811,12040
Durham,102820,79230
Jones,2675,1950
Pender,15414,10877
Carteret,22112,17141
Swain,3364,2595
Halifax,15182,10730
Lenoir,14063,10995
Perquimans,3970,3244
Henderson,32088,24858
Scotland,9381,6232
Alamance,49208,33221
Haywood,16605,13107
Tyrrell,1165,900
Pasquotank,11765,9418
McDowell,12967,8981
Washington,2969,2288
Polk,6095,4117
Caldwell,19797,16040
Graham,2137,1763
Warren,6061,3952
Cleveland,23547,18608
Wake,331284,229944
Rockingham,23598,15282
Lee,16023,12197
Rowan,25544,18697
Wilkes,15426,11756
Harnett,23745,18271
Wilson,19293,13695
Pamlico,4909,3702
Rutherford,15039,9721
Surry,19767,14269
Alleghany,3478,2755
Orange,56636,43110
Bladen,8279,6243
Granville,16337,11819
Out of State,61229,47809
Davidson,34578,26197
Stokes,9460,6896
Onslow,26636,19990
Stanly,13611,9658
Craven,29019,21989
Franklin,15363,11696
Anson,5868,4208
Gaston,46347,37671
Yadkin,9511,6996
Hyde,2200,1513
Randolph,28818,20782
Hertford,6097,3888
Union,47474,38676
Moore,33179,26461
Martin,6145,4509
Johnston,47506,32405
Columbus,12194,9158
Robeson,23493,17193
Macon,11580,9801
Davie,10827,9182
Yancey,5336,3661
Missing,7453,4492
New Hanover,66923,55582
Brunswick,49967,40282
Currituck,7267,4676
Camden,2721,1829
Person,11139,7379
Greene,5470,4018
Guilford,154757,108993
Madison,6508,5493
Chatham,23904,17510
Wayne,25256,18003
Ashe,7415,6159
Hoke,7425,5410
Dare,15140,11506
Montgomery,6727,4719
Forsyth,100219,78275
Chowan,4901,3681
Transylvania,9285,8830
Iredell,37151,28648
Clay,2786,2023
Vance,11927,8651
Mecklenburg,230461,172019
Edgecombe,11715,7567
Cherokee,7263,5153
Bertie,6156,4305
Lincoln,18534,14412
Alexander,9857,6525
Nash,25504,16595
Richmond,11317,8890
Mitchell,3704,2579
Cabarrus,40328,30657
Duplin,11443,8154
Buncombe,76042,54696
Avery,5610,4179
Catawba,38581,29404
Jackson,11847,9583
Gates,2942,1898
Burke,22871,17005
Caswell,6581,4671
Northampton,5987,4377
Watauga,15998,14684
