People Vaccinated with at Least One Dose - Federal,People Fully Vaccinated - Federal,People Fully Vaccinated - NC,People Vaccinated with at Least One Dose - NC,County
4792,3830,23901,26803,Robeson
409,351,3747,4276,Perquimans
14926,12018,52152,58550,Johnston
8844,7132,30942,33204,Randolph
108,92,2213,2476,Hyde
810,693,3645,3949,Alleghany
3164,2736,11857,13155,Duplin
253,211,2834,3304,Gates
4847,4049,19852,21422,Haywood
3000,2305,14630,16124,Stanly
40165,31847,12341,13589,Missing County
5236,4382,20708,23264,Wilson
82,73,1185,1327,Tyrrell
6694,5384,26601,29365,Wayne
1260,1013,6901,7612,Montgomery
4330,3647,15103,16341,Lenoir
1928,1583,9464,10364,Scotland
11782,9711,54540,59049,Alamance
287,236,2522,2938,Camden
1068,931,6034,6591,Greene
9029,7091,28575,31111,Rowan
590,464,6069,6681,Northampton
4143,3142,15942,17351,Wilkes
7336,5831,21373,23045,Lincoln
4225,3306,22251,23598,Caldwell
1144,1015,6363,6766,Polk
5719,4790,20137,21313,Surry
1450,1291,13773,14551,Macon
758,692,2889,3091,Clay
1901,1618,10259,10998,Yadkin
8822,6823,28160,30708,Onslow
1972,1582,11858,12778,Richmond
28680,25633,90150,98580,Buncombe
21977,17744,60449,65819,Union
21125,17218,51208,57253,Cabarrus
925,733,2898,3281,Washington
6802,5047,26170,28725,Harnett
4580,3539,24666,26010,Burke
0,0,68911,78936,Out of State
4753,3865,18226,19673,Granville
16349,12762,53734,58331,Gaston
2715,2147,12021,13837,Edgecombe
2705,2397,20233,21834,Watauga
2005,1561,7634,8763,Hoke
682,590,6001,6946,Bertie
2321,1837,12007,13151,Person
2160,1758,15810,17003,Beaufort
13224,10352,43495,46294,Catawba
1578,1321,13538,14514,Jackson
142958,121223,400869,439181,Wake
5857,4578,25008,26831,Cleveland
3214,2576,15975,17748,Sampson
2398,2000,13568,14388,Columbus
754,476,6857,7503,Caswell
426,326,5708,6271,Yancey
4283,3467,17057,18572,Lee
1091,936,6079,6953,Hertford
5439,4285,24708,26948,Rockingham
122576,97942,312044,351272,Mecklenburg
5791,4960,22979,24517,Carteret
600,480,3455,3660,Swain
728,627,5927,6419,Avery
3265,2619,12452,13912,Vance
1892,1523,15383,16982,Halifax
2425,2129,15148,16995,Rutherford
7702,6199,25900,29851,Nash
1657,1509,8317,9110,Ashe
3398,2773,10652,11621,Stokes
273,226,2126,2282,Graham
4165,3563,16915,18395,Pender
6554,5586,29986,31837,Craven
47002,38792,172869,188666,Guilford
681,601,8204,8778,Madison
8138,6936,24344,26924,Chatham
11818,10062,53111,56575,Pitt
7972,6958,34371,36681,Moore
35395,30179,118599,131101,Forsyth
17479,13766,43289,45712,Iredell
2050,1818,12030,12727,Transylvania
1008,847,6609,7289,Martin
1167,1011,6364,7037,Warren
457,367,2722,2944,Jones
3645,3110,12625,13748,Davie
18803,14106,58756,63616,Cumberland
1463,1137,14214,15328,McDowell
1348,1185,7601,8179,Cherokee
759,704,4341,5270,Chowan
16424,14989,67490,72499,Orange
1036,866,10314,10985,Alexander
31396,26591,123358,134439,Durham
8536,7490,38693,41303,Henderson
1969,1570,11105,12933,Pasquotank
458,391,4905,5274,Pamlico
471,370,4248,4755,Mitchell
964,805,7096,8139,Currituck
12791,11586,54628,57947,Brunswick
10879,8883,39296,42547,Davidson
5948,4814,17763,19227,Franklin
2780,2400,17587,18506,Dare
1545,1233,8502,9257,Bladen
25654,22162,79640,84645,New Hanover
873,698,6277,6869,Anson
