Dose 2 Administered - NC Providers,Total Doses Administered,Dose 1 Administered - NC Providers,Dose 1 Administered - Federal,Dose 2 Administered - Federal,County
23951,59889,27392,5215,3331,Robeson
3748,8833,4309,448,328,Perquimans
50440,138108,59693,16190,11785,Johnston
30666,80456,33642,9471,6677,Randolph
2251,4996,2549,112,84,Hyde
3388,8916,4032,852,644,Alleghany
11651,30800,13291,3370,2488,Duplin
2830,6635,3344,269,192,Gates
18508,49485,22040,5047,3890,Haywood
14486,36163,16312,3209,2156,Stanly
75920,242718,94073,43018,29707,Missing / Out of State
20554,53553,23796,5597,3606,Wilson
1153,2646,1344,84,65,Tyrrell
26534,68533,29836,7297,4866,Wayne
6879,16785,7708,1358,840,Montgomery
14641,39208,16615,4572,3380,Lenoir
9577,23460,10519,2049,1315,Scotland
52866,135187,60339,12546,9436,Alamance
2516,6030,2970,323,221,Camden
5624,14247,6689,1110,824,Greene
28488,76812,31640,9708,6976,Rowan
6028,13809,6741,628,412,Northampton
15714,40559,17480,4447,2918,Wilkes
21218,58087,23309,7968,5592,Lincoln
20834,52297,24007,4554,2902,Caldwell
6334,15313,6851,1178,950,Polk
19813,51976,21510,6040,4613,Surry
11688,29055,14729,1526,1112,Macon
2858,7432,3123,776,675,Clay
9806,24497,11096,2045,1550,Yadkin
27258,74580,31051,9913,6358,Onslow
11634,27968,12929,2103,1302,Richmond
84572,239927,100644,29921,24790,Buncombe
58665,167265,67096,23784,17720,Union
50663,148851,58315,22906,16967,Cabarrus
2828,7844,3328,965,723,Washington
25135,66483,29155,7526,4667,Harnett
24285,58849,26345,4963,3256,Burke
18029,46725,20001,5058,3637,Granville
51969,141206,58908,18047,12282,Gaston
11576,30470,14075,2925,1894,Edgecombe
16078,43419,22233,2840,2268,Watauga
7444,19848,8951,2216,1237,Hoke
5981,14264,7021,730,532,Bertie
12073,29596,13356,2497,1670,Person
14801,35925,17185,2331,1608,Beaufort
42646,114006,47128,14292,9940,Catawba
12143,29822,14758,1677,1244,Jackson
378873,1104553,451465,152211,122004,Wake
24873,62754,27332,6304,4245,Cleveland
15437,39287,17992,3481,2377,Sampson
12855,31599,14509,2537,1698,Columbus
6793,15639,7576,803,467,Caswell
5599,12779,6434,480,266,Yancey
16979,43755,18880,4693,3203,Lee
5984,15046,7051,1168,843,Hertford
24456,61668,27432,5852,3928,Rockingham
300749,890323,360926,131555,97093,Mecklenburg
22663,58110,24631,6227,4589,Carteret
3372,8164,3697,636,459,Swain
5606,13488,6514,791,577,Avery
12595,32606,14109,3543,2359,Vance
15312,35933,17258,2035,1328,Halifax
15224,37097,17342,2600,1931,Rutherford
25127,69664,30262,8303,5972,Nash
7421,19766,9248,1764,1333,Ashe
10005,28027,11760,3638,2624,Stokes
2096,4884,2310,287,191,Graham
16200,42518,18604,4482,3232,Pender
29652,73997,32126,7053,5166,Craven
169127,449642,192855,50238,37422,Guilford
7081,17261,8887,724,569,Madison
24167,66628,27474,8481,6506,Chatham
46793,126649,57352,12686,9818,Pitt
33987,86354,37144,8491,6732,Moore
105702,306099,133459,37658,29280,Forsyth
42047,120795,46141,18854,13753,Iredell
9536,26311,12916,2141,1718,Transylvania
6264,15485,7409,1075,737,Martin
6459,15699,7095,1230,915,Warren
2710,6498,2970,489,329,Jones
11646,32452,13935,3903,2968,Davie
58316,156308,64590,20663,12739,Cumberland
13687,31809,15594,1543,985,Mcdowell
7555,18219,8284,1390,990,Cherokee
4259,11078,5323,809,687,Chowan
61363,168075,74818,17019,14875,Orange
10250,23278,11120,1139,769,Alexander
114955,312092,138014,32865,26258,Durham
34867,92960,42131,8965,6997,Henderson
10985,27739,13078,2180,1496,Pasquotank
4895,11024,5308,516,305,Pamlico
4039,9630,4853,501,237,Mitchell
7116,17180,8257,1085,722,Currituck
51505,134358,58307,13439,11107,Brunswick
37935,101492,43315,11717,8525,Davidson
17532,48216,19562,6465,4657,Franklin
15755,39779,18798,2925,2301,Dare
8411,20441,9403,1671,956,Bladen
72805,207426,85877,27085,21659,New Hanover
6348,14891,6949,945,649,Anson
