OBJECTID,COUNTYFP10,GEOID10,GeoName,FIPS,County,ZIP,TotalPop,TotalVax,SVI,Pop5Up,PctVax5Up,UpdateDTS
852,001,37001021101,"Census Tract 211.01, Alamance County, North Carolina",37001021101,Alamance,27253,2718,1548,0.6747,2588,59.8145285935085,202201261931
875,001,37001020602,"Census Tract 206.02, Alamance County, North Carolina",37001020602,Alamance,27215,2638,1691,0.3457,2624,64.4435975609756,202201261931
876,001,37001021701,"Census Tract 217.01, Alamance County, North Carolina",37001021701,Alamance,27215,3432,2374,0.218,3382,70.1951507983442,202201261931
877,001,37001021207,"Census Tract 212.07, Alamance County, North Carolina",37001021207,Alamance,27302,3476,1756,0.5576,3384,51.8912529550827,202201261931
892,001,37001020400,"Census Tract 204, Alamance County, North Carolina",37001020400,Alamance,27217,6746,3164,0.9607,6143,51.5057789353736,202201261931
893,001,37001021300,"Census Tract 213, Alamance County, North Carolina",37001021300,Alamance,27217,6018,3218,0.4489,5748,55.9846903270703,202201261931
931,001,37001020300,"Census Tract 203, Alamance County, North Carolina",37001020300,Alamance,27217,7400,4198,0.9773,6860,61.1953352769679,202201261931
934,001,37001020901,"Census Tract 209.01, Alamance County, North Carolina",37001020901,Alamance,27215,3406,2032,0.6719,3080,65.974025974026,202201261931
935,001,37001020502,"Census Tract 205.02, Alamance County, North Carolina",37001020502,Alamance,27217,4012,1984,0.9579,3618,54.8369264787175,202201261931
936,001,37001020701,"Census Tract 207.01, Alamance County, North Carolina",37001020701,Alamance,27215,4973,2977,0.4993,4869,61.1419182583693,202201261931
954,001,37001021500,"Census Tract 215, Alamance County, North Carolina",37001021500,Alamance,27202,4760,2054,0.4109,4448,46.1780575539568,202201261931
955,001,37001020501,"Census Tract 205.01, Alamance County, North Carolina",37001020501,Alamance,27215,3819,2031,0.6127,3609,56.2759767248545,202201261931
957,001,37001021102,"Census Tract 211.02, Alamance County, North Carolina",37001021102,Alamance,27253,3369,1627,0.77,3056,53.2395287958115,202201261931
969,001,37001021400,"Census Tract 214, Alamance County, North Carolina",37001021400,Alamance,27217,2748,1315,0.4618,2619,50.2100038182512,202201261931
970,001,37001021000,"Census Tract 210, Alamance County, North Carolina",37001021000,Alamance,27217,3999,1897,0.9783,3697,51.311874492832,202201261931
1058,001,37001021204,"Census Tract 212.04, Alamance County, North Carolina",37001021204,Alamance,27253,4976,2467,0.3406,4606,53.5605731654364,202201261931
1059,001,37001021201,"Census Tract 212.01, Alamance County, North Carolina",37001021201,Alamance,27217,5565,2489,0.82,5097,48.832646654895,202201261931
1060,001,37001020200,"Census Tract 202, Alamance County, North Carolina",37001020200,Alamance,27217,4093,1975,0.9324,3801,51.9600105235464,202201261931
1064,001,37001021703,"Census Tract 217.03, Alamance County, North Carolina",37001021703,Alamance,27215,6408,3940,0.3466,5973,65.9635024275908,202201261931
