Deaths,Casesper10k,Casesper100k,County,Total,PctPos
31,802,8018,Watauga,4504,NA
939,988,9883,Mecklenburg,109737,NA
210,1003,10029,Johnston,20995,NA
420,1164,11639,Gaston,26133,NA
85,1141,11412,Lincoln,9827,NA
152,630,6297,Brunswick,8994,NA
158,854,8535,Henderson,10022,NA
251,989,9894,Cabarrus,21416,NA
152,1086,10865,Burke,9831,NA
28,703,7026,Polk,1456,NA
80,828,8284,Pasquotank,3299,NA
80,971,9705,Granville,5866,NA
243,891,8913,Wayne,10975,NA
87,617,6166,Chatham,4592,NA
10,562,5623,Dare,2081,NA
300,1165,11648,Rowan,16550,NA
6,792,7918,Tyrrell,318,NA
112,1045,10447,Lenoir,5845,NA
111,957,9568,Wilkes,6546,NA
228,1241,12413,Robeson,16215,NA
150,1130,11297,Columbus,6271,NA
131,1224,12238,Stanly,7686,NA
86,1094,10944,Vance,4874,NA
298,1184,11839,Catawba,18889,NA
20,899,8991,Warren,1774,NA
104,1121,11210,Caldwell,9212,NA
55,1032,10321,Anson,2523,NA
13,631,6305,Gates,729,NA
12,688,6883,Graham,581,NA
10,733,7331,Perquimans,987,NA
16,547,5475,Currituck,1520,NA
32,671,6706,Transylvania,2306,NA
0,NA,NA,Missing,3,NA
218,769,7688,Durham,24716,NA
108,1231,12307,Sampson,7819,NA
720,771,7713,Wake,85752,NA
680,863,8631,Guilford,46364,NA
313,666,6655,Buncombe,17383,NA
224,1032,10320,Randolph,14827,NA
185,965,9647,Davidson,16170,NA
132,1055,10548,Duplin,6196,NA
101,570,5703,Orange,8467,NA
22,1040,10399,Chowan,1450,NA
35,850,8497,Macon,3047,NA
142,835,8346,Onslow,16519,NA
49,952,9521,Franklin,6635,NA
93,1211,12111,Montgomery,3291,NA
206,1074,10745,Rutherford,7202,NA
92,1024,10243,Richmond,4592,NA
43,922,9215,Bertie,1746,NA
123,898,8983,Craven,9175,NA
37,934,9340,Davie,4002,NA
67,839,8387,Person,3312,NA
84,1067,10671,Scotland,3716,NA
83,1154,11540,Alexander,4327,NA
63,878,8785,Hertford,2080,NA
39,993,9933,Martin,2229,NA
16,938,9376,Mitchell,1403,NA
63,1131,11314,McDowell,5177,NA
13,876,8762,Pamlico,1115,NA
41,710,7097,Madison,1544,NA
55,831,8312,Hoke,4591,NA
5,905,9051,Alleghany,1008,NA
299,829,8287,Cumberland,27804,NA
164,802,8024,New Hanover,18814,NA
58,956,9562,Northampton,1863,NA
171,1166,11665,Wilson,9542,NA
111,1057,10573,Edgecombe,5442,NA
76,955,9550,Lee,5900,NA
19,870,8695,Jones,819,NA
109,1103,11026,Halifax,5514,NA
158,1126,11258,Surry,8081,NA
28,878,8777,Yancey,1586,NA
106,812,8119,Rockingham,7389,NA
44,1082,10822,Greene,2280,NA
41,762,7617,Ashe,2072,NA
80,868,8684,Stokes,3959,NA
95,688,6879,Haywood,4287,NA
18,846,8458,Swain,1207,NA
27,948,9476,Caswell,2142,NA
18,645,6446,Clay,724,NA
20,1192,11915,Avery,2092,NA
169,830,8301,Harnett,11287,NA
206,1011,10109,Iredell,18378,NA
20,867,8668,Cherokee,2480,NA
373,921,9207,Forsyth,35199,NA
181,1198,11979,Nash,11296,NA
215,998,9978,Union,23934,NA
224,1153,11534,Cleveland,11297,NA
187,867,8673,Moore,8749,NA
95,962,9618,Beaufort,4520,NA
51,729,7288,Carteret,5063,NA
86,1063,10633,Pitt,19219,NA
264,1049,10487,Alamance,17777,NA
47,1044,10444,Yadkin,3934,NA
31,909,9093,Washington,1053,NA
69,839,8394,Pender,5293,NA
41,985,9853,Bladen,3224,NA
55,814,8136,Jackson,3575,NA
5,599,5991,Camden,651,NA
8,1343,13429,Hyde,663,NA
