Deaths,Casesper10k,Casesper100k,County,Total,PctPos
943,997,9969,Mecklenburg,110693,NA
81,976,9765,Granville,5902,NA
152,634,6339,Brunswick,9054,NA
216,1014,10135,Johnston,21217,NA
300,1174,11740,Rowan,16681,NA
31,811,8107,Watauga,4554,NA
252,998,9980,Cabarrus,21602,NA
85,1151,11506,Lincoln,9908,NA
153,1094,10938,Burke,9897,NA
104,1128,11283,Caldwell,9272,NA
86,1102,11023,Vance,4909,NA
420,1172,11722,Gaston,26320,NA
158,860,8595,Henderson,10092,NA
300,1207,12073,Catawba,19262,NA
230,1248,12475,Robeson,16296,NA
80,832,8322,Pasquotank,3314,NA
245,897,8970,Wayne,11045,NA
88,619,6192,Chatham,4611,NA
32,682,6823,Transylvania,2346,NA
111,963,9630,Wilkes,6588,NA
131,1233,12325,Stanly,7741,NA
151,1135,11350,Columbus,6300,NA
113,1057,10570,Lenoir,5914,NA
16,551,5507,Currituck,1529,NA
13,634,6340,Gates,733,NA
55,1041,10411,Anson,2545,NA
10,564,5639,Dare,2087,NA
11,742,7420,Perquimans,999,NA
29,705,7055,Polk,1462,NA
6,794,7943,Tyrrell,319,NA
20,903,9026,Warren,1781,NA
12,692,6919,Graham,584,NA
0,NA,NA,Missing,1,NA
173,1173,11733,Wilson,9598,NA
164,809,8089,New Hanover,18967,NA
111,1068,10683,Edgecombe,5499,NA
58,959,9588,Northampton,1868,NA
55,835,8348,Hoke,4611,NA
80,876,8761,Stokes,3994,NA
299,841,8409,Cumberland,28214,NA
76,961,9612,Lee,5938,NA
106,818,8182,Rockingham,7446,NA
110,1108,11076,Halifax,5539,NA
158,1132,11322,Surry,8127,NA
5,919,9195,Alleghany,1024,NA
44,1092,10921,Greene,2301,NA
95,695,6947,Haywood,4329,NA
41,768,7679,Ashe,2089,NA
27,953,9534,Caswell,2155,NA
26,874,8738,Jones,823,NA
18,849,8486,Swain,1211,NA
28,883,8833,Yancey,1596,NA
18,651,6509,Clay,731,NA
20,1197,11967,Avery,2101,NA
86,1073,10733,Pitt,19399,NA
51,732,7324,Carteret,5088,NA
374,927,9273,Forsyth,35450,NA
216,1005,10048,Union,24101,NA
185,1209,12086,Nash,11397,NA
265,1054,10542,Alamance,17870,NA
208,1018,10184,Iredell,18515,NA
169,839,8388,Harnett,11405,NA
224,1160,11600,Cleveland,11362,NA
20,883,8828,Cherokee,2526,NA
47,1053,10529,Yadkin,3966,NA
187,874,8736,Moore,8813,NA
31,913,9128,Washington,1057,NA
41,991,9908,Bladen,3242,NA
5,606,6064,Camden,659,NA
95,967,9671,Beaufort,4545,NA
56,817,8166,Jackson,3588,NA
69,851,8509,Pender,5366,NA
8,1353,13530,Hyde,668,NA
142,845,8454,Onslow,16733,NA
101,572,5723,Orange,8497,NA
722,776,7765,Wake,86325,NA
218,775,7755,Durham,24930,NA
696,870,8703,Guilford,46750,NA
93,1214,12144,Montgomery,3300,NA
84,1076,10757,Scotland,3746,NA
49,966,9656,Franklin,6729,NA
123,902,9015,Craven,9208,NA
185,974,9735,Davidson,16317,NA
225,1038,10377,Randolph,14908,NA
39,996,9960,Martin,2235,NA
108,1237,12369,Sampson,7858,NA
92,1028,10284,Richmond,4610,NA
206,1082,10818,Rutherford,7251,NA
314,671,6712,Buncombe,17531,NA
22,1044,10435,Chowan,1455,NA
37,941,9410,Davie,4032,NA
67,843,8430,Person,3329,NA
133,1060,10597,Duplin,6225,NA
43,927,9273,Bertie,1757,NA
63,880,8802,Hertford,2084,NA
13,877,8769,Pamlico,1116,NA
63,1138,11378,McDowell,5206,NA
38,865,8648,Macon,3101,NA
84,1164,11636,Alexander,4363,NA
41,714,7143,Madison,1554,NA
16,945,9449,Mitchell,1414,NA
