Age Group,calc.ValueComma,Name
0-17,"20,338",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"30,909",Cases
18-24,16%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"77,287",Cases
25-49,41%,Percent of Cases
25-49,148,Deaths
25-49,5%,Percent of Deaths
50-64,"35,098",Cases
50-64,19%,Percent of Cases
50-64,466,Deaths
50-64,15%,Percent of Deaths
65-74,"12,892",Cases
65-74,7%,Percent of Cases
65-74,720,Deaths
65-74,23%,Percent of Deaths
75+,"11,435",Cases
75+,6%,Percent of Cases
75+,"1,811",Deaths
75+,58%,Percent of Deaths
Missing,65,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
