Age Group,calc.ValueComma,Name
0-17,"105,401",Cases
0-17,12%,Percent of Cases
0-17,3,Deaths
0-17,0%,Percent of Deaths
18-24,"120,104",Cases
18-24,14%,Percent of Cases
18-24,13,Deaths
18-24,0%,Percent of Deaths
25-49,"346,074",Cases
25-49,39%,Percent of Cases
25-49,394,Deaths
25-49,3%,Percent of Deaths
50-64,"180,316",Cases
50-64,20%,Percent of Cases
50-64,"1,559",Deaths
50-64,13%,Percent of Deaths
65-74,"72,156",Cases
65-74,8%,Percent of Cases
65-74,"2,748",Deaths
65-74,24%,Percent of Deaths
75+,"58,482",Cases
75+,7%,Percent of Cases
75+,"6,973",Deaths
75+,60%,Percent of Deaths
Missing,182,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
