Age Group,calc.ValueComma,Name
0-17,"104,690",Cases
0-17,12%,Percent of Cases
0-17,3,Deaths
0-17,0%,Percent of Deaths
18-24,"119,315",Cases
18-24,14%,Percent of Cases
18-24,13,Deaths
18-24,0%,Percent of Deaths
25-49,"344,123",Cases
25-49,39%,Percent of Cases
25-49,390,Deaths
25-49,3%,Percent of Deaths
50-64,"179,292",Cases
50-64,20%,Percent of Cases
50-64,"1,553",Deaths
50-64,13%,Percent of Deaths
65-74,"71,847",Cases
65-74,8%,Percent of Cases
65-74,"2,718",Deaths
65-74,23%,Percent of Deaths
75+,"58,310",Cases
75+,7%,Percent of Cases
75+,"6,917",Deaths
75+,60%,Percent of Deaths
Missing,187,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
