Age Group,calc.ValueComma,Name
0-17,"98,355",Cases
0-17,12%,Percent of Cases
0-17,3,Deaths
0-17,0%,Percent of Deaths
18-24,"114,321",Cases
18-24,14%,Percent of Cases
18-24,12,Deaths
18-24,0%,Percent of Deaths
25-49,"330,403",Cases
25-49,39%,Percent of Cases
25-49,370,Deaths
25-49,3%,Percent of Deaths
50-64,"172,424",Cases
50-64,20%,Percent of Cases
50-64,"1,458",Deaths
50-64,13%,Percent of Deaths
65-74,"69,802",Cases
65-74,8%,Percent of Cases
65-74,"2,561",Deaths
65-74,23%,Percent of Deaths
75+,"57,130",Cases
75+,7%,Percent of Cases
75+,"6,522",Deaths
75+,60%,Percent of Deaths
Missing,202,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
