Age Group,calc.ValueComma,Name
0-17,"81,629",Cases
0-17,11%,Percent of Cases
0-17,2,Deaths
0-17,0%,Percent of Deaths
18-24,"97,758",Cases
18-24,14%,Percent of Cases
18-24,11,Deaths
18-24,0%,Percent of Deaths
25-49,"282,393",Cases
25-49,39%,Percent of Cases
25-49,314,Deaths
25-49,4%,Percent of Deaths
50-64,"146,656",Cases
50-64,20%,Percent of Cases
50-64,"1,178",Deaths
50-64,14%,Percent of Deaths
65-74,"59,968",Cases
65-74,8%,Percent of Cases
65-74,"2,008",Deaths
65-74,23%,Percent of Deaths
75+,"50,199",Cases
75+,7%,Percent of Cases
75+,"5,181",Deaths
75+,60%,Percent of Deaths
Missing,209,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
