Age Group,calc.ValueComma,Name
0-17,"63,242",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"79,495",Cases
18-24,14%,Percent of Cases
18-24,9,Deaths
18-24,0%,Percent of Deaths
25-49,"225,423",Cases
25-49,40%,Percent of Cases
25-49,258,Deaths
25-49,4%,Percent of Deaths
50-64,"115,521",Cases
50-64,20%,Percent of Cases
50-64,953,Deaths
50-64,14%,Percent of Deaths
65-74,"46,843",Cases
65-74,8%,Percent of Cases
65-74,"1,583",Deaths
65-74,23%,Percent of Deaths
75+,"39,424",Cases
75+,7%,Percent of Cases
75+,"4,137",Deaths
75+,60%,Percent of Deaths
Missing,163,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
