Age Group,calc.ValueComma,Name
0-17,"18,801",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"27,658",Cases
18-24,16%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"71,772",Cases
25-49,42%,Percent of Cases
25-49,136,Deaths
25-49,5%,Percent of Deaths
50-64,"32,031",Cases
50-64,19%,Percent of Cases
50-64,435,Deaths
50-64,16%,Percent of Deaths
65-74,"11,606",Cases
65-74,7%,Percent of Cases
65-74,635,Deaths
65-74,23%,Percent of Deaths
75+,"10,254",Cases
75+,6%,Percent of Cases
75+,"1,593",Deaths
75+,57%,Percent of Deaths
Missing,87,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
