Age Group,calc.ValueComma,Name
0-17,"36,783",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"53,009",Cases
18-24,16%,Percent of Cases
18-24,5,Deaths
18-24,0%,Percent of Deaths
25-49,"134,893",Cases
25-49,40%,Percent of Cases
25-49,196,Deaths
25-49,4%,Percent of Deaths
50-64,"66,045",Cases
50-64,19%,Percent of Cases
50-64,716,Deaths
50-64,14%,Percent of Deaths
65-74,"26,021",Cases
65-74,8%,Percent of Cases
65-74,"1,170",Deaths
65-74,23%,Percent of Deaths
75+,"22,379",Cases
75+,7%,Percent of Cases
75+,"2,951",Deaths
75+,59%,Percent of Deaths
Missing,64,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
