Age Group,calc.ValueComma,Name
0-17,"11,320",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"14,088",Cases
18-24,14%,Percent of Cases
18-24,2,Deaths
18-24,0%,Percent of Deaths
25-49,"45,784",Cases
25-49,45%,Percent of Cases
25-49,92,Deaths
25-49,6%,Percent of Deaths
50-64,"19,402",Cases
50-64,19%,Percent of Cases
50-64,263,Deaths
50-64,16%,Percent of Deaths
65-74,"6,490",Cases
65-74,6%,Percent of Cases
65-74,352,Deaths
65-74,21%,Percent of Deaths
75+,"5,728",Cases
75+,6%,Percent of Cases
75+,958,Deaths
75+,57%,Percent of Deaths
Missing,49,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
