Age Group,calc.ValueComma,Name
0-17,"72,991",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"89,325",Cases
18-24,14%,Percent of Cases
18-24,10,Deaths
18-24,0%,Percent of Deaths
25-49,"256,738",Cases
25-49,39%,Percent of Cases
25-49,290,Deaths
25-49,4%,Percent of Deaths
50-64,"132,371",Cases
50-64,20%,Percent of Cases
50-64,"1,058",Deaths
50-64,14%,Percent of Deaths
65-74,"54,053",Cases
65-74,8%,Percent of Cases
65-74,"1,799",Deaths
65-74,23%,Percent of Deaths
75+,"45,245",Cases
75+,7%,Percent of Cases
75+,"4,666",Deaths
75+,60%,Percent of Deaths
Missing,203,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
