Age Group,calc.ValueComma,Name
0-17,"23,510",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"36,290",Cases
18-24,17%,Percent of Cases
18-24,4,Deaths
18-24,0%,Percent of Deaths
25-49,"89,104",Cases
25-49,41%,Percent of Cases
25-49,160,Deaths
25-49,4%,Percent of Deaths
50-64,"41,436",Cases
50-64,19%,Percent of Cases
50-64,535,Deaths
50-64,15%,Percent of Deaths
65-74,"15,598",Cases
65-74,7%,Percent of Cases
65-74,829,Deaths
65-74,23%,Percent of Deaths
75+,"13,784",Cases
75+,6%,Percent of Cases
75+,"2,108",Deaths
75+,58%,Percent of Deaths
Missing,32,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
