Age Group,calc.ValueComma,Name
0-17,"103,488",Cases
0-17,12%,Percent of Cases
0-17,3,Deaths
0-17,0%,Percent of Deaths
18-24,"118,245",Cases
18-24,14%,Percent of Cases
18-24,13,Deaths
18-24,0%,Percent of Deaths
25-49,"341,075",Cases
25-49,39%,Percent of Cases
25-49,386,Deaths
25-49,3%,Percent of Deaths
50-64,"177,698",Cases
50-64,20%,Percent of Cases
50-64,"1,537",Deaths
50-64,13%,Percent of Deaths
65-74,"71,421",Cases
65-74,8%,Percent of Cases
65-74,"2,675",Deaths
65-74,23%,Percent of Deaths
75+,"58,020",Cases
75+,7%,Percent of Cases
75+,"6,831",Deaths
75+,60%,Percent of Deaths
Missing,202,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
