Age Group,calc.ValueComma,Name
0-17,"125,978",Cases
0-17,13%,Percent of Cases
0-17,3,Deaths
0-17,0%,Percent of Deaths
18-24,"139,562",Cases
18-24,14%,Percent of Cases
18-24,18,Deaths
18-24,0%,Percent of Deaths
25-49,"393,131",Cases
25-49,39%,Percent of Cases
25-49,483,Deaths
25-49,4%,Percent of Deaths
50-64,"200,418",Cases
50-64,20%,Percent of Cases
50-64,"1,821",Deaths
50-64,14%,Percent of Deaths
65-74,"77,749",Cases
65-74,8%,Percent of Cases
65-74,"3,062",Deaths
65-74,24%,Percent of Deaths
75+,"61,785",Cases
75+,6%,Percent of Cases
75+,"7,616",Deaths
75+,59%,Percent of Deaths
Missing,78,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
