Age Group,calc.ValueComma,Name
0-17,"45,016",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"61,671",Cases
18-24,15%,Percent of Cases
18-24,8,Deaths
18-24,0%,Percent of Deaths
25-49,"163,226",Cases
25-49,40%,Percent of Cases
25-49,213,Deaths
25-49,4%,Percent of Deaths
50-64,"80,873",Cases
50-64,20%,Percent of Cases
50-64,789,Deaths
50-64,14%,Percent of Deaths
65-74,"32,233",Cases
65-74,8%,Percent of Cases
65-74,"1,304",Deaths
65-74,23%,Percent of Deaths
75+,"27,400",Cases
75+,7%,Percent of Cases
75+,"3,346",Deaths
75+,59%,Percent of Deaths
Missing,108,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
