Age Group,calc.ValueComma,Name
0-17,"116,882",Cases
0-17,12%,Percent of Cases
0-17,3,Deaths
0-17,0%,Percent of Deaths
18-24,"132,484",Cases
18-24,14%,Percent of Cases
18-24,17,Deaths
18-24,0%,Percent of Deaths
25-49,"375,658",Cases
25-49,39%,Percent of Cases
25-49,440,Deaths
25-49,4%,Percent of Deaths
50-64,"193,443",Cases
50-64,20%,Percent of Cases
50-64,"1,714",Deaths
50-64,14%,Percent of Deaths
65-74,"75,640",Cases
65-74,8%,Percent of Cases
65-74,"2,931",Deaths
65-74,23%,Percent of Deaths
75+,"60,476",Cases
75+,6%,Percent of Cases
75+,"7,399",Deaths
75+,59%,Percent of Deaths
Missing,182,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
