Age Group,calc.ValueComma,Name
0-17,"18,645",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"27,234",Cases
18-24,16%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"71,223",Cases
25-49,42%,Percent of Cases
25-49,133,Deaths
25-49,5%,Percent of Deaths
50-64,"31,721",Cases
50-64,19%,Percent of Cases
50-64,431,Deaths
50-64,16%,Percent of Deaths
65-74,"11,487",Cases
65-74,7%,Percent of Cases
65-74,629,Deaths
65-74,23%,Percent of Deaths
75+,"10,154",Cases
75+,6%,Percent of Cases
75+,"1,581",Deaths
75+,57%,Percent of Deaths
Missing,89,Cases
Missing,,Percent of Cases
Missing,1,Deaths
Missing,,Percent of Deaths
