Age Group,calc.ValueComma,Name
0-17,"22,817",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"35,286",Cases
18-24,17%,Percent of Cases
18-24,4,Deaths
18-24,0%,Percent of Deaths
25-49,"86,620",Cases
25-49,41%,Percent of Cases
25-49,160,Deaths
25-49,4%,Percent of Deaths
50-64,"39,969",Cases
50-64,19%,Percent of Cases
50-64,529,Deaths
50-64,15%,Percent of Deaths
65-74,"14,958",Cases
65-74,7%,Percent of Cases
65-74,812,Deaths
65-74,23%,Percent of Deaths
75+,"13,228",Cases
75+,6%,Percent of Cases
75+,"2,073",Deaths
75+,58%,Percent of Deaths
Missing,31,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
