Age Group,calc.ValueComma,Name
0-17,"14,815",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"18,588",Cases
18-24,14%,Percent of Cases
18-24,3,Deaths
18-24,0%,Percent of Deaths
25-49,"58,184",Cases
25-49,44%,Percent of Cases
25-49,107,Deaths
25-49,5%,Percent of Deaths
50-64,"25,077",Cases
50-64,19%,Percent of Cases
50-64,330,Deaths
50-64,15%,Percent of Deaths
65-74,"8,625",Cases
65-74,6%,Percent of Cases
65-74,480,Deaths
65-74,22%,Percent of Deaths
75+,"7,460",Cases
75+,6%,Percent of Cases
75+,"1,213",Deaths
75+,57%,Percent of Deaths
Missing,63,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
