Age Group,calc.ValueComma,Name
0-17,"61,936",Cases
0-17,11%,Percent of Cases
0-17,1,Deaths
0-17,0%,Percent of Deaths
18-24,"78,109",Cases
18-24,14%,Percent of Cases
18-24,9,Deaths
18-24,0%,Percent of Deaths
25-49,"220,903",Cases
25-49,40%,Percent of Cases
25-49,256,Deaths
25-49,4%,Percent of Deaths
50-64,"113,042",Cases
50-64,20%,Percent of Cases
50-64,946,Deaths
50-64,14%,Percent of Deaths
65-74,"45,759",Cases
65-74,8%,Percent of Cases
65-74,"1,570",Deaths
65-74,23%,Percent of Deaths
75+,"38,530",Cases
75+,7%,Percent of Cases
75+,"4,110",Deaths
75+,60%,Percent of Deaths
Missing,158,Cases
Missing,,Percent of Cases
Missing,0,Deaths
Missing,,Percent of Deaths
